AgentType;TaskName;Distance;Collisions;Collisions_Medicine distribution;Collisions_Undergoing triage;Collisions_monitoring patients;Collisions_Patient round;Collisions_Supporting family member;Collisions_Writing report;Collisions_Monitoring patients;Collisions_Wheeling patient on a stretcher;Collisions_Bringing wheelchair;Collisions_Cleaner;Collisions_Admitting patient in waiting area;Duration;pos0x;pos0y;pos0z;pos1x;pos1y;pos1z;pos2x;pos2y;pos2z;pos3x;pos3y;pos3z;pos4x;pos4y;pos4z;pos5x;pos5y;pos5z;pos6x;pos6y;pos6z;pos7x;pos7y;pos7z;pos8x;pos8y;pos8z;pos9x;pos9y;pos9z;pos10x;pos10y;pos10z;pos11x;pos11y;pos11z;pos12x;pos12y;pos12z;pos13x;pos13y;pos13z;pos14x;pos14y;pos14z;pos15x;pos15y;pos15z;pos16x;pos16y;pos16z;pos17x;pos17y;pos17z;pos18x;pos18y;pos18z;pos19x;pos19y;pos19z;pos20x;pos20y;pos20z;pos21x;pos21y;pos21z;pos22x;pos22y;pos22z;pos23x;pos23y;pos23z;pos24x;pos24y;pos24z;pos25x;pos25y;pos25z;pos26x;pos26y;pos26z;pos27x;pos27y;pos27z;pos28x;pos28y;pos28z;pos29x;pos29y;pos29z;pos30x;pos30y;pos30z;pos31x;pos31y;pos31z;pos32x;pos32y;pos32z;pos33x;pos33y;pos33z;pos34x;pos34y;pos34z;pos35x;pos35y;pos35z;pos36x;pos36y;pos36z;pos37x;pos37y;pos37z;pos38x;pos38y;pos38z;pos39x;pos39y;pos39z;pos40x;pos40y;pos40z;pos41x;pos41y;pos41z;pos42x;pos42y;pos42z;pos43x;pos43y;pos43z;pos44x;pos44y;pos44z
Nurse;Medicine distribution;10.04705;0;0;0;0;0;0;0;0;0;0;0;0;5.264263;-26.28;1.016656;-25.39;-26.20698;1.016656;-25.62325;-26.14432;1.016656;-25.82337;-26.08009;1.016656;-26.0285;-25.8037;1.016656;-26.91127;-25.7439;1.016656;-27.10226;-25.68118;1.016656;-27.3026;-25.61421;1.016656;-27.51651;-25.54877;1.016656;-27.72552;-25.48378;1.016656;-27.9331;-25.4184;1.016656;-28.14191;-25.35056;1.016656;-28.35856;-25.28289;1.016656;-28.57472;-25.21904;1.016656;-28.77865;-25.07397;1.016656;-28.95141;-25.01473;1.016656;-29.1603;-24.95335;1.016656;-29.37673;-24.89272;1.016656;-29.59054;-24.83759;1.016656;-29.78496;-24.77754;1.016656;-29.99673;-24.71506;1.016656;-30.21386;-24.65868;1.016656;-30.41088;-24.60023;1.016656;-30.61625;-24.53867;1.016656;-30.83211;-24.47704;1.016656;-31.04844;-24.41733;1.016656;-31.2597;-24.36103;1.016656;-31.45774;-24.30176;1.016656;-31.66762;-24.24486;1.016656;-31.87042;-24.19067;1.016656;-32.07283;-24.18876;1.016656;-32.27495;-24.20451;1.016656;-32.47566;-24.22047;1.016656;-32.6791;-24.15953;1.016656;-32.80738;-24.18242;1.016656;-33.01295;-24.20573;1.016656;-33.22228;-24.22822;1.016656;-33.42417;-24.25167;1.016656;-33.63478;-24.27448;1.016656;-33.84478;-24.29699;1.016656;-34.05044;-24.31955;1.016656;-34.25606;-24.34178;1.016656;-34.45659;-24.36471;1.016656;-34.66154;-24.38863;1.016656;-34.87025;-24.42321;1.016656;-35.06874
Nurse;Medicine distribution;8.189071;0;0;0;0;0;0;0;0;0;0;0;0;4.279503;-26.28;1.016656;-25.39;-26.24233;1.016656;-25.40163;-26.12066;1.016656;-25.43921;-25.91512;1.016656;-25.50268;-25.73614;1.016656;-25.59632;-25.62727;1.016656;-25.75473;-25.5711;1.016656;-25.96399;-25.51626;1.016656;-26.18429;-25.46155;1.016656;-26.40408;-25.40992;1.016656;-26.61144;-25.36141;1.016656;-26.80631;-25.30896;1.016656;-27.01701;-25.25461;1.016656;-27.23531;-25.20093;1.016656;-27.45097;-25.15211;1.016656;-27.64707;-25.09894;1.016656;-27.86066;-25.04428;1.016656;-28.08022;-24.99457;1.016656;-28.27991;-24.94286;1.016656;-28.48763;-24.81323;1.016656;-28.61975;-24.76076;1.016656;-28.83942;-24.70967;1.016656;-29.05336;-24.66162;1.016656;-29.25456;-24.61076;1.016656;-29.46754;-24.56164;1.016656;-29.67324;-24.5128;1.016656;-29.87775;-24.46537;1.016656;-30.07639;-24.4186;1.016656;-30.27222;-24.3712;1.016656;-30.47071;-24.32241;1.016656;-30.67499;-24.27437;1.016656;-30.87618;-24.22544;1.016656;-31.08105;-24.17825;1.016656;-31.27864;-24.12903;1.016656;-31.48476;-24.07976;1.016656;-31.69106;-24.03153;1.016656;-31.89302;-23.98329;1.016656;-32.09504;-23.93625;1.016656;-32.29202;-23.82091;1.016656;-32.47843;-23.77439;1.016656;-32.68392;-23.72911;1.016656;-32.88398;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
Nurse;Medicine distribution;6.052979;0;0;0;0;0;0;0;0;0;0;0;0;3.277622;-26.31267;1.016656;-25.35748;-26.28512;1.016656;-25.46623;-26.23165;1.016656;-25.65447;-26.17485;1.016656;-25.84881;-26.12196;1.016656;-26.02708;-26.06309;1.016656;-26.22285;-26.00145;1.016656;-26.42551;-25.94452;1.016656;-26.61094;-25.88453;1.016656;-26.80482;-25.82206;1.016656;-27.00462;-25.75273;1.016656;-27.21956;-25.6852;1.016656;-27.4289;-25.6217;1.016656;-27.62578;-25.55448;1.016656;-27.83418;-25.48956;1.016656;-28.03544;-25.42501;1.016656;-28.23555;-25.36232;1.016656;-28.42992;-25.3005;1.016656;-28.62153;-25.22104;1.016656;-28.76412;-25.15843;1.016656;-28.96459;-25.09677;1.016656;-29.16203;-25.03397;1.016656;-29.36309;-24.97341;1.016656;-29.55699;-24.91023;1.016656;-29.75927;-24.847;1.016656;-29.96173;-24.7851;1.016656;-30.15993;-24.72318;1.016656;-30.35818;-24.66277;1.016656;-30.55137;-24.60197;1.016656;-30.74442;-24.54168;1.016656;-30.93609;-24.48271;1.016656;-31.12327;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
Nurse;Medicine distribution;4.222291;0;0;0;0;0;0;0;0;0;0;0;0;2.266064;-26.2832;1.016656;-25.38905;-26.36068;1.016656;-25.36604;-26.53034;1.016656;-25.31567;-26.72864;1.016656;-25.25679;-26.93856;1.016656;-25.19447;-27.14129;1.016656;-25.13427;-27.34286;1.016656;-25.07442;-27.53864;1.016656;-25.0163;-27.73165;1.016656;-24.95899;-27.92727;1.016656;-24.90091;-28.12861;1.016656;-24.84113;-28.3269;1.016656;-24.78225;-28.52881;1.016656;-24.7223;-28.72355;1.016656;-24.66448;-28.9267;1.016656;-24.60416;-29.13004;1.016656;-24.5438;-29.32908;1.016656;-24.4847;-29.52819;1.016656;-24.42558;-29.72233;1.016656;-24.36794;-29.8959;1.016656;-24.23444;-30.09952;1.016656;-24.18032;-30.29775;1.016656;-24.12762;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
Nurse;Medicine distribution;2.227668;0;0;0;0;0;0;0;0;0;0;0;0;1.277384;-26.28096;1.016656;-25.38972;-26.33652;1.016656;-25.37322;-26.47392;1.016656;-25.33243;-26.66642;1.016656;-25.27527;-26.8539;1.016656;-25.21961;-27.05048;1.016656;-25.16124;-27.24812;1.016656;-25.10256;-27.44237;1.016656;-25.04489;-27.63731;1.016656;-24.98701;-27.82794;1.016656;-24.9304;-28.02328;1.016656;-24.87247;-28.22238;1.016656;-24.81347;-28.41656;1.016656;-24.7559;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
Nurse;Medicine distribution;0.2623516;0;0;0;0;0;0;0;0;0;0;0;0;0.2780395;-26.27465;1.016656;-25.40157;-26.24123;1.016656;-25.48474;-26.18754;1.016656;-25.6489;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
Patient;Undergoing triage;9.538709;0;0;0;0;0;0;0;0;0;0;0;0;5.263739;-41.93;1.016656;-85.652;-41.71309;1.016656;-85.53938;-41.52698;1.016656;-85.44274;-41.33622;1.016656;-85.3437;-41.15769;1.016656;-85.25101;-40.9747;1.016656;-85.15598;-40.78839;1.016656;-85.05925;-40.58945;1.016656;-84.95596;-40.39509;1.016656;-84.85504;-40.20203;1.016656;-84.75481;-40.00785;1.016656;-84.65398;-39.80636;1.016656;-84.54936;-39.60534;1.016656;-84.44498;-39.4157;1.016656;-84.34651;-39.23045;1.016656;-84.17538;-39.03738;1.016656;-84.07605;-38.83734;1.016656;-83.97314;-38.63971;1.016656;-83.87148;-38.46001;1.016656;-83.77903;-38.26428;1.016656;-83.67834;-38.06308;1.016656;-83.57484;-37.8801;1.016656;-83.48071;-37.68974;1.016656;-83.38278;-37.48939;1.016656;-83.27971;-37.28856;1.016656;-83.17639;-37.09296;1.016656;-83.07576;-36.90902;1.016656;-82.98114;-36.7143;1.016656;-82.88097;-36.52625;1.016656;-82.78423;-36.33928;1.016656;-82.68804;-36.15767;1.016656;-82.5946;-35.97863;1.016656;-82.50249;-35.79718;1.016656;-82.40912;-35.54745;1.016656;-82.23019;-35.36321;1.016656;-82.13619;-35.17559;1.016656;-82.04047;-34.99465;1.016656;-81.94814;-34.80589;1.016656;-81.85182;-34.61695;1.016656;-81.75542;-34.43201;1.016656;-81.66106;-34.247;1.016656;-81.56665;-34.0666;1.016656;-81.47462;-33.88218;1.016656;-81.38051;-33.69451;1.016656;-81.28475;-33.51181;1.016656;-81.19153
Physician;monitoring patients;8.160112;0;0;0;0;0;0;0;0;0;0;0;0;5.263282;-28.87118;1.016656;-71.35842;-28.93405;1.016656;-71.13577;-28.9516;1.016656;-70.94518;-28.96936;1.016656;-70.74821;-28.9852;1.016656;-70.56572;-28.96943;1.016656;-70.39236;-28.94102;1.016656;-70.21298;-28.95291;1.016656;-70.02529;-28.97626;1.016656;-69.85437;-28.99757;1.016656;-69.68653;-29.01824;1.016656;-69.50662;-29.03965;1.016656;-69.33093;-29.06046;1.016656;-69.17393;-29.08189;1.016656;-69.02808;-29.05671;1.016656;-68.86102;-29.08876;1.016656;-68.73152;-29.12268;1.016656;-68.5927;-29.15276;1.016656;-68.44869;-29.17261;1.016656;-68.32198;-29.19482;1.016656;-68.18963;-29.21075;1.016656;-68.08278;-29.2149;1.016656;-68.02119;-29.20949;1.016656;-67.95148;-29.19602;1.016656;-67.85493;-29.1693;1.016656;-67.66931;-29.19847;1.016656;-67.41228;-29.21479;1.016656;-67.19918;-29.14878;1.016656;-66.94984;-29.01511;1.016656;-66.71738;-28.85039;1.016656;-66.51464;-28.68167;1.016656;-66.35381;-28.52751;1.016656;-66.22703;-28.35032;1.016656;-66.12677;-28.09942;1.016656;-65.94833;-27.93567;1.016656;-65.86124;-27.76837;1.016656;-65.76444;-27.60277;1.016656;-65.66267;-27.45174;1.016656;-65.5128;-27.2664;1.016656;-65.36485;-27.09028;1.016656;-65.24398;-26.91405;1.016656;-65.1394;-26.74129;1.016656;-65.04275;-26.57326;1.016656;-64.93963;-26.41195;1.016656;-64.8287;-26.25373;1.016656;-64.7213
Physician;monitoring patients;8.261836;0;0;0;0;0;0;0;0;0;0;0;0;4.279036;-27.32;1.016656;-71.22;-27.32351;1.016656;-71.18073;-27.33484;1.016656;-71.05388;-27.35398;1.016656;-70.83961;-27.37347;1.016656;-70.62148;-27.39282;1.016656;-70.40482;-27.41229;1.016656;-70.1869;-27.4325;1.016656;-69.96078;-27.45265;1.016656;-69.73518;-27.47167;1.016656;-69.52233;-27.48954;1.016656;-69.32231;-27.50886;1.016656;-69.10604;-27.52888;1.016656;-68.88197;-27.54928;1.016656;-68.66171;-27.56775;1.016656;-68.46143;-27.58777;1.016656;-68.24326;-27.60805;1.016656;-68.01869;-27.62638;1.016656;-67.81445;-27.64548;1.016656;-67.60226;-27.64693;1.016656;-67.35802;-27.67997;1.016656;-67.13478;-27.70599;1.016656;-66.91637;-27.68583;1.016656;-66.73346;-27.58261;1.016656;-66.58367;-27.40888;1.016656;-66.47983;-27.22123;1.016656;-66.38496;-27.03897;1.016656;-66.29282;-26.85929;1.016656;-66.20197;-26.67716;1.016656;-66.10991;-26.48973;1.016656;-66.01516;-26.30513;1.016656;-65.92184;-26.11716;1.016656;-65.82681;-25.93586;1.016656;-65.73517;-25.74673;1.016656;-65.63956;-25.55744;1.016656;-65.54386;-25.37214;1.016656;-65.45017;-25.18678;1.016656;-65.35646;-25.00604;1.016656;-65.26508;-24.75937;1.016656;-65.13907;-24.57398;1.016656;-65.05351;-24.39497;1.016656;-64.96967;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
Physician;monitoring patients;3.820754;0;0;0;0;0;0;0;0;0;0;0;0;3.277247;-26.3125;1.016656;-70.8474;-26.33886;1.016656;-70.8831;-26.4074;1.016656;-70.94291;-26.50351;1.016656;-71.00113;-26.57682;1.016656;-71.0444;-26.65837;1.016656;-71.08865;-26.73777;1.016656;-71.12295;-26.81061;1.016656;-71.14123;-26.87863;1.016656;-71.15176;-26.94511;1.016656;-71.16204;-27.0063;1.016656;-71.17149;-27.06071;1.016656;-71.17991;-27.10719;1.016656;-71.18709;-27.15148;1.016656;-71.19394;-27.18935;1.016656;-71.1998;-27.22217;1.016656;-71.20487;-27.24953;1.016656;-71.2091;-27.27217;1.016656;-71.21259;-25.7058;1.016656;-70.91859;-25.7124;1.016656;-70.95019;-25.73284;1.016656;-70.99097;-25.77167;1.016656;-71.03346;-25.84482;1.016656;-71.07864;-25.96836;1.016656;-71.12625;-26.12053;1.016656;-71.16676;-26.25086;1.016656;-71.20296;-26.37148;1.016656;-71.23098;-26.48331;1.016656;-71.24461;-26.58676;1.016656;-71.24374;-26.68451;1.016656;-71.24059;-26.77292;1.016656;-71.23772;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
