AgentType;TaskName;Distance;Collisions;Collisions_Medicine distribution;Collisions_Undergoing triage;Collisions_monitoring patients;Collisions_Patient round;Collisions_Supporting family member;Collisions_Writing report;Collisions_Monitoring patients;Collisions_Wheeling patient on a stretcher;Collisions_Bringing wheelchair;Collisions_Cleaner;Collisions_Admitting patient in waiting area;Duration;pos0x;pos0y;pos0z;pos1x;pos1y;pos1z;pos2x;pos2y;pos2z;pos3x;pos3y;pos3z;pos4x;pos4y;pos4z;pos5x;pos5y;pos5z;pos6x;pos6y;pos6z;pos7x;pos7y;pos7z;pos8x;pos8y;pos8z;pos9x;pos9y;pos9z;pos10x;pos10y;pos10z;pos11x;pos11y;pos11z;pos12x;pos12y;pos12z;pos13x;pos13y;pos13z;pos14x;pos14y;pos14z;pos15x;pos15y;pos15z;pos16x;pos16y;pos16z;pos17x;pos17y;pos17z;pos18x;pos18y;pos18z;pos19x;pos19y;pos19z;pos20x;pos20y;pos20z;pos21x;pos21y;pos21z;pos22x;pos22y;pos22z;pos23x;pos23y;pos23z;pos24x;pos24y;pos24z;pos25x;pos25y;pos25z;pos26x;pos26y;pos26z;pos27x;pos27y;pos27z;pos28x;pos28y;pos28z;pos29x;pos29y;pos29z;pos30x;pos30y;pos30z;pos31x;pos31y;pos31z;pos32x;pos32y;pos32z;pos33x;pos33y;pos33z;pos34x;pos34y;pos34z;pos35x;pos35y;pos35z;pos36x;pos36y;pos36z;pos37x;pos37y;pos37z;pos38x;pos38y;pos38z;pos39x;pos39y;pos39z;pos40x;pos40y;pos40z;pos41x;pos41y;pos41z;pos42x;pos42y;pos42z;pos43x;pos43y;pos43z;pos44x;pos44y;pos44z;pos45x;pos45y;pos45z;pos46x;pos46y;pos46z;pos47x;pos47y;pos47z;pos48x;pos48y;pos48z;pos49x;pos49y;pos49z;pos50x;pos50y;pos50z;pos51x;pos51y;pos51z;pos52x;pos52y;pos52z;pos53x;pos53y;pos53z;pos54x;pos54y;pos54z;pos55x;pos55y;pos55z;pos56x;pos56y;pos56z;pos57x;pos57y;pos57z;pos58x;pos58y;pos58z;pos59x;pos59y;pos59z;pos60x;pos60y;pos60z;pos61x;pos61y;pos61z;pos62x;pos62y;pos62z;pos63x;pos63y;pos63z;pos64x;pos64y;pos64z;pos65x;pos65y;pos65z;pos66x;pos66y;pos66z;pos67x;pos67y;pos67z;pos68x;pos68y;pos68z;pos69x;pos69y;pos69z;pos70x;pos70y;pos70z;pos71x;pos71y;pos71z;pos72x;pos72y;pos72z;pos73x;pos73y;pos73z;pos74x;pos74y;pos74z;pos75x;pos75y;pos75z;pos76x;pos76y;pos76z;pos77x;pos77y;pos77z;pos78x;pos78y;pos78z;pos79x;pos79y;pos79z;pos80x;pos80y;pos80z;pos81x;pos81y;pos81z;pos82x;pos82y;pos82z;pos83x;pos83y;pos83z;pos84x;pos84y;pos84z;pos85x;pos85y;pos85z;pos86x;pos86y;pos86z
Nurse;Medicine distribution;0.4123117;1502;628;87;454;169;270;87;87;87;87;87;87;14.17573;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.06207625;0;0.004143191;0.06207625;0;0.004143191;0.06207625;0;0.004143191;0.06207625;0;0.004143191;0.06207625;0;0.004143191;0.06207625;0;0.004143191;0.06207625;0;0.004143191;0.06207625;0;0.004143191;0.06207625;0;0.004143191;0.06207625;0;0.004143191;0.06207625;0;0.004143191;0.06207625;0;0.004143191;0.06207625;0;0.004143191;0.06207625;0;0.004143191;0.07588302;0;0.09435925;0.07588302;0;0.09435925;0.07588302;0;0.09435925;0.07588302;0;0.09435925;0.07588302;0;0.09435925;0.07588302;0;0.09435925;0.07588302;0;0.09435925;0.07588302;0;0.09435925;0.07588302;0;0.09435925;0.07588302;0;0.09435925;0.07588302;0;0.09435925;0.07588302;0;0.09435925;0.07588302;0;0.09435925;0.07588302;0;0.09435925;0.07588302;0;0.09435925;0.07588302;0;0.09435925;0.1269887;0;0.1473746;0.1269887;0;0.1473746;0.1269887;0;0.1473746;0.1269887;0;0.1473746;0.1269887;0;0.1473746;0.1269887;0;0.1473746;0.1269887;0;0.1473746;0.1269887;0;0.1473746;0.1269887;0;0.1473746;0.1269887;0;0.1473746;0.1269887;0;0.1473746;0.1269887;0;0.1473746;0.1269887;0;0.1473746;0.1269887;0;0.1473746;0.1783052;0;0.1560668;0.1783052;0;0.1560668;0.1783052;0;0.1560668;0.1783052;0;0.1560668;0.1783052;0;0.1560668;0.1783052;0;0.1560668;0.1783052;0;0.1560668;0.1783052;0;0.1560668;0.1783052;0;0.1560668;0.1783052;0;0.1560668;0.1783052;0;0.1560668;0.1783052;0;0.1560668;0.1783052;0;0.1560668;0.1783052;0;0.1560668;0.1831309;0;0.1719069;0.1831309;0;0.1719069;0.1831309;0;0.1719069;0.1831309;0;0.1719069;0.1831309;0;0.1719069;0.1831309;0;0.1719069;0.1831309;0;0.1719069;0.1831309;0;0.1719069;0.1831309;0;0.1719069;0.1831309;0;0.1719069;0.1831309;0;0.1719069;0.1831309;0;0.1719069;0.1831309;0;0.1719069;0.1831309;0;0.1719069;0.2614126;0;0.258305;0.2614126;0;0.258305
Nurse;Medicine distribution;0.3811089;1452;628;82;449;164;265;82;82;82;82;82;82;13.17773;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.01893748;0;0.09766817;0.01893748;0;0.09766817;0.01893748;0;0.09766817;0.01893748;0;0.09766817;0.01893748;0;0.09766817;0.01893748;0;0.09766817;0.01893748;0;0.09766817;0.01893748;0;0.09766817;0.01893748;0;0.09766817;0.01893748;0;0.09766817;0.01893748;0;0.09766817;0.01893748;0;0.09766817;0.01893748;0;0.09766817;0.01893748;0;0.09766817;0.04456215;0;0.1206517;0.04456215;0;0.1206517;0.04456215;0;0.1206517;0.04456215;0;0.1206517;0.04456215;0;0.1206517;0.04456215;0;0.1206517;0.04456215;0;0.1206517;0.04456215;0;0.1206517;0.04456215;0;0.1206517;0.04456215;0;0.1206517;0.04456215;0;0.1206517;0.04456215;0;0.1206517;0.04456215;0;0.1206517;0.04456215;0;0.1206517;0.04456215;0;0.1206517;0.04456215;0;0.1206517;0.07553471;0;0.1543908;0.07553471;0;0.1543908;0.07553471;0;0.1543908;0.07553471;0;0.1543908;0.07553471;0;0.1543908;0.07553471;0;0.1543908;0.07553471;0;0.1543908;0.07553471;0;0.1543908;0.07553471;0;0.1543908;0.07553471;0;0.1543908;0.07553471;0;0.1543908;0.07553471;0;0.1543908;0.07553471;0;0.1543908;0.07553471;0;0.1543908;0.1475739;0;0.2031141;0.1475739;0;0.2031141;0.1475739;0;0.2031141;0.1475739;0;0.2031141;0.1475739;0;0.2031141;0.1475739;0;0.2031141;0.1475739;0;0.2031141;0.1475739;0;0.2031141;0.1475739;0;0.2031141;0.1475739;0;0.2031141;0.1475739;0;0.2031141;0.1475739;0;0.2031141;0.1475739;0;0.2031141;0.1475739;0;0.2031141;0.2390525;0;0.2368528;0.2390525;0;0.2368528;0.2390525;0;0.2368528;0.2390525;0;0.2368528;0.2390525;0;0.2368528;0.2390525;0;0.2368528;0.2390525;0;0.2368528;0.2390525;0;0.2368528;0.2390525;0;0.2368528;0.2390525;0;0.2368528;0.2390525;0;0.2368528;0.2390525;0;0.2368528;0.2390525;0;0.2368528;0.2390525;0;0.2368528;0.2558895;0;0.2386158;0.2558895;0;0.2386158;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
Nurse;Medicine distribution;0.2885859;1356;620;74;433;148;257;74;74;74;74;74;74;10.46319;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.08617224;0;0.00759461;0.08617224;0;0.00759461;0.08617224;0;0.00759461;0.08617224;0;0.00759461;0.08617224;0;0.00759461;0.08617224;0;0.00759461;0.08617224;0;0.00759461;0.08617224;0;0.00759461;0.08617224;0;0.00759461;0.08617224;0;0.00759461;0.08617224;0;0.00759461;0.08617224;0;0.00759461;0.08617224;0;0.00759461;0.08617224;0;0.00759461;0.08617224;0;0.00759461;0.08617224;0;0.00759461;0.09340232;0;0.08023624;0.09340232;0;0.08023624;0.09340232;0;0.08023624;0.09340232;0;0.08023624;0.09340232;0;0.08023624;0.09340232;0;0.08023624;0.09340232;0;0.08023624;0.09340232;0;0.08023624;0.09340232;0;0.08023624;0.09340232;0;0.08023624;0.09340232;0;0.08023624;0.09340232;0;0.08023624;0.09340232;0;0.08023624;0.09340232;0;0.08023624;0.1271953;0;0.1528518;0.1271953;0;0.1528518;0.1271953;0;0.1528518;0.1271953;0;0.1528518;0.1271953;0;0.1528518;0.1271953;0;0.1528518;0.1271953;0;0.1528518;0.1271953;0;0.1528518;0.1271953;0;0.1528518;0.1271953;0;0.1528518;0.1271953;0;0.1528518;0.1271953;0;0.1528518;0.1271953;0;0.1528518;0.1271953;0;0.1528518;0.1292562;0;0.1917461;0.1292562;0;0.1917461;0.1292562;0;0.1917461;0.1292562;0;0.1917461;0.1292562;0;0.1917461;0.1292562;0;0.1917461;0.1292562;0;0.1917461;0.1292562;0;0.1917461;0.1292562;0;0.1917461;0.1292562;0;0.1917461;0.1292562;0;0.1917461;0.1292562;0;0.1917461;0.1292562;0;0.1917461;0.1292562;0;0.1917461;0.1383849;0;0.1959178;0.1383849;0;0.1959178;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
Nurse;Medicine distribution;0.3645009;1356;620;74;433;148;257;74;74;74;74;74;74;10.44841;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.06461506;0;0.007179845;0.06461506;0;0.007179845;0.06461506;0;0.007179845;0.06461506;0;0.007179845;0.06461506;0;0.007179845;0.06461506;0;0.007179845;0.06461506;0;0.007179845;0.06461506;0;0.007179845;0.06461506;0;0.007179845;0.06461506;0;0.007179845;0.06461506;0;0.007179845;0.06461506;0;0.007179845;0.06461506;0;0.007179845;0.06461506;0;0.007179845;0.06461506;0;0.007179845;0.06461506;0;0.007179845;0.0870785;0;0.01646553;0.0870785;0;0.01646553;0.0870785;0;0.01646553;0.0870785;0;0.01646553;0.0870785;0;0.01646553;0.0870785;0;0.01646553;0.0870785;0;0.01646553;0.0870785;0;0.01646553;0.0870785;0;0.01646553;0.0870785;0;0.01646553;0.0870785;0;0.01646553;0.0870785;0;0.01646553;0.0870785;0;0.01646553;0.0870785;0;0.01646553;0.140384;0;0.06397822;0.140384;0;0.06397822;0.140384;0;0.06397822;0.140384;0;0.06397822;0.140384;0;0.06397822;0.140384;0;0.06397822;0.140384;0;0.06397822;0.140384;0;0.06397822;0.140384;0;0.06397822;0.140384;0;0.06397822;0.140384;0;0.06397822;0.140384;0;0.06397822;0.140384;0;0.06397822;0.140384;0;0.06397822;0.2072076;0;0.1474524;0.2072076;0;0.1474524;0.2072076;0;0.1474524;0.2072076;0;0.1474524;0.2072076;0;0.1474524;0.2072076;0;0.1474524;0.2072076;0;0.1474524;0.2072076;0;0.1474524;0.2072076;0;0.1474524;0.2072076;0;0.1474524;0.2072076;0;0.1474524;0.2072076;0;0.1474524;0.2072076;0;0.1474524;0.2072076;0;0.1474524;0.2464851;0;0.2359778;0.2464851;0;0.2359778;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
Nurse;Medicine distribution;0.387813;1326;614;72;425;144;253;72;72;72;72;72;72;10.18093;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.05853506;0;0.08754728;0.05853506;0;0.08754728;0.05853506;0;0.08754728;0.05853506;0;0.08754728;0.05853506;0;0.08754728;0.05853506;0;0.08754728;0.05853506;0;0.08754728;0.05853506;0;0.08754728;0.05853506;0;0.08754728;0.05853506;0;0.08754728;0.05853506;0;0.08754728;0.05853506;0;0.08754728;0.05853506;0;0.08754728;0.05853506;0;0.08754728;0.05853506;0;0.08754728;0.0630134;0;0.1092938;0.0630134;0;0.1092938;0.0630134;0;0.1092938;0.0630134;0;0.1092938;0.0630134;0;0.1092938;0.0630134;0;0.1092938;0.0630134;0;0.1092938;0.0630134;0;0.1092938;0.0630134;0;0.1092938;0.0630134;0;0.1092938;0.0630134;0;0.1092938;0.0630134;0;0.1092938;0.0630134;0;0.1092938;0.0630134;0;0.1092938;0.0630134;0;0.1092938;0.1408409;0;0.1821044;0.1408409;0;0.1821044;0.1408409;0;0.1821044;0.1408409;0;0.1821044;0.1408409;0;0.1821044;0.1408409;0;0.1821044;0.1408409;0;0.1821044;0.1408409;0;0.1821044;0.1408409;0;0.1821044;0.1408409;0;0.1821044;0.1408409;0;0.1821044;0.1408409;0;0.1821044;0.1408409;0;0.1821044;0.1408409;0;0.1821044;0.2055343;0;0.198449;0.2055343;0;0.198449;0.2055343;0;0.198449;0.2055343;0;0.198449;0.2055343;0;0.198449;0.2055343;0;0.198449;0.2055343;0;0.198449;0.2055343;0;0.198449;0.2055343;0;0.198449;0.2055343;0;0.198449;0.2055343;0;0.198449;0.2055343;0;0.198449;0.2055343;0;0.198449;0.2189611;0;0.2844011;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
Nurse;Medicine distribution;0.3954818;1214;586;65;390;130;239;65;65;65;65;65;65;9.15285;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.08440415;0;0.06123115;0.08440415;0;0.06123115;0.08440415;0;0.06123115;0.08440415;0;0.06123115;0.08440415;0;0.06123115;0.08440415;0;0.06123115;0.08440415;0;0.06123115;0.08440415;0;0.06123115;0.08440415;0;0.06123115;0.08440415;0;0.06123115;0.08440415;0;0.06123115;0.08440415;0;0.06123115;0.08440415;0;0.06123115;0.08440415;0;0.06123115;0.1388771;0;0.1129377;0.1388771;0;0.1129377;0.1388771;0;0.1129377;0.1388771;0;0.1129377;0.1388771;0;0.1129377;0.1388771;0;0.1129377;0.1388771;0;0.1129377;0.1388771;0;0.1129377;0.1388771;0;0.1129377;0.1388771;0;0.1129377;0.1388771;0;0.1129377;0.1388771;0;0.1129377;0.1388771;0;0.1129377;0.1388771;0;0.1129377;0.1388771;0;0.1129377;0.195105;0;0.198372;0.195105;0;0.198372;0.195105;0;0.198372;0.195105;0;0.198372;0.195105;0;0.198372;0.195105;0;0.198372;0.195105;0;0.198372;0.195105;0;0.198372;0.195105;0;0.198372;0.195105;0;0.198372;0.195105;0;0.198372;0.195105;0;0.198372;0.195105;0;0.198372;0.195105;0;0.198372;0.2729689;0;0.2813966;0.2729689;0;0.2813966;0.2729689;0;0.2813966;0.2729689;0;0.2813966;0.2729689;0;0.2813966;0.2729689;0;0.2813966;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
Nurse;Medicine distribution;0.3479417;1095;551;58;348;116;225;58;58;58;58;58;58;8.174924;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.098805;0;0.09701722;0.098805;0;0.09701722;0.098805;0;0.09701722;0.098805;0;0.09701722;0.098805;0;0.09701722;0.098805;0;0.09701722;0.098805;0;0.09701722;0.098805;0;0.09701722;0.098805;0;0.09701722;0.098805;0;0.09701722;0.098805;0;0.09701722;0.098805;0;0.09701722;0.098805;0;0.09701722;0.098805;0;0.09701722;0.098805;0;0.09701722;0.1767395;0;0.1669408;0.1767395;0;0.1669408;0.1767395;0;0.1669408;0.1767395;0;0.1669408;0.1767395;0;0.1669408;0.1767395;0;0.1669408;0.1767395;0;0.1669408;0.1767395;0;0.1669408;0.1767395;0;0.1669408;0.1767395;0;0.1669408;0.1767395;0;0.1669408;0.1767395;0;0.1669408;0.1767395;0;0.1669408;0.1767395;0;0.1669408;0.230231;0;0.1994328;0.230231;0;0.1994328;0.230231;0;0.1994328;0.230231;0;0.1994328;0.230231;0;0.1994328;0.230231;0;0.1994328;0.230231;0;0.1994328;0.230231;0;0.1994328;0.230231;0;0.1994328;0.230231;0;0.1994328;0.230231;0;0.1994328;0.230231;0;0.1994328;0.230231;0;0.1994328;0.2687745;0;0.2165598;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
Nurse;Medicine distribution;0.2375045;933;497;49;294;98;198;49;49;49;49;49;49;7.144358;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.03789236;0;0.09874084;0.03789236;0;0.09874084;0.03789236;0;0.09874084;0.03789236;0;0.09874084;0.03789236;0;0.09874084;0.03789236;0;0.09874084;0.03789236;0;0.09874084;0.03789236;0;0.09874084;0.03789236;0;0.09874084;0.03789236;0;0.09874084;0.03789236;0;0.09874084;0.03789236;0;0.09874084;0.03789236;0;0.09874084;0.03789236;0;0.09874084;0.03789236;0;0.09874084;0.04424794;0;0.1655433;0.04424794;0;0.1655433;0.04424794;0;0.1655433;0.04424794;0;0.1655433;0.04424794;0;0.1655433;0.04424794;0;0.1655433;0.04424794;0;0.1655433;0.04424794;0;0.1655433;0.04424794;0;0.1655433;0.04424794;0;0.1655433;0.04424794;0;0.1655433;0.04424794;0;0.1655433;0.04424794;0;0.1655433;0.04424794;0;0.1655433;0.075037;0;0.2223778;0.075037;0;0.2223778;0.075037;0;0.2223778;0.075037;0;0.2223778;0.075037;0;0.2223778;0.075037;0;0.2223778;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
Nurse;Medicine distribution;0.2142843;825;455;43;258;86;180;43;43;43;43;43;43;6.174425;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.02364562;0;0.09323611;0.02364562;0;0.09323611;0.02364562;0;0.09323611;0.02364562;0;0.09323611;0.02364562;0;0.09323611;0.02364562;0;0.09323611;0.02364562;0;0.09323611;0.02364562;0;0.09323611;0.02364562;0;0.09323611;0.02364562;0;0.09323611;0.02364562;0;0.09323611;0.02364562;0;0.09323611;0.02364562;0;0.09323611;0.02364562;0;0.09323611;0.04567828;0;0.1023532;0.04567828;0;0.1023532;0.04567828;0;0.1023532;0.04567828;0;0.1023532;0.04567828;0;0.1023532;0.04567828;0;0.1023532;0.04567828;0;0.1023532;0.04567828;0;0.1023532;0.04567828;0;0.1023532;0.04567828;0;0.1023532;0.04567828;0;0.1023532;0.04567828;0;0.1023532;0.04567828;0;0.1023532;0.1033283;0;0.1769181;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
Nurse;Medicine distribution;0.2043003;699;399;36;216;72;159;36;36;36;36;36;36;5.155845;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.008821202;0;0.08298574;0.008821202;0;0.08298574;0.008821202;0;0.08298574;0.008821202;0;0.08298574;0.008821202;0;0.08298574;0.008821202;0;0.08298574;0.008821202;0;0.08298574;0.008821202;0;0.08298574;0.008821202;0;0.08298574;0.008821202;0;0.08298574;0.008821202;0;0.08298574;0.008821202;0;0.08298574;0.008821202;0;0.08298574;0.008821202;0;0.08298574;0.09814154;0;0.1643852;0.09814154;0;0.1643852;0.09814154;0;0.1643852;0.09814154;0;0.1643852;0.09814154;0;0.1643852;0.09814154;0;0.1643852;0.09814154;0;0.1643852;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
