AgentType;TaskName;Distance;Collisions;Collisions_Medicine distribution;Collisions_Undergoing triage;Collisions_monitoring patients ;Collisions_Patient round;Collisions_Supporting family member;Collisions_Writing report;Collisions_Monitoring patients;Collisions_Wheeling patient on a stretcher;Collisions_Bringing wheelchair;Collisions_Cleaner ;Collisions_Admitting patient in waiting area ;Duration;pos0x;pos0y;pos0z;pos1x;pos1y;pos1z;pos2x;pos2y;pos2z;pos3x;pos3y;pos3z;pos4x;pos4y;pos4z;pos5x;pos5y;pos5z;pos6x;pos6y;pos6z;pos7x;pos7y;pos7z;pos8x;pos8y;pos8z;pos9x;pos9y;pos9z;pos10x;pos10y;pos10z;pos11x;pos11y;pos11z;pos12x;pos12y;pos12z;pos13x;pos13y;pos13z
Nurse;Medicine distribution;15.99963;0;0;0;0;0;0;0;0;0;0;0;0;15.80066;-13.22;0.5166667;-13.119;-15.04435;0.5166667;-12.2599;-16.90541;0.5166667;-11.4408;-19.12483;0.5166667;-11.86162;-21.21362;0.5166667;-12.2532;-23.30107;0.5166667;-13.08723;-24.31;0.5166667;-13.709;-24.31;0.5166667;-13.709;-24.31;0.5166667;-13.709;-24.31;0.5166667;-13.709;-24.31;0.5166667;-13.709;-24.25015;0.5166667;-13.60911;-22.42482;0.5166667;-12.74836;-20.51545;0.5166667;-12.15965
Nurse;Medicine distribution;18.25538;0;0;0;0;0;0;0;0;0;0;0;0;13.89287;-13.18651;0.5166667;-14.11374;-12.11733;0.5166667;-15.862;-12.80424;0.5166667;-17.0985;-14.21185;0.5166667;-18.06025;-16.02058;0.5166667;-19.38107;-17.64066;0.5166667;-20.67336;-19.07888;0.5166667;-22.20302;-20.41232;0.5166667;-24.04544;-21.60015;0.5166667;-25.6833;-22.20868;0.5166667;-27.61955;-22.23334;0.5166667;-27.96667;-22.23334;0.5166667;-27.96667;-22.23334;0.5166667;-27.96667;NaN;NaN;NaN
Nurse;Medicine distribution;12.62638;0;0;0;0;0;0;0;0;0;0;0;0;13.68338;-13.82511;0.5166667;-13.54729;-12.4778;0.5166667;-14.70857;-11.88668;0.5166667;-16.80805;-13.04462;0.5166667;-17.14462;-14.98657;0.5166667;-17.49495;-16.84157;0.5166667;-16.70728;-18.49959;0.5166667;-17.55691;-19.40033;0.5166667;-18.45373;-19.40033;0.5166667;-18.45373;-19.40033;0.5166667;-18.45373;-19.40033;0.5166667;-18.45373;-19.40033;0.5166667;-18.45373;-19.13142;0.5166667;-18.24897;NaN;NaN;NaN
Nurse;Medicine distribution;13.56338;0;0;0;0;0;0;0;0;0;0;0;0;12.53384;-13.34802;0.5166667;-12.45533;-15.53305;0.5166667;-11.8822;-17.6207;0.5166667;-11.59478;-19.86443;0.5166667;-11.28941;-21.83023;0.5166667;-10.63343;-23.83669;0.5166667;-9.962651;-25.43429;0.5166667;-11.5927;-25.715;0.5166667;-11.96;-25.715;0.5166667;-11.96;-25.715;0.5166667;-11.96;-25.715;0.5166667;-11.96;-25.715;0.5166667;-11.96;NaN;NaN;NaN;NaN;NaN;NaN
Nurse;Medicine distribution;14.40803;0;0;0;0;0;0;0;0;0;0;0;0;11.57257;-13.81691;0.5166667;-12.33164;-15.87362;0.5166667;-11.79392;-18.1766;0.5166667;-11.4762;-19.95551;0.5166667;-11.16044;-21.23778;0.5166667;-9.474881;-22.67249;0.5166667;-7.578052;-23.57733;0.5166667;-5.82173;-23.925;0.7701981;-4.198999;-23.925;0.7701981;-4.198999;-23.925;0.7701981;-4.198999;-23.925;0.7701981;-4.198999;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
Nurse;Medicine distribution;18.04071;0;0;0;0;0;0;0;0;0;0;0;0;10.712;-12.40355;0.5166667;-14.17197;-11.93702;0.5166667;-16.46479;-11.69841;0.5166667;-18.45067;-11.57812;0.5166667;-19.41157;-10.65358;0.5166667;-21.61931;-9.85611;0.5166667;-23.46848;-9.72538;0.5166667;-25.52629;-9.751919;0.5166667;-27.57968;-9.778929;0.5166667;-29.66957;-9.811856;0.5166667;-31.78876;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
Nurse;Medicine distribution;15.15548;0;0;0;0;0;0;0;0;0;0;0;0;9.649847;-14.66755;0.5166667;-12.74944;-16.38829;0.5166667;-11.60972;-18.4439;0.5166667;-11.56843;-19.79711;0.5166667;-10.84042;-18.20286;0.5166667;-9.599721;-16.32168;0.5166667;-8.781392;-14.33592;0.5166667;-8.130082;-12.32739;0.5166667;-7.555123;-11.12689;0.5166667;-7.21326;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
Nurse;Medicine distribution;16.24336;0;0;0;0;0;0;0;0;0;0;0;0;8.795864;-13.22;0.5166667;-13.119;-15.09488;0.5166667;-12.23611;-17.04502;0.5166667;-11.48616;-19.34647;0.5166667;-11.69341;-18.94086;0.5166667;-10.07927;-17.28198;0.5166667;-8.824097;-15.57661;0.5166667;-7.55055;-14.65035;0.5166667;-5.846447;-14.51368;0.6297032;-3.896155;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
Nurse;Medicine distribution;13.21119;0;0;0;0;0;0;0;0;0;0;0;0;7.622041;-13.22;0.5166667;-13.119;-12.59258;0.5166667;-14.64226;-11.82597;0.5166667;-16.74104;-12.19339;0.5166667;-17.94038;-10.90661;0.5166667;-19.53258;-9.199089;0.5166667;-18.68721;-7.461365;0.5166667;-17.5376;-5.431622;0.5166667;-17.73109;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
Nurse;Medicine distribution;11.88683;0;0;0;0;0;0;0;0;0;0;0;0;6.746291;-12.98762;0.5166667;-12.62556;-15.16439;0.5166667;-11.97484;-17.1332;0.5166667;-11.54764;-19.20583;0.5166667;-11.61741;-19.19135;0.5166667;-10.30867;-17.5332;0.5166667;-9.036312;-15.84425;0.5166667;-7.742465;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
