AgentType;TaskName;Distance;Collisions;Collisions_Medicine distribution;Collisions_Undergoing triage;Collisions_monitoring patients ;Collisions_Patient round ;Collisions_Supporting family member;Collisions_Writing report;Collisions_Monitoring patients;Collisions_Wheeling patient on a stretcher;Collisions_Bringing wheelchair;Collisions_Cleaner ;Collisions_Admitting patient in waiting area ;Duration;pos0x;pos0y;pos0z;pos1x;pos1y;pos1z;pos2x;pos2y;pos2z;pos3x;pos3y;pos3z;pos4x;pos4y;pos4z;pos5x;pos5y;pos5z;pos6x;pos6y;pos6z;pos7x;pos7y;pos7z;pos8x;pos8y;pos8z;pos9x;pos9y;pos9z;pos10x;pos10y;pos10z;pos11x;pos11y;pos11z;pos12x;pos12y;pos12z;pos13x;pos13y;pos13z;pos14x;pos14y;pos14z;pos15x;pos15y;pos15z;pos16x;pos16y;pos16z;pos17x;pos17y;pos17z;pos18x;pos18y;pos18z;pos19x;pos19y;pos19z
Nurse;Medicine distribution;29.27353;1;0;0;0;0;0;1;0;0;0;0;0;24.11782;-13.30314;0.5166667;-13.29554;-15.09804;0.5166667;-12.33456;-17.09592;0.5166667;-11.41927;-19.53078;0.5166667;-11.60328;-18.69868;0.5166667;-9.988808;-16.79171;0.5166667;-8.891689;-14.66125;0.5166667;-8.253562;-12.47917;0.5166667;-7.566843;-11.12052;0.5166667;-7.215382;-11.41954;0.5166667;-5.860759;-10.07521;0.5166667;-4.061186;-9.689417;0.5166667;-3.523122;-9.689417;0.5166667;-3.523122;-9.689417;0.5166667;-3.523122;-9.689417;0.5166667;-3.523122;-9.689417;0.5166667;-3.523122;-8.587831;0.5166667;-4.69224;-7.944386;0.5166667;-6.598032;-8.070713;0.5166667;-9.143357;-8.199195;0.5166667;-11.34468
Nurse;Medicine distribution;26.86174;0;15;0;0;0;0;0;0;0;0;0;0;21.32915;-12.8001;0.5166667;-14.13844;-11.94662;0.5166667;-16.20384;-12.68596;0.5166667;-17.05263;-14.18175;0.5166667;-18.0277;-15.96396;0.5166667;-19.36733;-17.71474;0.5166667;-20.73876;-19.17304;0.5166667;-22.23161;-20.44605;0.5166667;-24.04605;-21.71375;0.522729;-25.84036;-22.22148;0.5166667;-27.86582;-22.23334;0.5166667;-27.96667;-22.23334;0.5166667;-27.96667;-22.23334;0.5166667;-27.96667;-22.23334;0.5166667;-27.96667;-22.23334;0.5166667;-27.96667;-21.81633;0.5166667;-26.35516;-20.89842;0.5166667;-24.45765;-19.24411;0.5166667;-22.45434;-17.87041;0.5166667;-20.73377;NaN;NaN;NaN
Nurse;Medicine distribution;27.14738;0;4;0;0;0;0;0;0;0;0;0;0;21.10638;-13.13771;0.5166667;-13.80734;-12.13253;0.5166667;-15.80688;-11.61946;0.5166667;-18.18787;-11.49026;0.5166667;-20.24344;-10.51019;0.5166667;-22.24777;-9.547006;0.5166667;-24.24252;-9.460816;0.5166667;-26.41963;-9.614463;0.5166667;-28.63078;-9.765433;0.5166667;-30.82167;-10.52251;0.5166667;-31.69194;-11.65306;0.5289611;-29.84555;-11.88;0.5333334;-29.474;-11.88;0.5333334;-29.474;-11.88;0.5333334;-29.474;-11.88;0.5333334;-29.474;-11.88;0.5333334;-29.474;-10.89038;0.5166667;-30.73346;-9.095808;0.5166667;-31.01016;-8.584674;0.5166667;-28.86526;NaN;NaN;NaN
Nurse;Medicine distribution;28.19412;0;15;0;0;0;0;0;0;0;0;0;0;20.89566;-13.10907;0.5166667;-13.38833;-12.25659;0.5166667;-15.45797;-12.80846;0.5166667;-17.13574;-14.5146;0.5166667;-18.26987;-16.2856;0.5166667;-19.62561;-18.03929;0.5166667;-20.99332;-19.45159;0.5166667;-22.62263;-20.723;0.5166667;-24.43819;-21.9834;0.5166667;-26.23661;-22.23334;0.5166667;-27.96667;-22.23334;0.5166667;-27.96667;-22.23334;0.5166667;-27.96667;-22.23334;0.5166667;-27.96667;-22.23334;0.5166667;-27.96667;-22.03389;0.5166667;-27.68113;-21.6704;0.5166667;-25.60357;-20.5112;0.5166667;-23.79784;-18.83138;0.5166667;-21.86845;-17.26711;0.5166667;-20.30964;NaN;NaN;NaN
Nurse;Medicine distribution;24.2016;0;5;0;0;0;0;0;0;0;0;0;0;20.12274;-12.79193;0.5166667;-14.15829;-11.82213;0.5166667;-16.5122;-12.37148;0.5166667;-16.96519;-14.10667;0.5166667;-18.10644;-15.99779;0.5166667;-19.27433;-17.81636;0.5166667;-20.47333;-19.63483;0.5166667;-21.74058;-21.43365;0.5166667;-22.99732;-23.2542;0.5166667;-23.1458;-25.14514;0.5166667;-22.1532;-26.78;0.5166667;-22.965;-26.78;0.5166667;-22.965;-26.78;0.5166667;-22.965;-26.78;0.5166667;-22.965;-26.78;0.5166667;-22.965;-26.78;0.5166667;-22.965;-24.76738;0.5166667;-22.16106;-22.75627;0.5166667;-22.76667;NaN;NaN;NaN;NaN;NaN;NaN
Nurse;Medicine distribution;23.3982;0;0;0;0;0;0;0;0;0;0;0;0;18.8363;-12.84154;0.5166667;-14.03784;-11.98904;0.5166667;-16.09872;-11.72378;0.5166667;-18.29569;-10.83896;0.5166667;-19.51233;-8.919824;0.5166667;-18.39783;-7.013124;0.5166667;-17.28139;-4.885795;0.5166667;-17.82979;-4.63;0.5166667;-17.914;-4.63;0.5166667;-17.914;-4.63;0.5166667;-17.914;-4.63;0.5166667;-17.914;-4.63;0.5166667;-17.914;-5.918444;0.5166667;-17.17846;-7.845842;0.5166667;-16.19302;-8.183024;0.5166667;-14.04736;-8.202368;0.5166667;-11.48868;-8.312702;0.5166667;-9.314855;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
Nurse;Medicine distribution;21.90313;0;5;0;0;0;0;0;0;0;0;0;0;17.91933;-12.69469;0.5166667;-14.39434;-11.84605;0.5166667;-16.45077;-13.5658;0.5166667;-17.6345;-15.38283;0.5166667;-18.86394;-17.21366;0.5166667;-20.11328;-19.02836;0.5166667;-21.3533;-20.76184;0.5166667;-22.52176;-22.60207;0.5166667;-23.36024;-24.84339;0.5166667;-22.27006;-26.65989;0.5166667;-22.81443;-26.78;0.5166667;-22.965;-26.78;0.5166667;-22.965;-26.78;0.5166667;-22.965;-26.78;0.5166667;-22.965;-26.69941;0.5166667;-22.944;-24.65669;0.5166667;-22.11355;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
Nurse;Medicine distribution;21.10558;0;0;0;0;0;0;0;0;0;0;0;0;16.987;-13.22;0.5166667;-13.119;-14.81395;0.5166667;-12.3684;-16.8466;0.5166667;-11.47642;-19.04458;0.5166667;-11.61006;-20.98514;0.5166667;-11.22928;-22.97705;0.5166667;-10.30252;-24.67913;0.5166667;-10.54715;-25.715;0.5166667;-11.96;-25.715;0.5166667;-11.96;-25.715;0.5166667;-11.96;-25.715;0.5166667;-11.96;-25.715;0.5166667;-11.96;-25.29097;0.5166667;-11.56357;-23.72086;0.5166667;-10.07603;-21.69462;0.5166667;-11.22137;-20.17317;0.5166667;-12.81746;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
Nurse;Medicine distribution;25.58302;2;1;0;0;0;0;0;0;1;1;0;0;16.05871;-13.22;0.5166667;-13.119;-12.40786;0.5166667;-15.09072;-11.98139;0.5166667;-17.05871;-12.97938;0.5166667;-17.07938;-12.25502;0.5166667;-18.67591;-10.48216;0.5166667;-19.95117;-9.722001;0.5166667;-18.41671;-9.155387;0.5166667;-15.84818;-8.724592;0.5166667;-13.73147;-8.218297;0.5166667;-11.53486;-7.843598;0.5166667;-9.412152;-7.068203;0.5166667;-7.372134;-5.398878;0.5166667;-5.984577;-4.59;0.5166667;-5.049999;-4.59;0.5166667;-5.049999;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
Nurse;Medicine distribution;14.77423;0;1;0;0;0;0;0;0;0;0;0;0;14.94376;-13.22;0.5166667;-13.119;-12.53081;0.5166667;-15.17756;-12.21587;0.5166667;-15.83333;-11.28789;0.5166667;-16.76831;-11.76436;0.5166667;-18.87834;-10.38803;0.5166667;-19.96112;-7.937243;0.5166667;-20.60493;-5.809978;0.5166667;-21.18569;-5.11;0.5166667;-21.46667;-5.11;0.5166667;-21.46667;-5.11;0.5166667;-21.46667;-5.11;0.5166667;-21.46667;-5.11;0.5166667;-21.46667;-6.178725;0.5166667;-21.03964;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
Nurse;Medicine distribution;24.06238;1;2;0;0;0;0;0;0;1;0;0;0;14.01648;-13.08338;0.5166667;-13.46883;-12.2343;0.5166667;-15.51623;-12.04985;0.5166667;-17.02652;-13.20142;0.5166667;-17.38568;-11.96018;0.5166667;-18.83809;-10.1112;0.5166667;-18.87807;-9.393325;0.5166667;-16.85215;-8.861911;0.5166667;-14.63112;-8.444485;0.5166667;-12.50154;-7.977627;0.5166667;-10.27295;-7.598919;0.5166667;-8.144768;-5.803865;0.5166667;-6.287528;-4.59;0.5166667;-5.049999;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
