AgentType;TaskName;Distance;Collisions;Collisions_Medicine distribution;Collisions_Undergoing triage;Collisions_monitoring patients ;Collisions_Patient round ;Collisions_Supporting family member;Collisions_Writing report;Collisions_Monitoring patients;Collisions_Wheeling patient on a stretcher;Collisions_Bringing wheelchair;Collisions_Cleaner ;Collisions_Admitting patient in waiting area;Duration;pos0x;pos0y;pos0z;pos1x;pos1y;pos1z;pos2x;pos2y;pos2z;pos3x;pos3y;pos3z;pos4x;pos4y;pos4z;pos5x;pos5y;pos5z;pos6x;pos6y;pos6z;pos7x;pos7y;pos7z;pos8x;pos8y;pos8z;pos9x;pos9y;pos9z;pos10x;pos10y;pos10z;pos11x;pos11y;pos11z;pos12x;pos12y;pos12z;pos13x;pos13y;pos13z;pos14x;pos14y;pos14z;pos15x;pos15y;pos15z;pos16x;pos16y;pos16z;pos17x;pos17y;pos17z;pos18x;pos18y;pos18z;pos19x;pos19y;pos19z;pos20x;pos20y;pos20z;pos21x;pos21y;pos21z;pos22x;pos22y;pos22z;pos23x;pos23y;pos23z;pos24x;pos24y;pos24z
Nurse;Medicine distribution;38.61201;1;0;0;0;0;0;1;0;0;0;0;0;27.1944;-13.40044;0.5166667;-13.19332;-12.5159;0.5166667;-15.04006;-12.0909;0.5166667;-16.8431;-13.70671;0.5166667;-17.67888;-15.6292;0.5166667;-19.09527;-17.26464;0.5166667;-20.38258;-18.78717;0.5166667;-21.76401;-19.96353;0.5166667;-23.42913;-21.19549;0.5166667;-25.12857;-22.13198;0.5166667;-26.97107;-22.23334;0.5166667;-27.96667;-22.23334;0.5166667;-27.96667;-22.23334;0.5166667;-27.96667;-22.23334;0.5166667;-27.96667;-22.23334;0.5166667;-27.96667;-22.12596;0.5166667;-27.61518;-21.65734;0.5166667;-25.65487;-20.53887;0.5166667;-24.01286;-19.24537;0.5166667;-22.42864;-17.97289;0.5166667;-20.86515;-16.20586;0.5166667;-19.50883;-14.56262;0.5166667;-18.39057;-12.9263;0.5166667;-19.41713;-11.18364;0.5166667;-20.69623;-9.230418;0.5166667;-22.12989
Nurse;Medicine distribution;35.1612;0;4;0;0;0;0;0;0;0;0;0;0;25.16509;-12.65058;0.5166667;-14.08496;-12.0292;0.5166667;-16.00686;-12.85373;0.5166667;-17.10023;-14.79995;0.5166667;-18.48494;-16.4558;0.5166667;-19.74345;-18.08072;0.5166667;-21.02517;-19.38294;0.5166667;-22.60599;-20.60126;0.5166667;-24.31378;-19.98758;0.5166667;-26.0774;-18.7856;0.5166667;-27.77766;-17.62668;0.5166667;-29.42516;-17.20122;0.5166667;-31.2227;-17.29521;0.5166667;-32.16669;-17.29521;0.5166667;-32.16669;-17.29521;0.5166667;-32.16669;-17.29521;0.5166667;-32.16669;-17.29521;0.5166667;-32.16669;-17.24032;0.5166667;-31.80021;-17.44508;0.5166667;-29.79111;-17.88843;0.5166667;-28.14056;-19.05769;0.5166667;-26.47172;-20.21486;0.5166667;-24.83027;-20.3247;0.5166667;-23.07345;-18.84428;0.5166667;-21.15543;NaN;NaN;NaN
Nurse;Medicine distribution;32.96195;2;4;0;0;0;0;0;0;1;1;0;0;24.95338;-12.95629;0.5166667;-13.75925;-12.18606;0.5166667;-15.62922;-12.37034;0.5166667;-17.163;-13.21623;0.5166667;-17.4149;-12.00788;0.5166667;-18.70088;-11.30068;0.5166667;-19.38382;-9.922197;0.5166667;-18.37885;-9.308298;0.5166667;-16.39071;-8.838466;0.5166667;-14.26119;-8.420959;0.5166667;-12.22039;-8.014499;0.5166667;-10.23357;-7.612959;0.5166667;-8.266424;-6.253935;0.5166667;-6.735693;-4.811687;0.5166667;-5.305233;-4.59;0.5166667;-5.049999;-4.59;0.5166667;-5.049999;-4.59;0.5166667;-5.049999;-4.59;0.5166667;-5.049999;-4.59;0.5166667;-5.049999;-5.014978;0.5166667;-5.521152;-6.489625;0.5166667;-6.918406;-8.078736;0.5166667;-8.151344;-10.22072;0.5166667;-8.442503;-12.62198;0.5166667;-8.765556;NaN;NaN;NaN
Nurse;Medicine distribution;34.02917;1;3;0;0;0;0;1;0;0;0;0;0;24.17486;-13.22;0.5166667;-13.119;-12.80665;0.5166667;-14.49376;-11.82467;0.5166667;-16.40186;-13.42967;0.5166667;-17.48412;-15.14386;0.5166667;-18.66454;-16.80985;0.5166667;-19.83372;-18.57975;0.5166667;-21.04447;-20.27592;0.5166667;-22.24432;-21.9639;0.5166667;-23.39357;-23.8812;0.5166667;-22.70383;-25.68363;0.5166667;-21.95771;-26.78;0.5166667;-22.965;-26.78;0.5166667;-22.965;-26.78;0.5166667;-22.965;-26.78;0.5166667;-22.965;-26.78;0.5166667;-22.965;-26.78;0.5166667;-22.965;-26.35742;0.5166667;-22.68757;-24.43695;0.5166667;-22.07479;-22.52763;0.5166667;-22.79602;-21.0294;0.5166667;-22.85755;-19.52267;0.5166667;-21.52183;-17.94958;0.5166667;-20.04779;-16.48782;0.5166667;-18.11574;NaN;NaN;NaN
Nurse;Medicine distribution;32.29293;0;0;0;0;0;0;0;0;0;0;0;0;23.12985;-14.35619;0.5166667;-12.43327;-16.6361;0.5166667;-11.54797;-18.63942;0.5166667;-11.55123;-20.17381;0.5166667;-10.94929;-21.39835;0.5166667;-9.232086;-22.68035;0.5166667;-7.575327;-23.65054;0.5166667;-5.751894;-23.925;0.7701981;-4.198999;-23.925;0.7701981;-4.198999;-23.925;0.7701981;-4.198999;-23.925;0.7701981;-4.198999;-23.925;0.7701981;-4.198999;-23.925;0.7701981;-4.198999;-23.45201;0.5166667;-5.586456;-22.87893;0.5166667;-7.522862;-21.66963;0.5166667;-9.172237;-20.47375;0.5166667;-10.80096;-19.18272;0.5166667;-12.49308;-17.98431;0.5166667;-14.14111;-16.80019;0.5166667;-15.76968;-15.52895;0.5166667;-17.51808;-14.10772;0.5166667;-19.47033;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
Nurse;Medicine distribution;27.67916;0;0;0;0;0;0;0;0;0;0;0;0;22.05665;-14.84826;0.5166667;-12.49817;-16.64607;0.5166667;-11.45185;-18.53985;0.5166667;-11.54221;-19.60419;0.5166667;-10.60052;-17.90277;0.5166667;-9.38857;-15.82012;0.5166667;-8.596377;-13.82406;0.5166667;-8.000622;-11.88104;0.5166667;-7.424283;-11.31773;0.5166667;-6.946821;-11.09377;0.5166667;-5.478938;-9.906622;0.5166667;-3.825612;-9.689417;0.5166667;-3.523122;-9.689417;0.5166667;-3.523122;-9.689417;0.5166667;-3.523122;-9.689417;0.5166667;-3.523122;-9.689417;0.5166667;-3.523122;-9.958611;0.5166667;-4.098536;-10.77439;0.5166667;-5.955302;-11.37956;0.5166667;-7.875758;-10.42533;0.5166667;-9.815067;-9.564933;0.5166667;-12.04021;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
Nurse;Medicine distribution;29.49219;2;0;0;0;0;0;1;0;1;0;0;0;21.16945;-13.22;0.5166667;-13.119;-12.42733;0.5166667;-15.04345;-11.83608;0.5166667;-17.00265;-11.69808;0.5166667;-19.04377;-10.45409;0.5166667;-20.61336;-8.913761;0.5166667;-22.06638;-7.426842;0.5166667;-23.49321;-5.555315;0.5166667;-24.10699;-5.395;0.5166667;-24.139;-5.395;0.5166667;-24.139;-5.395;0.5166667;-24.139;-5.395;0.5166667;-24.139;-5.395;0.5166667;-24.139;-5.749515;0.5166667;-23.94103;-7.703522;0.5166667;-23.3371;-8.434453;0.5166667;-21.72442;-8.647447;0.5166667;-19.58578;-8.920504;0.5166667;-17.56646;-9.1905;0.5166667;-15.5711;-9.480362;0.5166667;-13.42892;-9.803077;0.5166667;-11.03006;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
Nurse;Medicine distribution;27.13464;1;2;0;0;0;0;1;0;0;0;0;0;20.11775;-13.22;0.5166667;-13.119;-12.71001;0.5166667;-14.63549;-11.75651;0.5166667;-16.55072;-13.27978;0.5166667;-17.30316;-14.99776;0.5166667;-18.53836;-16.65691;0.5166667;-19.68675;-18.32408;0.5166667;-20.8414;-19.98068;0.5166667;-21.98873;-21.70335;0.5166667;-23.18429;-23.52745;0.5166667;-22.89876;-25.36358;0.5166667;-22.0227;-26.78;0.5166667;-22.965;-26.78;0.5166667;-22.965;-26.78;0.5166667;-22.965;-26.78;0.5166667;-22.965;-26.78;0.5166667;-22.965;-26.78;0.5166667;-22.965;-25.34966;0.5166667;-22.38314;-23.35536;0.5166667;-22.45803;-21.14475;0.5166667;-23.0956;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
Nurse;Medicine distribution;26.08929;1;1;0;0;0;0;1;0;0;0;0;0;19.04163;-13.22;0.5166667;-13.119;-12.67747;0.5166667;-14.70155;-11.68728;0.5166667;-16.49058;-13.0561;0.5166667;-17.1561;-14.68645;0.5166667;-18.43321;-16.31289;0.5166667;-19.64025;-17.89908;0.5166667;-20.88312;-19.26703;0.5166667;-22.45575;-20.46502;0.5166667;-23.96633;-20.49575;0.5166667;-25.36749;-19.3351;0.5166667;-27.0153;-18.1711;0.5166667;-28.66706;-16.92115;0.5166667;-30.20411;-17.45005;0.5166667;-29.65768;-17.17744;0.5166667;-30.7923;-17.29521;0.5166667;-32.16669;-17.29521;0.5166667;-32.16669;-17.29521;0.5166667;-32.16669;-17.29521;0.5166667;-32.16669;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
Nurse;Medicine distribution;21.61379;8;4;0;0;0;0;1;7;0;0;0;0;18.18177;-13.40044;0.5166667;-13.19332;-12.64095;0.5166667;-15.0224;-12.01506;0.5166667;-15.56541;-12.17583;0.5166667;-16.47265;-13.78885;0.5166667;-17.61265;-15.72655;0.5166667;-17.06529;-17.47266;0.5166667;-16.72274;-18.9839;0.5166667;-18.07908;-19.5276;0.5166667;-18.60646;-19.40033;0.5166667;-18.45373;-19.40033;0.5166667;-18.45373;-19.40033;0.5166667;-18.45373;-19.40033;0.5166667;-18.45373;-18.81945;0.5166667;-17.87463;-17.99693;0.5166667;-16.13147;-18.66985;0.5166667;-14.46632;-20.26339;0.5166667;-13.00564;-22.04948;0.5166667;-11.36847;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
