AgentType;TaskName;Distance;Collisions;Collisions_Medicine distribution;Collisions_Undergoing triage;Collisions_monitoring patients;Collisions_Patient round ;Collisions_Supporting family member;Collisions_Writing report;Collisions_Monitoring patients;Collisions_Wheeling patient on a stretcher;Collisions_Bringing wheelchair;Collisions_Cleaner ;Collisions_Admitting patient in waiting area;Duration;pos0x;pos0y;pos0z;pos1x;pos1y;pos1z;pos2x;pos2y;pos2z;pos3x;pos3y;pos3z;pos4x;pos4y;pos4z;pos5x;pos5y;pos5z;pos6x;pos6y;pos6z;pos7x;pos7y;pos7z;pos8x;pos8y;pos8z;pos9x;pos9y;pos9z;pos10x;pos10y;pos10z;pos11x;pos11y;pos11z;pos12x;pos12y;pos12z;pos13x;pos13y;pos13z;pos14x;pos14y;pos14z;pos15x;pos15y;pos15z;pos16x;pos16y;pos16z;pos17x;pos17y;pos17z;pos18x;pos18y;pos18z;pos19x;pos19y;pos19z;pos20x;pos20y;pos20z;pos21x;pos21y;pos21z;pos22x;pos22y;pos22z;pos23x;pos23y;pos23z;pos24x;pos24y;pos24z;pos25x;pos25y;pos25z;pos26x;pos26y;pos26z;pos27x;pos27y;pos27z;pos28x;pos28y;pos28z;pos29x;pos29y;pos29z;pos30x;pos30y;pos30z;pos31x;pos31y;pos31z;pos32x;pos32y;pos32z;pos33x;pos33y;pos33z;pos34x;pos34y;pos34z;pos35x;pos35y;pos35z;pos36x;pos36y;pos36z;pos37x;pos37y;pos37z
Nurse;Medicine distribution;40.55569;2;4;0;0;0;0;2;0;0;0;0;0;43.86811;-13.03957;0.5166667;-13.04468;-12.20939;0.5166667;-15.12704;-12.06013;0.5166667;-16.7791;-14.02957;0.5166667;-17.36004;-16.01232;0.5166667;-16.87969;-17.90413;0.5341932;-16.87095;-19.20236;0.5166667;-18.3425;-19.40033;0.5166667;-18.45373;-19.40033;0.5166667;-18.45373;-19.40033;0.5166667;-18.45373;-19.40033;0.5166667;-18.45373;-19.40033;0.5166667;-18.45373;-17.86464;0.5167382;-17.31268;-16.14557;0.5166667;-16.43842;-14.13566;0.5166667;-17.5382;-12.38955;0.5166667;-18.56284;-10.17492;0.5166667;-19.72754;-7.983222;0.5166667;-20.46932;-5.518823;0.5166667;-21.26193;-5.11;0.5166667;-21.46667;-5.11;0.5166667;-21.46667;-5.11;0.5166667;-21.46667;-5.11;0.5166667;-21.46667;-5.11;0.5166667;-21.46667;-6.42008;0.5166667;-20.89906;-8.328743;0.5166667;-20.25151;-10.69423;0.5166667;-19.41145;-12.17558;0.5166667;-18.21917;-12.00897;0.5166667;-15.89015;-12.89675;0.5166667;-13.80009;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
Nurse;Medicine distribution;41.00553;4;3;0;4;0;0;0;0;0;0;0;0;41.61794;-14.50773;0.5166667;-12.66695;-16.56167;0.5166667;-11.50946;-18.19125;0.5166667;-12.60817;-19.68164;0.5166667;-14.02274;-21.13766;0.5166667;-15.3954;-21.885;0.5166667;-16.114;-21.885;0.5166667;-16.114;-21.885;0.5166667;-16.114;-21.885;0.5166667;-16.114;-21.885;0.5166667;-16.114;-21.20395;0.5166667;-15.19085;-20.22275;0.5166667;-13.01978;-19.51342;0.5166667;-11.04485;-18.11037;0.5166667;-9.359248;-16.44824;0.5166667;-8.103151;-14.79469;0.5166667;-6.419643;-14.46469;0.5272792;-4.135447;-14.46667;0.9;-3.966667;-14.46667;0.9;-3.966667;-14.46667;0.9;-3.966667;-14.46667;0.9;-3.966667;-14.42127;0.775156;-3.966667;-14.66976;0.5166667;-5.742131;-15.44313;0.5166667;-7.914845;-17.14549;0.5166667;-8.924761;-19.13794;0.5166667;-10.4515;-19.33963;0.5166667;-11.88033;-17.04956;0.5166667;-11.69349;-14.82801;0.5166667;-12.21059;-13.22;0.5166667;-13.119;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
Nurse;Medicine distribution;57.8152;13;0;0;12;0;0;1;0;0;0;1;0;41.41042;-12.84666;0.5166667;-14.02539;-11.94844;0.5166667;-16.2061;-11.70118;0.5166667;-18.22198;-11.42011;0.5166667;-20.2137;-10.50587;0.5166667;-21.98833;-9.722293;0.5166667;-23.8808;-8.965925;0.5166667;-26.13188;-8.169077;0.5166667;-28.39256;-7.574887;0.5166667;-30.36078;-6.400001;0.9;-31.7;-6.400001;0.9;-31.7;-6.400001;0.9;-31.7;-6.400001;0.9;-31.7;-6.400001;0.9;-31.7;-6.37815;0.5166667;-31.55524;-7.957429;0.5166667;-29.73991;-8.235576;0.5166667;-27.4539;-8.646243;0.5166667;-24.89744;-10.03737;0.5166667;-23.01794;-11.4595;0.5166667;-21.21041;-12.78815;0.5166667;-19.36368;-14.23396;0.5166667;-17.56028;-15.62786;0.5166667;-15.74809;-17.08803;0.5166667;-13.95449;-18.36068;0.5166667;-12.39158;-19.87424;0.5166667;-10.44765;-19.62779;0.5166667;-8.18743;-19.34833;0.5166667;-5.80918;-19.2;0.5320322;-4.198999;-19.2;0.5320322;-4.198999;-19.2;0.5320322;-4.198999;-19.2;0.5320322;-4.198999;-19.2;0.5320322;-4.198999;-19.0238;0.5329261;-4.186889;-18.9969;0.5166667;-5.865924;-19.20852;0.5166667;-8.133654;-19.40811;0.5166667;-10.4143;NaN;NaN;NaN
Nurse;Medicine distribution;55.54798;0;11;0;2;0;0;0;0;0;0;0;0;40.84076;-13.22;0.5166667;-13.119;-12.35452;0.5166667;-15.22021;-11.84502;0.5166667;-17.07449;-12.59928;0.5166667;-16.97487;-14.28398;0.5166667;-18.06474;-15.83141;0.5166667;-19.2753;-17.70563;0.5166667;-20.73383;-19.3147;0.5166667;-22.37355;-20.48251;0.5166667;-24.06771;-21.73881;0.5405206;-25.93745;-22.23334;0.5166667;-27.96667;-22.23334;0.5166667;-27.96667;-22.23334;0.5166667;-27.96667;-22.23334;0.5166667;-27.96667;-22.23334;0.5166667;-27.96667;-22.12268;0.5166667;-27.83953;-21.66509;0.5166667;-25.63699;-20.31371;0.5166667;-23.43741;-18.96831;0.5166667;-21.57359;-17.531;0.5166667;-19.64254;-16.21211;0.5166667;-17.77515;-16.31454;0.5166667;-15.98303;-18.04383;0.5166667;-14.55392;-19.74585;0.5166667;-13.07313;-21.31489;0.5166667;-11.80805;-23.25638;0.5166667;-10.1513;-24.97455;0.5166667;-10.82053;-25.715;0.5166667;-11.96;-25.715;0.5166667;-11.96;-25.715;0.5166667;-11.96;-25.715;0.5166667;-11.96;-25.715;0.5166667;-11.96;-25.0216;0.5166667;-11.30652;-23.4076;0.5166667;-9.987173;-21.58319;0.5166667;-10.3755;-19.51291;0.5166667;-11.32385;-17.2335;0.5166667;-11.71329;NaN;NaN;NaN
Nurse;Medicine distribution;48.21092;1;10;0;4;0;0;0;0;0;0;0;0;39.81491;-13.07183;0.5166667;-13.47873;-12.27007;0.5166667;-15.42524;-12.09699;0.5166667;-17.01333;-13.38029;0.5166667;-17.38326;-15.0087;0.5166667;-18.6312;-16.88288;0.5166667;-20.08969;-18.67975;0.5166667;-21.61842;-19.88204;0.5166667;-23.28822;-21.18443;0.5166667;-25.12805;-22.11342;0.5166667;-27.14693;-22.23334;0.5166667;-27.96667;-22.23334;0.5166667;-27.96667;-22.23334;0.5166667;-27.96667;-22.23334;0.5166667;-27.96667;-22.23334;0.5166667;-27.96667;-21.86325;0.5166667;-26.54819;-20.83383;0.5166667;-25.78173;-19.42377;0.5166667;-27.62359;-20.00098;0.5166667;-29.82846;-20.09089;0.5166667;-30.12547;-20.09089;0.5166667;-30.12547;-20.09089;0.5166667;-30.12547;-20.09089;0.5166667;-30.12547;-20.05536;0.5166667;-30.08406;-19.84232;0.5166667;-28.05412;-20.01744;0.5166667;-25.83164;-20.67853;0.5166667;-23.70193;-19.0973;0.5166667;-22.05727;-17.4715;0.5166667;-20.4835;-15.78875;0.5166667;-19.22254;-14.04745;0.5166667;-17.91811;-12.30421;0.5166667;-16.43434;-11.95339;0.5166667;-14.75953;-13.16561;0.5166667;-13.18393;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
Nurse;Medicine distribution;51.69457;0;4;0;0;0;0;0;0;0;0;0;0;38.62977;-13.22;0.5166667;-13.119;-12.46577;0.5166667;-14.95013;-11.70064;0.5166667;-16.80455;-12.5445;0.5166667;-16.98625;-14.32237;0.5166667;-18.05713;-16.27098;0.5166667;-19.33707;-17.9505;0.5166667;-20.52583;-19.79583;0.5166667;-21.79531;-21.63833;0.5166667;-23.14097;-23.78296;0.5166667;-22.75929;-25.65893;0.5166667;-22.15583;-26.78;0.5166667;-22.965;-26.78;0.5166667;-22.965;-26.78;0.5166667;-22.965;-26.78;0.5166667;-22.965;-26.78;0.5166667;-22.965;-25.51549;0.5166667;-22.49425;-23.40044;0.5166667;-22.53491;-21.25714;0.5166667;-23.26111;-19.59144;0.5166667;-21.65876;-18.00663;0.5166667;-20.01129;-16.57212;0.5166667;-18.19709;-15.74275;0.5166667;-16.55497;-17.16367;0.5166667;-14.44807;-18.42812;0.5166667;-12.5421;-19.72717;0.5166667;-10.6556;-19.51319;0.5166667;-8.323187;-19.31874;0.5166667;-6.009145;-19.2;0.5320322;-4.198999;-19.2;0.5320322;-4.198999;-19.2;0.5320322;-4.198999;-19.2;0.5320322;-4.198999;-19.2;0.5320322;-4.198999;-19.15813;0.5327838;-4.184714;-19.25948;0.5166667;-6.390509;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
Nurse;Medicine distribution;49.00659;6;4;0;0;0;0;0;0;0;0;0;0;37.75592;-13.1201;0.5166667;-13.36153;-12.35495;0.5166667;-15.21918;-11.82435;0.5166667;-17.04214;-12.92029;0.5166667;-17.07819;-14.89527;0.5166667;-18.45182;-16.54335;0.5166667;-19.56245;-18.45421;0.5166667;-20.90302;-20.30324;0.5166667;-22.18955;-22.25957;0.5166667;-23.53887;-24.0694;0.5166667;-22.65179;-26.11692;0.5166667;-22.48253;-26.78;0.5166667;-22.965;-26.78;0.5166667;-22.965;-26.78;0.5166667;-22.965;-26.78;0.5166667;-22.965;-26.78;0.5166667;-22.965;-25.07603;0.5166667;-22.28289;-23.02011;0.5166667;-22.62693;-21.05733;0.5166667;-23.09379;-19.25074;0.5166667;-21.76376;-17.36629;0.5166667;-20.37172;-15.75775;0.5166667;-19.1734;-13.45033;0.5166667;-18.51794;-11.66017;0.5166667;-19.39718;-9.876791;0.5166667;-18.24395;-8.857468;0.5166667;-16.20832;-7.83701;0.5166667;-14.00662;-6.492277;0.5166667;-13.20455;-4.658342;0.5166667;-14.23139;-4.715;0.5166667;-14.359;-4.715;0.5166667;-14.359;-4.715;0.5166667;-14.359;-4.715;0.5166667;-14.359;-4.617503;0.5166667;-14.18551;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
Nurse;Medicine distribution;41.25782;6;1;0;6;0;1;0;0;0;0;0;0;36.72769;-13.56796;0.5166667;-12.95514;-15.42832;0.5166667;-12.07909;-17.63039;0.5166667;-11.70602;-20.00531;0.5166667;-12.01452;-22.02112;0.5166667;-12.41901;-24.04574;0.5166667;-13.5101;-24.31;0.5166667;-13.709;-24.31;0.5166667;-13.709;-24.31;0.5166667;-13.709;-24.31;0.5166667;-13.709;-24.24786;0.5166667;-13.61334;-22.58788;0.5166667;-12.44646;-20.69495;0.5166667;-11.11582;-18.57172;0.5166667;-9.61886;-16.68999;0.5166667;-8.29862;-14.74359;0.5166667;-6.909488;-14.49233;0.5166667;-4.678861;-14.46667;0.9;-3.966667;-14.46667;0.9;-3.966667;-14.46667;0.9;-3.966667;-14.46667;0.9;-3.966667;-14.46667;0.9;-3.966667;-14.56445;0.5166667;-4.340053;-15.05596;0.5166667;-6.582832;-16.12391;0.5166667;-8.326352;-18.11487;0.5166667;-9.529117;-19.57724;0.5166667;-11.01809;-18.28771;0.5166667;-11.69202;-15.99097;0.5166667;-11.69837;-14.15143;0.5166667;-12.57648;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
Nurse;Medicine distribution;41.35179;0;2;0;0;0;0;0;0;0;0;0;0;35.8709;-13.87926;0.5166667;-12.80855;-16.02445;0.5166667;-11.79157;-17.82809;0.5166667;-12.49724;-19.36381;0.5166667;-13.86673;-21.05635;0.5166667;-15.32444;-21.885;0.5166667;-16.114;-21.885;0.5166667;-16.114;-21.885;0.5166667;-16.114;-21.885;0.5166667;-16.114;-21.885;0.5166667;-16.114;-20.99474;0.5166667;-15.54287;-19.25262;0.5166667;-14.05882;-17.13886;0.5166667;-14.78994;-15.30078;0.5166667;-16.1703;-13.42643;0.5166667;-17.55452;-11.60638;0.5166667;-18.93992;-9.560733;0.5166667;-19.91529;-7.438773;0.5166667;-20.64334;-5.260365;0.5166667;-21.4;-5.11;0.5166667;-21.46667;-5.11;0.5166667;-21.46667;-5.11;0.5166667;-21.46667;-5.11;0.5166667;-21.46667;-5.11;0.5166667;-21.46667;-6.766941;0.5166667;-20.84973;-8.748603;0.5166667;-20.1464;-10.79599;0.5166667;-19.42219;-11.95316;0.5166667;-17.77894;-12.04761;0.5166667;-15.68319;-12.73498;0.5166667;-13.83104;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
Nurse;Medicine distribution;38.6655;17;0;0;2;0;0;0;6;0;1;8;0;34.86322;-12.92003;0.5166667;-13.97666;-11.98472;0.5166667;-16.10843;-11.69382;0.5166667;-18.05411;-11.28912;0.5166667;-20.3063;-10.35623;0.5166667;-22.34513;-9.480775;0.5166667;-24.55205;-8.800836;0.5166667;-26.43751;-8.110498;0.5166667;-28.62528;-7.531127;0.5166667;-30.55181;-6.411073;0.5296543;-31.85375;-6.400001;0.6393167;-31.7948;-6.400001;0.9;-31.7;-6.400001;0.9;-31.7;-6.400001;0.9;-31.7;-6.400001;0.9;-31.7;-6.400001;0.9;-31.7;-6.384774;0.5166667;-31.56146;-7.3;0.5166667;-29.89853;-7.518198;0.5166667;-30.90506;-7.793643;0.5166667;-28.3747;-7.709479;0.5166667;-26.09363;-7.492272;0.5166667;-23.9099;-5.395;0.5166667;-24.139;-5.395;0.5166667;-24.139;-5.395;0.5166667;-24.139;-5.395;0.5166667;-24.139;-5.395;0.5166667;-24.139;-5.422246;0.5166667;-24.03881;-7.267695;0.5166667;-23.47903;-8.987958;0.5166667;-22.11871;-10.40294;0.5166667;-20.25239;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
