AgentType;TaskName;Distance;Collisions;Collisions_Medicine distribution;Collisions_Undergoing triage;Collisions_monitoring patients;Collisions_Patient round ;Collisions_Supporting family member;Collisions_Writing report;Collisions_Monitoring patients;Collisions_Wheeling patient on a stretcher;Collisions_Bringing wheelchair;Collisions_Cleaner;Collisions_Admitting patient in waiting area;Duration;pos0x;pos0y;pos0z;pos1x;pos1y;pos1z;pos2x;pos2y;pos2z;pos3x;pos3y;pos3z;pos4x;pos4y;pos4z;pos5x;pos5y;pos5z;pos6x;pos6y;pos6z;pos7x;pos7y;pos7z;pos8x;pos8y;pos8z;pos9x;pos9y;pos9z;pos10x;pos10y;pos10z;pos11x;pos11y;pos11z;pos12x;pos12y;pos12z;pos13x;pos13y;pos13z;pos14x;pos14y;pos14z;pos15x;pos15y;pos15z;pos16x;pos16y;pos16z;pos17x;pos17y;pos17z;pos18x;pos18y;pos18z;pos19x;pos19y;pos19z;pos20x;pos20y;pos20z;pos21x;pos21y;pos21z;pos22x;pos22y;pos22z;pos23x;pos23y;pos23z;pos24x;pos24y;pos24z;pos25x;pos25y;pos25z;pos26x;pos26y;pos26z;pos27x;pos27y;pos27z;pos28x;pos28y;pos28z;pos29x;pos29y;pos29z;pos30x;pos30y;pos30z;pos31x;pos31y;pos31z;pos32x;pos32y;pos32z;pos33x;pos33y;pos33z;pos34x;pos34y;pos34z;pos35x;pos35y;pos35z;pos36x;pos36y;pos36z;pos37x;pos37y;pos37z;pos38x;pos38y;pos38z;pos39x;pos39y;pos39z;pos40x;pos40y;pos40z;pos41x;pos41y;pos41z;pos42x;pos42y;pos42z;pos43x;pos43y;pos43z
Nurse;Medicine distribution;69.37748;3;0;0;0;0;0;3;0;0;0;0;0;50.46267;-13.22;0.5166667;-13.119;-12.3526;0.5166667;-14.86803;-12.16474;0.5166667;-17.06739;-12.8931;0.5166667;-16.99661;-14.52915;0.5166667;-18.27147;-16.12893;0.5166667;-19.44474;-17.70182;0.5166667;-20.71744;-19.21638;0.5166667;-22.43102;-20.62013;0.5166667;-24.35134;-20.03213;0.5166667;-26.02538;-18.60051;0.5166667;-27.87856;-17.40895;0.5166667;-29.75653;-17.28768;0.5166667;-32.00989;-17.29521;0.5166667;-32.16669;-17.29521;0.5166667;-32.16669;-17.29521;0.5166667;-32.16669;-17.29521;0.5166667;-32.16669;-17.29521;0.5166667;-32.16669;-17.18903;0.5166667;-31.49534;-16.94953;0.5166667;-29.47775;-14.99277;0.5166667;-30.55058;-12.69442;0.5166667;-31.53477;-10.37688;0.5166667;-31.38366;-8.889144;0.5166667;-30.80281;-8.950071;0.5166667;-28.21516;-9.063615;0.5166667;-25.92358;-9.163445;0.5166667;-23.90948;-9.204458;0.5166667;-21.71557;-9.332438;0.5166667;-19.42717;-9.377214;0.5166667;-17.08091;-9.539472;0.5166667;-14.77277;-9.676338;0.5166667;-12.4424;-9.882167;0.5166667;-10.43186;-10.7141;0.5166667;-8.264565;-11.25587;0.5166667;-6.135204;-10.01703;0.5166667;-4.224078;-9.689417;0.5166667;-3.523122;-9.689417;0.5166667;-3.523122;-9.689417;0.5166667;-3.523122;-9.689417;0.5166667;-3.523122;-9.689417;0.5166667;-3.523122;-10.31991;0.5166667;-4.748389;-11.30677;0.5166667;-6.644086;-12.75878;0.5166667;-8.210425
Nurse;Medicine distribution;39.20534;1;6;0;0;0;0;3;0;0;0;0;0;48.17821;-12.69809;0.5166667;-14.3861;-11.79779;0.5166667;-16.57193;-11.6915;0.5166667;-18.26054;-11.20465;0.5166667;-19.48207;-9.364922;0.5166667;-18.59085;-7.599021;0.5166667;-17.61634;-5.400721;0.5166667;-17.55513;-4.63;0.5166667;-17.914;-4.63;0.5166667;-17.914;-4.63;0.5166667;-17.914;-4.63;0.5166667;-17.914;-4.63;0.5166667;-17.914;-6.018365;0.5166667;-17.14086;-8.106874;0.5166667;-15.93327;-7.744957;0.5166667;-13.97032;-6.461283;0.5166667;-13.13385;-4.818181;0.5166667;-14.28653;-4.715;0.5166667;-14.359;-4.715;0.5166667;-14.359;-4.715;0.5166667;-14.359;-4.715;0.5166667;-14.359;-5.064003;0.5166667;-14.19198;-6.998648;0.5166667;-13.52307;-8.558125;0.5166667;-14.40072;-9.27646;0.5166667;-16.57975;-9.866827;0.5166667;-18.46927;-11.59088;0.5166667;-19.74783;-12.0075;0.5166667;-17.97227;-12.07258;0.5166667;-15.67091;-12.98271;0.5166667;-13.56838;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
Nurse;Medicine distribution;38.04279;6;4;0;4;0;0;3;0;0;0;0;0;47.95841;-12.84744;0.5166667;-14.0235;-11.947;0.5166667;-16.2096;-11.75769;0.5166667;-18.09895;-11.11488;0.5166667;-19.93707;-9.587954;0.5166667;-21.31695;-8.155544;0.5166667;-22.74592;-6.185342;0.5166667;-23.88099;-5.395;0.5166667;-24.139;-5.250361;0.5166667;-24.0011;-5.395;0.5166667;-24.139;-5.395;0.5166667;-24.139;-5.395;0.5166667;-24.139;-6.84444;0.5166667;-23.59811;-8.109803;0.5166667;-22.12614;-7.905416;0.5166667;-20.13076;-7.675539;0.5166667;-17.85599;-6.376375;0.5166667;-17.04854;-4.63;0.5166667;-17.914;-4.63;0.5166667;-17.914;-4.63;0.5166667;-17.914;-4.63;0.5166667;-17.914;-4.63;0.5166667;-17.914;-4.866099;0.5166667;-17.84349;-7.377945;0.5166667;-17.55943;-9.356076;0.5166667;-18.29915;-11.06925;0.5166667;-19.34543;-11.96765;0.5166667;-18.02483;-12.03865;0.5166667;-15.73439;-12.8756;0.5166667;-13.69458;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
Nurse;Medicine distribution;45.17594;1;5;0;0;2;1;0;0;0;0;0;0;47.39257;-13.22;0.5166667;-13.119;-15.28026;0.5166667;-12.14881;-17.15257;0.5166667;-11.43422;-19.07907;0.5166667;-11.69261;-19.32687;0.5166667;-10.453;-17.71008;0.5166667;-9.125411;-15.81562;0.5166667;-7.710883;-14.55977;0.5166667;-5.82965;-14.48944;0.7690704;-3.932511;-14.46667;0.9;-3.966667;-14.46667;0.9;-3.966667;-14.46667;0.9;-3.966667;-14.46667;0.9;-3.966667;-14.45927;0.8796693;-3.966667;-14.90219;0.5166667;-5.919981;-15.68583;0.5166667;-7.923294;-17.62066;0.5166667;-8.457881;-19.66612;0.5166667;-9.022781;-21.80709;0.5166667;-9.614057;-23.95141;0.5166667;-10.19994;-25.715;0.5166667;-11.96;-25.715;0.5166667;-11.96;-25.715;0.5166667;-11.96;-25.715;0.5166667;-11.96;-25.715;0.5166667;-11.96;-25.37368;0.5166667;-11.67675;-23.81064;0.5166667;-10.15494;-21.60312;0.5166667;-10.36098;-19.56047;0.5166667;-11.30398;-17.2755;0.5166667;-11.70272;-15.04649;0.5166667;-12.05054;-13.38837;0.5166667;-13.12432;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
Nurse;Medicine distribution;51.21689;2;6;0;0;3;0;0;1;0;0;0;0;46.36533;-13.0706;0.5166667;-13.48172;-12.29521;0.5166667;-15.36422;-11.73847;0.5166667;-17.31427;-11.73802;0.5166667;-19.30315;-10.15291;0.5166667;-19.12402;-9.104833;0.5166667;-16.89408;-8.147003;0.5166667;-14.71798;-7.281048;0.5182234;-12.8896;-5.399289;0.5166667;-13.82105;-4.715;0.5166667;-14.359;-4.715;0.5166667;-14.359;-4.715;0.5166667;-14.359;-4.715;0.5166667;-14.359;-4.715;0.5166667;-14.359;-6.045557;0.5166667;-13.85336;-7.945735;0.5166667;-13.21212;-8.77832;0.5166667;-14.93353;-9.444895;0.5166667;-17.05055;-10.39877;0.5166667;-19.01832;-12.65504;0.5166667;-18.76691;-14.48781;0.5166667;-17.51448;-16.1866;0.5166667;-16.37158;-18.24915;0.5166667;-14.93895;-20.18312;0.5166667;-14.18759;-21.4822;0.5166667;-15.67219;-21.885;0.5166667;-16.114;-21.885;0.5166667;-16.114;-21.885;0.5166667;-16.114;-21.885;0.5166667;-16.114;-21.885;0.5166667;-16.114;-20.71043;0.5166667;-15.03718;-19.06372;0.5166667;-13.52672;-17.32756;0.5166667;-11.93958;-15.50821;0.5166667;-11.77259;-13.50254;0.5166667;-12.86822;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
Nurse;Medicine distribution;56.62828;0;4;0;0;2;0;0;0;0;0;0;0;45.19098;-13.22;0.5166667;-13.119;-14.99594;0.5166667;-12.2827;-16.832;0.5166667;-11.41419;-18.7658;0.5166667;-11.60128;-19.35735;0.5166667;-10.61062;-17.46768;0.5166667;-9.175909;-15.52947;0.5166667;-8.565417;-13.21352;0.5166667;-7.790353;-11.10953;0.5166667;-7.388708;-10.54422;0.5166667;-5.184718;-9.689417;0.5166667;-3.523122;-9.689417;0.5166667;-3.523122;-9.689417;0.5166667;-3.523122;-9.689417;0.5166667;-3.523122;-9.689417;0.5166667;-3.523122;-9.589695;0.5166667;-3.521127;-8.420709;0.5166667;-4.891183;-8.264512;0.5166667;-7.143921;-8.266;0.5166667;-9.659025;-8.346542;0.5166667;-11.8908;-8.375454;0.5166667;-13.91329;-8.501897;0.5166667;-16.43879;-8.34918;0.5166667;-18.58614;-8.049854;0.5166667;-20.58039;-7.727781;0.5166667;-22.68052;-6.430382;0.5166667;-24.07987;-5.395;0.5166667;-24.139;-5.395;0.5166667;-24.139;-5.395;0.5166667;-24.139;-5.395;0.5166667;-24.139;-5.395;0.5166667;-24.139;-5.661529;0.5166667;-23.94982;-7.836188;0.5166667;-23.30169;-9.318806;0.5166667;-21.65168;-10.78892;0.5166667;-19.84993;-12.29703;0.5166667;-18.10183;-11.92204;0.5166667;-16.1121;-12.69548;0.5166667;-14.0167;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
Nurse;Medicine distribution;54.55492;11;5;0;1;5;0;0;0;0;0;0;0;44.33528;-13.45452;0.5166667;-13.00856;-15.2926;0.5166667;-12.143;-17.12916;0.5166667;-11.29938;-19.37946;0.5166667;-11.71288;-18.95635;0.5166667;-10.1294;-17.22245;0.5166667;-9.11945;-14.84757;0.5166667;-8.596761;-12.66363;0.5166667;-8.159673;-10.36474;0.5166667;-7.699739;-8.216685;0.5166667;-7.435208;-8.985001;0.5166667;-6.599999;-8.985001;0.5166667;-6.599999;-8.985001;0.5166667;-6.599999;-8.985001;0.5166667;-6.599999;-8.985001;0.5166667;-6.599999;-8.985001;0.5166667;-6.599999;-8.244495;0.5166667;-7.843886;-10.8249;0.5166667;-7.762574;-13.04637;0.5166667;-7.675496;-15.09279;0.5166667;-7.610029;-17.5886;0.5166667;-7.469419;-19.88252;0.5166667;-7.423306;-21.853;0.5166667;-7.366667;-23.62572;0.5166667;-6.65258;-23.71347;0.5266684;-4.405897;-23.925;0.7701981;-4.198999;-23.925;0.7701981;-4.198999;-23.925;0.7701981;-4.198999;-23.925;0.7701981;-4.198999;-23.925;0.7701981;-4.198999;-23.49276;0.5166667;-5.45055;-22.83843;0.5166667;-7.626451;-21.30832;0.5166667;-9.306885;-19.62854;0.5166667;-10.9125;-17.84863;0.5166667;-12.15559;-15.9283;0.5166667;-11.40891;-14.04589;0.5166667;-12.56627;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
Nurse;Medicine distribution;58.81207;5;4;0;4;1;1;0;0;0;0;0;0;43.30312;-13.07019;0.5166667;-13.48271;-12.29961;0.5166667;-15.35352;-12.34673;0.5166667;-17.06403;-13.45902;0.5166667;-17.4985;-15.0958;0.5166667;-18.69321;-16.91681;0.5166667;-20.09827;-18.65843;0.5166667;-21.48645;-19.97759;0.5166667;-23.37176;-21.20117;0.5166667;-25.11813;-22.17382;0.5166667;-27.31928;-22.23334;0.5166667;-27.96667;-22.23334;0.5166667;-27.96667;-22.23334;0.5166667;-27.96667;-22.23334;0.5166667;-27.96667;-22.23334;0.5166667;-27.96667;-22.04281;0.5166667;-27.10041;-21.08277;0.5166667;-24.74619;-19.74093;0.5166667;-22.86779;-18.57679;0.5166667;-21.18348;-17.06296;0.5166667;-19.07609;-15.81468;0.5166667;-17.15346;-16.80845;0.5166667;-15.49035;-18.11481;0.5166667;-13.73169;-19.47614;0.5166667;-11.83001;-20.83181;0.5166667;-10.03179;-22.22046;0.5166667;-8.177495;-22.95248;0.5166667;-7.24467;-23.752;0.5166667;-5.759561;-23.925;0.7701981;-4.198999;-23.925;0.7701981;-4.198999;-23.925;0.7701981;-4.198999;-23.925;0.7701981;-4.198999;-23.925;0.7701981;-4.198999;-23.74656;0.5226374;-4.563635;-23.10086;0.5166667;-6.746382;-21.99538;0.5166667;-8.606243;-20.33524;0.5166667;-10.2119;-19.05225;0.5166667;-11.76441;-16.62311;0.5166667;-11.69323;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
Nurse;Medicine distribution;51.26854;1;3;0;1;0;0;0;0;0;0;0;0;42.4538;-13.86588;0.5166667;-12.81485;-16.00461;0.5166667;-11.80703;-18.20932;0.5166667;-11.53549;-19.7274;0.5166667;-10.92836;-17.9125;0.5166667;-9.329854;-15.80244;0.5166667;-8.630692;-13.56193;0.5166667;-7.940355;-11.52334;0.5166667;-7.347235;-11.6667;0.5166667;-6.387912;-10.58631;0.5166667;-4.782214;-9.689417;0.5166667;-3.523122;-9.689417;0.5166667;-3.523122;-9.689417;0.5166667;-3.523122;-9.689417;0.5166667;-3.523122;-9.689417;0.5166667;-3.523122;-9.229849;0.5166667;-3.526306;-7.003764;0.5166667;-3.527549;-6.352877;0.5166667;-4.990005;-5.08114;0.5166667;-6.400742;-4.506489;0.5166667;-4.977795;-4.59;0.5166667;-5.049999;-4.59;0.5166667;-5.049999;-4.59;0.5166667;-5.049999;-4.59;0.5166667;-5.049999;-4.59;0.5166667;-5.049999;-5.790167;0.5166667;-6.394368;-7.171282;0.5166667;-7.875875;-8.397482;0.5166667;-9.336073;-8.756418;0.5166667;-11.62471;-9.080458;0.5166667;-13.86034;-9.451127;0.5166667;-16.13246;-9.822522;0.5166667;-18.39532;-11.68674;0.5166667;-19.53263;-11.97546;0.5166667;-17.48714;-12.06554;0.5166667;-15.23758;-13.06171;0.5166667;-13.21911;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
Nurse;Medicine distribution;56.06519;10;0;0;5;0;0;0;0;1;0;0;0;41.43434;-12.92013;0.5166667;-13.94681;-12.47452;0.5166667;-15.6222;-11.33327;0.5166667;-16.3465;-11.70131;0.5166667;-18.59662;-10.76461;0.5166667;-20.39861;-9.038715;0.5166667;-21.98535;-7.47556;0.5166667;-23.43387;-5.395;0.5166667;-24.139;-5.395;0.5166667;-24.139;-5.395;0.5166667;-24.139;-5.395;0.5166667;-24.139;-5.395;0.5166667;-24.139;-5.395;0.5166667;-24.139;-7.110644;0.5166667;-23.52782;-9.176196;0.5166667;-22.11787;-10.69522;0.5166667;-20.40893;-12.09402;0.5166667;-18.91378;-13.82692;0.5166667;-17.07071;-15.39314;0.5166667;-15.39407;-16.68002;0.5166667;-13.84658;-18.22175;0.5166667;-12.29013;-19.8453;0.5166667;-10.6547;-21.35557;0.5166667;-8.984203;-22.76981;0.5166667;-7.325735;-23.90751;0.5166667;-6.329564;-24.06778;0.5730011;-4.363539;-23.925;0.7701981;-4.198999;-23.74656;0.6036505;-4.243324;-23.925;0.7701981;-4.198999;-23.925;0.7701981;-4.198999;-23.83624;0.648085;-4.128818;-23.23115;0.5166667;-6.265908;-22.30609;0.5166667;-8.225223;-20.70685;0.5166667;-9.806061;-19.15761;0.5166667;-11.38739;-17.20895;0.5166667;-11.72135;-14.93278;0.5166667;-12.07571;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
