AgentType;TaskName;Distance;Collisions;Collisions_Medicine distribution;Collisions_Undergoing triage;Collisions_monitoring patients;Collisions_Patient round;Collisions_Supporting family member;Collisions_Writing report;Collisions_Monitoring patients;Collisions_Wheeling patient on a stretcher;Collisions_Bringing wheelchair;Collisions_Cleaner;Collisions_Admitting patient in waiting area;Duration;pos0x;pos0y;pos0z;pos1x;pos1y;pos1z;pos2x;pos2y;pos2z;pos3x;pos3y;pos3z;pos4x;pos4y;pos4z;pos5x;pos5y;pos5z;pos6x;pos6y;pos6z;pos7x;pos7y;pos7z;pos8x;pos8y;pos8z;pos9x;pos9y;pos9z;pos10x;pos10y;pos10z;pos11x;pos11y;pos11z;pos12x;pos12y;pos12z;pos13x;pos13y;pos13z;pos14x;pos14y;pos14z;pos15x;pos15y;pos15z;pos16x;pos16y;pos16z;pos17x;pos17y;pos17z;pos18x;pos18y;pos18z;pos19x;pos19y;pos19z;pos20x;pos20y;pos20z;pos21x;pos21y;pos21z;pos22x;pos22y;pos22z;pos23x;pos23y;pos23z;pos24x;pos24y;pos24z;pos25x;pos25y;pos25z;pos26x;pos26y;pos26z;pos27x;pos27y;pos27z;pos28x;pos28y;pos28z;pos29x;pos29y;pos29z;pos30x;pos30y;pos30z;pos31x;pos31y;pos31z;pos32x;pos32y;pos32z;pos33x;pos33y;pos33z;pos34x;pos34y;pos34z;pos35x;pos35y;pos35z;pos36x;pos36y;pos36z;pos37x;pos37y;pos37z;pos38x;pos38y;pos38z;pos39x;pos39y;pos39z;pos40x;pos40y;pos40z;pos41x;pos41y;pos41z;pos42x;pos42y;pos42z;pos43x;pos43y;pos43z;pos44x;pos44y;pos44z;pos45x;pos45y;pos45z;pos46x;pos46y;pos46z;pos47x;pos47y;pos47z;pos48x;pos48y;pos48z;pos49x;pos49y;pos49z;pos50x;pos50y;pos50z;pos51x;pos51y;pos51z;pos52x;pos52y;pos52z;pos53x;pos53y;pos53z;pos54x;pos54y;pos54z;pos55x;pos55y;pos55z;pos56x;pos56y;pos56z;pos57x;pos57y;pos57z;pos58x;pos58y;pos58z;pos59x;pos59y;pos59z;pos60x;pos60y;pos60z;pos61x;pos61y;pos61z;pos62x;pos62y;pos62z;pos63x;pos63y;pos63z;pos64x;pos64y;pos64z;pos65x;pos65y;pos65z;pos66x;pos66y;pos66z;pos67x;pos67y;pos67z
Nurse;Medicine distribution;61.12712;2;3;0;0;0;1;2;0;0;0;0;0;73.6637;-13.22;0.5166667;-13.119;-15.08302;0.5166667;-12.24169;-16.95967;0.5166667;-11.53799;-19.0713;0.5166667;-11.61965;-19.67452;0.5166667;-10.05507;-19.50265;0.5166667;-7.938149;-19.25453;0.5166667;-5.464756;-19.2;0.5320322;-4.198999;-19.2;0.5320322;-4.198999;-19.2;0.5320322;-4.198999;-19.2;0.5320322;-4.198999;-19.2;0.5320322;-4.198999;-19.14532;0.5166667;-4.688156;-19.25017;0.5166667;-6.715028;-19.3112;0.5166667;-8.695514;-19.45832;0.5166667;-10.72685;-18.66989;0.5166667;-12.53933;-17.73997;0.5166667;-14.31023;-16.74785;0.5166667;-16.02582;-16.09728;0.5166667;-17.83889;-17.22289;0.5166667;-19.41449;-18.36374;0.5166667;-21.07516;-19.45135;0.5166667;-22.69138;-20.32141;0.5166667;-24.01479;-20.30982;0.5166667;-25.68264;-19.74992;0.5166667;-27.62363;-19.98967;0.5166667;-29.56957;-20.09089;0.5166667;-30.12547;-20.09089;0.5166667;-30.12547;-20.15904;0.5166667;-30.0985;-20.14684;0.5166667;-30.09681;-20.08745;0.5166667;-30.12754;-19.87242;0.5166667;-29.09217;-19.80656;0.5166667;-27.06761;-20.32258;0.5166667;-25.07205;-19.97521;0.5166667;-23.31815;-18.64888;0.5166667;-21.67876;-17.18512;0.5166667;-20.31086;-15.52614;0.5166667;-19.03016;-13.9806;0.5166667;-17.86862;-12.30194;0.5166667;-16.47205;-12.24434;0.5166667;-14.60747;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
Nurse;Medicine distribution;35.53052;2;14;0;0;0;0;1;2;0;0;0;0;71.67825;-12.78705;0.5166667;-14.17013;-12.01167;0.5166667;-16.04764;-11.81338;0.5166667;-18.13773;-11.72563;0.5166667;-20.15812;-11.69234;0.5166667;-22.27726;-12.73468;0.5166667;-24.41789;-13.23;0.5166667;-25.174;-13.23;0.5166667;-25.174;-13.26519;0.5166667;-25.08128;-13.27645;0.5166667;-25.12332;-13.18706;0.5166667;-25.11184;-12.74118;0.5166667;-24.39157;-11.87512;0.5166667;-22.5703;-12.4406;0.5166667;-20.85477;-13.92242;0.5166667;-19.45508;-15.31471;0.5166667;-18.05679;-16.8136;0.5166667;-16.73426;-18.36695;0.5166667;-17.59387;-19.40033;0.5166667;-18.45373;-19.40033;0.5166667;-18.45373;-19.40033;0.5166667;-18.45373;-19.40033;0.5166667;-18.45373;-19.40033;0.5166667;-18.45373;-19.13306;0.5166667;-18.20715;-18.15294;0.5166667;-16.49825;-17.76823;0.5166667;-14.51852;-17.42176;0.5166667;-12.54577;-16.18136;0.5166667;-11.55809;-14.41114;0.5166667;-12.49116;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
Nurse;Medicine distribution;25.56177;1;23;1;0;0;0;0;0;0;0;0;0;71.46049;-12.94384;0.5166667;-13.78947;-12.16921;0.5166667;-15.67011;-11.82834;0.5166667;-17.72952;-11.68393;0.5166667;-19.79144;-11.69493;0.5166667;-21.91051;-12.51276;0.5166667;-24.05201;-13.23;0.5166667;-25.174;-13.23;0.5166667;-25.174;-13.2614;0.5166667;-25.17904;-13.18793;0.5166667;-25.29254;-13.319;0.5166667;-25.14445;-13.18505;0.5166667;-25.03857;-13.18505;0.5166667;-25.03857;-13.18505;0.5166667;-25.03857;-13.51849;0.5166667;-25.25734;-13.51849;0.5166667;-25.25734;-13.08319;0.5166667;-24.71846;-12.03762;0.5173776;-23.02376;-11.65339;0.5166667;-21.09165;-11.80354;0.5166667;-19.07944;-11.91161;0.5166667;-17.07222;-12.36879;0.5166667;-15.13353;-13.13833;0.5166667;-13.26338;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
Nurse;Medicine distribution;48.24675;0;1;0;0;0;0;0;0;0;0;0;0;70.65234;-12.84851;0.5166667;-14.0209;-12.0411;0.5166667;-15.98115;-11.63633;0.5166667;-17.958;-11.34814;0.5166667;-19.77432;-9.383187;0.5166667;-18.69661;-7.414896;0.5166667;-17.51329;-5.496418;0.5166667;-17.56529;-4.63;0.5166667;-17.914;-4.63;0.5166667;-17.914;-4.63;0.5166667;-17.914;-4.63;0.5166667;-17.914;-4.63;0.5166667;-17.914;-5.327615;0.5166667;-17.47132;-7.142972;0.5166667;-16.54961;-8.209634;0.5166667;-14.8899;-8.977854;0.5166667;-13.04311;-9.764917;0.5166667;-11.13446;-11.13706;0.5166667;-9.690196;-12.86526;0.5166667;-8.915304;-14.79422;0.5166667;-8.333528;-16.66415;0.5166667;-7.73174;-18.48085;0.5166667;-7.050878;-18.94777;0.5166667;-5.087482;-19.2;0.5320322;-4.198999;-19.1413;0.5326093;-4.274735;-19.18879;0.532782;-4.123219;-19.21364;0.5317563;-4.249999;-19.203;0.5321184;-4.181638;-19.35745;0.5166667;-5.012973;-19.39496;0.5166667;-7.035211;-19.4234;0.5166667;-9.049239;-19.45832;0.5166667;-11.06321;-17.70585;0.5166667;-11.69062;-15.74608;0.5166667;-11.87511;-13.90294;0.5166667;-12.77773;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
Nurse;Medicine distribution;34.79996;1;10;1;0;0;0;0;0;0;0;0;0;69.63314;-12.72756;0.5166667;-14.31456;-11.91895;0.5166667;-16.27238;-11.69982;0.5166667;-18.30937;-11.7015;0.5166667;-20.76772;-11.85124;0.5189149;-23.03013;-12.79738;0.5166667;-24.66255;-13.16667;0.5166667;-25.18895;-13.20905;0.5166667;-25.19685;-13.2354;0.5166667;-25.19916;-13.23;0.5166667;-25.174;-13.23;0.5166667;-25.174;-13.23;0.5166667;-25.174;-13.17136;0.5166667;-25.205;-12.22395;0.5166667;-24.17512;-10.6971;0.5166667;-22.89314;-8.69927;0.5166667;-23.23599;-6.768532;0.5166667;-23.76363;-5.395;0.5166667;-24.139;-5.395;0.5166667;-24.139;-5.395;0.5166667;-24.139;-5.395;0.5166667;-24.139;-5.395;0.5166667;-24.139;-5.686265;0.5166667;-24.0086;-7.610795;0.5166667;-23.35672;-8.877672;0.5166667;-21.78512;-10.23978;0.5166667;-20.31228;-11.62098;0.5166667;-18.81501;-11.96154;0.5166667;-16.88919;-12.36839;0.5166667;-14.93659;-13.22;0.5166667;-13.119;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
Nurse;Medicine distribution;58.43157;1;4;0;0;0;0;2;0;0;0;0;0;68.571;-12.672;0.5166667;-14.44943;-11.86189;0.5166667;-16.40758;-13.52011;0.5166667;-17.75566;-11.62705;0.5166667;-19.02697;-10.15134;0.5166667;-18.91612;-9.490118;0.5166667;-16.99609;-9.039642;0.5166667;-14.93222;-8.617256;0.5166667;-12.96365;-8.153673;0.5166667;-10.9902;-7.762049;0.5166667;-9.004577;-6.662359;0.5166667;-7.294575;-5.224351;0.5166667;-5.788411;-4.59;0.5166667;-5.049999;-4.59;0.5166667;-5.049999;-4.59;0.5166667;-5.049999;-4.521216;0.5166667;-4.977502;-4.65613;0.5166667;-5.06231;-5.00058;0.5166667;-5.33165;-6.280331;0.5166667;-6.881348;-7.570579;0.5166667;-8.304812;-8.055225;0.5166667;-10.24618;-8.410383;0.5166667;-12.22787;-8.871143;0.5166667;-14.21145;-9.283113;0.5166667;-16.11006;-9.730079;0.5166667;-17.93608;-10.46695;0.5166667;-19.65734;-11.30965;0.5166667;-21.50978;-12.13208;0.523867;-23.33984;-13.18791;0.5166667;-25.06594;-13.23;0.5166667;-25.174;-13.23;0.5166667;-25.174;-13.23;0.5166667;-25.174;-13.23;0.5166667;-25.174;-13.23;0.5166667;-25.174;-12.30324;0.5166667;-23.7096;-11.61886;0.5166667;-21.90068;-11.66543;0.5166667;-19.76438;-11.87735;0.5166667;-17.59601;-12.24791;0.5166667;-15.16715;-13.27914;0.5166667;-13.30912;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
Nurse;Medicine distribution;52.78453;1;5;0;0;0;0;0;0;0;0;0;0;67.51224;-14.38942;0.5166667;-12.56831;-16.61538;0.5166667;-11.52509;-18.84832;0.5166667;-11.6223;-19.43628;0.5166667;-10.83271;-17.9697;0.5166667;-9.417192;-16.27658;0.5166667;-8.102551;-15.00397;0.5166667;-6.658894;-14.58617;0.5166667;-4.671454;-14.46667;0.9;-3.966667;-14.46667;0.9;-3.966667;-14.46667;0.9;-3.966667;-14.5318;0.7422009;-3.955657;-14.50924;0.8113891;-3.970754;-14.54014;0.5166667;-4.346711;-14.18084;0.5166667;-6.254468;-13.19528;0.5166667;-7.902668;-11.66792;0.5166667;-9.211009;-10.24825;0.5166667;-10.54949;-9.495808;0.5166667;-12.33832;-9.099829;0.5166667;-14.25914;-8.774301;0.5166667;-16.27482;-8.372354;0.5166667;-18.24125;-8.084749;0.5166667;-20.23502;-7.79137;0.5166667;-22.21598;-6.877051;0.5166667;-23.69278;-5.395;0.5166667;-24.139;-5.395;0.5166667;-24.139;-5.395;0.5166667;-24.139;-5.395;0.5166667;-24.139;-5.395;0.5166667;-24.139;-5.500779;0.5166667;-24.05164;-7.405435;0.5166667;-23.43141;-8.752434;0.5166667;-21.95019;-10.06046;0.5166667;-20.50762;-11.34305;0.5166667;-19.111;-12.09693;0.5166667;-17.29743;-12.23462;0.5166667;-15.16276;-13.22;0.5166667;-13.119;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
Nurse;Medicine distribution;47.92479;3;5;0;4;0;0;0;0;0;0;0;0;66.63049;-13.22;0.5166667;-13.119;-15.02117;0.5166667;-12.27082;-17.13364;0.5166667;-11.44653;-19.08497;0.5166667;-11.5462;-18.90485;0.5166667;-10.05886;-17.19823;0.5166667;-8.786998;-15.60137;0.5166667;-7.562376;-14.81065;0.5166667;-5.708172;-14.48596;0.5329855;-4.064337;-14.40189;0.7143717;-3.968142;-14.38115;0.664834;-3.966667;-14.46667;0.9;-3.966667;-14.46667;0.9;-3.966667;-14.46667;0.9;-3.966667;-14.53046;0.5331987;-3.870979;-14.52115;0.5866964;-3.884935;-14.43056;0.8007159;-3.966667;-14.22272;0.5166667;-5.614879;-13.65072;0.5166667;-7.49408;-12.13061;0.5166667;-8.808017;-10.62576;0.5166667;-10.1114;-9.476768;0.5166667;-11.76034;-8.60534;0.5166667;-13.61662;-7.901931;0.5166667;-15.49401;-6.616091;0.5166667;-16.86264;-4.817454;0.5166667;-17.81477;-4.63;0.5166667;-17.914;-4.63;0.5166667;-17.914;-4.63;0.5166667;-17.914;-4.63;0.5166667;-17.914;-4.63;0.5166667;-17.914;-6.171099;0.5166667;-17.68012;-8.120234;0.5166667;-17.83201;-9.810891;0.5166667;-18.67233;-11.51625;0.5166667;-19.57028;-12.05609;0.5166667;-18.26329;-12.02506;0.5166667;-16.08584;-12.91022;0.5166667;-13.84606;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
Nurse;Medicine distribution;47.89834;3;8;0;2;0;0;0;0;0;1;0;0;65.56593;-13.22;0.5166667;-13.119;-12.34459;0.5166667;-15.24433;-12.32076;0.5166667;-16.84089;-12.84404;0.5166667;-18.15393;-11.18423;0.5166667;-19.26221;-9.89817;0.5166667;-18.26929;-9.339194;0.5166667;-16.29557;-8.911692;0.5166667;-14.31152;-8.457399;0.5166667;-12.26628;-8.036446;0.5166667;-10.27304;-7.541275;0.5166667;-8.264682;-6.188578;0.5166667;-6.791241;-4.785391;0.5166667;-5.251669;-4.59;0.5166667;-5.049999;-4.556259;0.5166667;-5.057466;-4.59;0.5166667;-5.049999;-4.59;0.5166667;-5.049999;-4.59;0.5166667;-5.049999;-5.526388;0.5166667;-6.052676;-7.083811;0.5166667;-7.369331;-8.644259;0.5166667;-6.874385;-8.985001;0.5166667;-6.599999;-8.985001;0.5166667;-6.599999;-8.985001;0.5166667;-6.599999;-8.985001;0.5166667;-6.599999;-8.985001;0.5166667;-6.599999;-8.486653;0.5166667;-7.503068;-10.42451;0.5166667;-7.946982;-12.38668;0.5166667;-8.323205;-14.35527;0.5166667;-8.731063;-16.28228;0.5166667;-9.134521;-18.24117;0.5166667;-9.571386;-19.55266;0.5166667;-10.99458;-18.28069;0.5166667;-11.75948;-16.05625;0.5166667;-11.70814;-14.15458;0.5166667;-12.64517;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
Nurse;Medicine distribution;39.76657;2;2;0;0;0;0;0;0;0;0;0;0;64.64807;-13.10541;0.5166667;-13.3972;-12.33925;0.5166667;-15.2573;-12.40891;0.5166667;-16.76056;-14.24995;0.5166667;-17.18516;-16.14222;0.5166667;-16.80016;-17.93242;0.5178107;-17.30014;-19.40033;0.5166667;-18.45373;-19.40033;0.5166667;-18.45373;-19.40033;0.5166667;-18.45373;-19.40033;0.5166667;-18.45373;-19.40033;0.5166667;-18.45373;-19.33302;0.5166667;-18.44941;-18.38603;0.5284593;-17.10732;-18.01519;0.5166667;-15.13339;-18.68756;0.5166667;-13.2341;-19.32669;0.5166667;-11.26073;-19.49049;0.5166667;-9.321514;-19.30112;0.5166667;-7.217454;-19.23276;0.5166667;-5.176886;-19.20186;0.5320324;-4.195233;-19.17372;0.53233;-4.221992;-19.17587;0.5327196;-4.157414;-19.27858;0.5308272;-4.25141;-19.2;0.5320322;-4.198999;-19.22862;0.5166667;-4.866117;-19.30867;0.5166667;-6.895165;-19.37595;0.5166667;-8.886514;-19.46775;0.5166667;-10.89816;-17.98211;0.5166667;-11.69158;-15.97134;0.5166667;-11.75398;-14.18477;0.5166667;-12.705;-13.25092;0.5166667;-13.11745;-13.22;0.5166667;-13.119;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
