AgentType;TaskName;Distance;Collisions;Collisions_Searching;Duration;pos0x;pos0y;pos0z;pos1x;pos1y;pos1z;pos2x;pos2y;pos2z;pos3x;pos3y;pos3z;pos4x;pos4y;pos4z;pos5x;pos5y;pos5z;pos6x;pos6y;pos6z;pos7x;pos7y;pos7z;pos8x;pos8y;pos8z;pos9x;pos9y;pos9z;pos10x;pos10y;pos10z;pos11x;pos11y;pos11z;pos12x;pos12y;pos12z;pos13x;pos13y;pos13z;pos14x;pos14y;pos14z;pos15x;pos15y;pos15z;pos16x;pos16y;pos16z;pos17x;pos17y;pos17z;pos18x;pos18y;pos18z;pos19x;pos19y;pos19z;pos20x;pos20y;pos20z;pos21x;pos21y;pos21z;pos22x;pos22y;pos22z;pos23x;pos23y;pos23z;pos24x;pos24y;pos24z
Searcher;Searching;13.40481;0;1;3.511437;-3.55;0.5047777;-14.63;-3.668276;0.5056474;-14.33304;-3.813163;0.5067127;-13.96927;-3.99202;0.5080279;-13.5202;-4.178141;0.5093964;-13.0529;-4.368409;0.5107954;-12.57519;-4.553786;0.51233;-12.10976;-4.742615;0.514182;-11.63565;-4.95134;0.5160784;-11.1116;-5.244034;0.516665;-10.37672;-5.496426;0.516665;-9.735099;-5.696147;0.516665;-9.229808;-5.923909;0.516665;-8.800226;-6.252227;0.516665;-8.379722;-6.583832;0.516665;-8.3;-7.030446;0.516665;-8.3;-7.490295;0.516665;-8.269179;-7.983469;0.516665;-8.255933;-8.587226;0.516665;-8.363581;-9.371891;0.516665;-8.525628;-10.00526;0.516665;-8.656156;-10.83064;0.516665;-8.826249;-11.43832;0.516665;-8.951482;-12.1162;0.516665;-9.091177;-12.71919;0.516665;-9.215442
Searcher;Searching;11.92479;0;4;2.89096;-3.468191;0.5041762;-14.81265;-3.432269;0.5039121;-14.78793;-3.309063;0.5030062;-14.6678;-3.331472;0.5032091;-14.44471;-3.379804;0.504407;-14.13805;-3.472549;0.5058319;-13.77326;-3.628178;0.5074977;-13.34682;-3.852615;0.5094634;-12.8436;-4.162833;0.5121306;-12.15404;-4.421649;0.5141678;-11.55074;-4.633247;0.515768;-11.08056;-4.846604;0.516665;-10.64244;-5.104176;0.516665;-10.12751;-5.341299;0.516665;-9.710711;-5.692992;0.516665;-9.299481;-6.082938;0.516665;-9.01156;-6.527381;0.516665;-8.810501;-7.120615;0.516665;-8.673333;-7.918059;0.516665;-8.616523;-8.555241;0.516665;-8.576955;-9.396255;0.516665;-8.523432;-10.01268;0.516665;-8.486231;-10.70026;0.516665;-8.444381;-11.31186;0.516665;-8.406467;NaN;NaN;NaN
Searcher;Searching;12.62146;0;4;2.85549;-3.551635;0.5047898;-14.63092;-3.746853;0.5062252;-14.74055;-3.873302;0.5120022;-14.81156;-4.068388;0.516665;-14.92112;-4.341095;0.516665;-15.07428;-4.677633;0.516665;-15.26328;-5.091784;0.516665;-15.49669;-5.581491;0.516665;-15.77163;-6.269117;0.516665;-16.15506;-6.884527;0.516665;-16.45002;-7.400131;0.516665;-16.57313;-7.913928;0.516665;-16.60411;-8.530748;0.516665;-16.62092;-9.0591;0.516665;-16.63532;-9.686602;0.516665;-16.65241;-10.25961;0.516665;-16.66803;-10.8178;0.516665;-16.68324;-11.47204;0.516665;-16.70106;-12.27296;0.516665;-16.72289;-12.91941;0.516665;-16.7405;-13.76181;0.516665;-16.76345;-14.38204;0.516665;-16.78036;-15.0739;0.516665;-16.79921;-15.68934;0.516665;-16.81598;NaN;NaN;NaN
Searcher;Searching;10.32097;0;9;2.812168;-3.633565;0.5053922;-14.49139;-3.77304;0.5064178;-14.39659;-3.825298;0.506802;-14.26731;-3.907037;0.507403;-14.06493;-4.022018;0.5082484;-13.78011;-4.163797;0.5092909;-13.42702;-4.331579;0.5105246;-12.98811;-4.523137;0.5119331;-12.45765;-4.791704;0.5139079;-11.71362;-5.023033;0.516303;-11.06411;-5.203044;0.516665;-10.55145;-5.37979;0.516665;-10.06466;-5.590297;0.516665;-9.485441;-5.79219;0.516665;-9.009296;-6.11249;0.516665;-8.51971;-6.459727;0.516665;-8.3;-6.773383;0.516665;-8.3;-7.317162;0.516665;-8.3;-7.966667;0.516665;-8.184409;-7.966667;0.516665;-8.1514;-8.258959;0.516665;-8.3;-8.635385;0.516665;-8.479055;-9.164501;0.516665;-8.591461;-9.730591;0.516665;-8.597264;NaN;NaN;NaN
Searcher;Searching;12.20335;0;6;2.805768;-3.378284;0.5035151;-14.53121;-3.233066;0.5034724;-14.37729;-3.27858;0.5039564;-14.25339;-3.354766;0.5047246;-14.05673;-3.46871;0.5058063;-13.77981;-3.619676;0.5071364;-13.43932;-3.820232;0.508758;-13.02419;-4.074322;0.5107235;-12.52102;-4.430975;0.5134293;-11.81497;-4.742017;0.5155674;-11.1992;-4.987303;0.516665;-10.71362;-5.218324;0.516665;-10.2502;-5.491969;0.516665;-9.697997;-5.739123;0.516665;-9.23164;-6.093746;0.516665;-8.744166;-6.482058;0.516665;-8.391817;-6.902962;0.516665;-8.3;-7.470667;0.516665;-8.262667;-8.216789;0.516665;-8.3;-8.832036;0.516665;-8.380469;-9.666989;0.516665;-8.494587;-10.28173;0.516665;-8.578612;-10.96747;0.516665;-8.672341;-11.57747;0.516665;-8.755717;NaN;NaN;NaN
Searcher;Searching;12.09033;0;6;2.797097;-3.4561;0.5040873;-14.62981;-3.249375;0.5025673;-14.70717;-3.121596;0.5019053;-14.77847;-3.227955;0.5024098;-14.89784;-3.413261;0.5085109;-15.05376;-3.672493;0.516665;-15.222;-4.018585;0.516665;-15.38534;-4.495177;0.516665;-15.55496;-5.221858;0.5164349;-15.81703;-5.837064;0.5159432;-16.08332;-6.254039;0.5163575;-16.29343;-6.705698;0.516665;-16.42853;-7.298606;0.516665;-16.49743;-7.826515;0.516665;-16.52343;-8.453502;0.516665;-16.55405;-9.026042;0.516665;-16.58201;-9.583776;0.516665;-16.60925;-10.23747;0.516665;-16.64118;-11.03774;0.516665;-16.68027;-11.68366;0.516665;-16.71181;-12.52127;0.516665;-16.75558;-13.13627;0.516665;-16.78931;-13.82284;0.516665;-16.82648;-14.43484;0.516665;-16.85707;NaN;NaN;NaN
Searcher;Searching;8.101716;0;3;2.78561;-3.571403;0.5049351;-14.41358;-3.619916;0.5052918;-14.30702;-3.700126;0.5058816;-14.12787;-3.812886;0.5067107;-13.86652;-3.951545;0.5077302;-13.53593;-4.122245;0.5089854;-13.12277;-4.329486;0.5105093;-12.64393;-4.625598;0.5128787;-11.9693;-4.923384;0.5148761;-11.52647;-5.119842;0.5163207;-11.08964;-5.316058;0.516665;-10.69862;-5.560793;0.516665;-10.25659;-5.692231;0.516665;-10;-5.7;0.516665;-10;-5.665118;0.516665;-10;-5.522545;0.516665;-9.849375;-5.424881;0.516665;-9.536412;-5.43089;0.516665;-9.128667;-5.562792;0.516665;-8.885282;-5.899669;0.516665;-8.658788;-6.281395;0.516665;-8.572157;-6.823689;0.516665;-8.552996;-7.4138;0.516665;-8.616013;NaN;NaN;NaN;NaN;NaN;NaN
Searcher;Searching;11.55205;0;5;2.779101;-3.383602;0.5035542;-14.51263;-3.416866;0.5037988;-14.41452;-3.478756;0.5042539;-14.24229;-3.577436;0.504985;-13.99006;-3.710887;0.506227;-13.67213;-3.885419;0.5077782;-13.27501;-4.114853;0.5097593;-12.76786;-4.44157;0.5125733;-12.04746;-4.726504;0.5149233;-11.41919;-4.951201;0.5166116;-10.92375;-5.165223;0.516665;-10.45184;-5.414417;0.516665;-9.888177;-5.632605;0.516665;-9.407495;-5.954699;0.516665;-8.887918;-6.303145;0.516665;-8.511239;-6.688524;0.516665;-8.3;-7.191845;0.516665;-8.3;-7.820482;0.516665;-8.209983;-8.333905;0.516665;-8.348444;-9.128481;0.516665;-8.504786;-9.736873;0.516665;-8.626563;-10.41552;0.516665;-8.762419;-11.01921;0.516665;-8.883269;NaN;NaN;NaN;NaN;NaN;NaN
Searcher;Searching;11.26833;0;3;2.726242;-3.551146;0.5047861;-14.62712;-3.575653;0.5049664;-14.56559;-3.629817;0.5053647;-14.4296;-3.716284;0.5060004;-14.2125;-3.830591;0.5068409;-13.92551;-3.97767;0.5079224;-13.55623;-4.175119;0.5093742;-13.06049;-4.467813;0.5115263;-12.32561;-4.723075;0.5139903;-11.68471;-4.924373;0.5158523;-11.1793;-5.116107;0.516665;-10.69791;-5.34145;0.516665;-10.12391;-5.533251;0.516665;-9.632092;-5.79053;0.516665;-9.060836;-6.087071;0.516665;-8.617046;-6.425894;0.516665;-8.3;-6.878675;0.516665;-8.3;-7.510354;0.516665;-8.216758;-8.007071;0.516665;-8.273737;-8.741243;0.516665;-8.436242;-9.349411;0.516665;-8.559122;-10.02834;0.516665;-8.693597;-10.63227;0.516665;-8.813208;NaN;NaN;NaN;NaN;NaN;NaN
Searcher;Searching;11.43897;0;2;2.620974;-3.494349;0.5043685;-14.77845;-3.538411;0.5046925;-14.87764;-3.666414;0.5129239;-14.95142;-3.868386;0.516665;-15.04743;-4.15162;0.516665;-15.17435;-4.554631;0.516665;-15.34897;-5.189496;0.516665;-15.61971;-5.823265;0.516665;-15.88385;-6.33933;0.516665;-16.04055;-6.850372;0.516665;-16.10265;-7.466095;0.516665;-16.14309;-7.993515;0.516665;-16.17761;-8.619908;0.516665;-16.21861;-9.191907;0.516665;-16.25605;-9.749113;0.516665;-16.29253;-10.40219;0.516665;-16.33528;-11.2017;0.516665;-16.38761;-11.84701;0.516665;-16.42985;-12.68792;0.516665;-16.48489;-13.30706;0.516665;-16.52542;-13.9977;0.516665;-16.57063;-14.61205;0.516665;-16.61084;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
