AgentType;TaskName;Distance;Collisions;Collisions_Medicine distribution;Collisions_Undergoing triage;Collisions_monitoring patients;Collisions_Patient round;Collisions_Supporting family member;Collisions_Writing report;Collisions_Monitoring patients;Collisions_Wheeling patient on a stretcher;Collisions_Bringing wheelchair;Collisions_Cleaner;Collisions_Admitting patient in waiting area;Duration;pos0x;pos0y;pos0z;pos1x;pos1y;pos1z;pos2x;pos2y;pos2z;pos3x;pos3y;pos3z;pos4x;pos4y;pos4z;pos5x;pos5y;pos5z;pos6x;pos6y;pos6z;pos7x;pos7y;pos7z;pos8x;pos8y;pos8z;pos9x;pos9y;pos9z;pos10x;pos10y;pos10z;pos11x;pos11y;pos11z;pos12x;pos12y;pos12z;pos13x;pos13y;pos13z;pos14x;pos14y;pos14z;pos15x;pos15y;pos15z;pos16x;pos16y;pos16z;pos17x;pos17y;pos17z;pos18x;pos18y;pos18z;pos19x;pos19y;pos19z;pos20x;pos20y;pos20z;pos21x;pos21y;pos21z;pos22x;pos22y;pos22z;pos23x;pos23y;pos23z;pos24x;pos24y;pos24z;pos25x;pos25y;pos25z;pos26x;pos26y;pos26z;pos27x;pos27y;pos27z;pos28x;pos28y;pos28z;pos29x;pos29y;pos29z;pos30x;pos30y;pos30z;pos31x;pos31y;pos31z;pos32x;pos32y;pos32z;pos33x;pos33y;pos33z;pos34x;pos34y;pos34z;pos35x;pos35y;pos35z;pos36x;pos36y;pos36z
Nurse;Medicine distribution;0.1684799;504;84;37;121;70;54;37;37;37;37;37;37;5.119392;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.09937661;0;0.06480785;0.09937661;0;0.06480785;0.09937661;0;0.06480785;0.09937661;0;0.06480785;0.09937661;0;0.06480785;0.09937661;0;0.06480785;0.09937661;0;0.06480785;0.09937661;0;0.06480785;0.09937661;0;0.06480785;0.09937661;0;0.06480785;0.09937661;0;0.06480785;0.09937661;0;0.06480785;0.09937661;0;0.06480785;0.09937661;0;0.06480785;0.09937661;0;0.06480785;0.09937661;0;0.06480785;0.09937661;0;0.06480785;0.1191653;0;0.1105494;0.1191653;0;0.1105494;0.1191653;0;0.1105494;0.1191653;0;0.1105494;0.1191653;0;0.1105494;0.1191653;0;0.1105494;0.1191653;0;0.1105494;0.1191653;0;0.1105494
Nurse;Medicine distribution;0.09074079;464;84;33;117;66;50;33;33;33;33;33;33;4.094805;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.04019757;0;0.08135138;0.04019757;0;0.08135138;0.04019757;0;0.08135138;0.04019757;0;0.08135138;0.04019757;0;0.08135138;0.04019757;0;0.08135138;0.04019757;0;0.08135138;0.04019757;0;0.08135138;0.04019757;0;0.08135138;0.04019757;0;0.08135138;0.04019757;0;0.08135138;0.04019757;0;0.08135138;0.04019757;0;0.08135138;0.04019757;0;0.08135138;0.04019757;0;0.08135138;0.04019757;0;0.08135138;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
Nurse;Medicine distribution;0.1021799;368;76;25;101;50;42;25;25;25;25;25;25;3.103967;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.09971819;0;0.02229373;0.09971819;0;0.02229373;0.09971819;0;0.02229373;0.09971819;0;0.02229373;0.09971819;0;0.02229373;0.09971819;0;0.02229373;0.09971819;0;0.02229373;0.09971819;0;0.02229373;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
Nurse;Medicine distribution;0.05669299;264;60;17;77;34;34;17;17;17;17;17;17;2.120136;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.03506818;0;0.04454568;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
Nurse;Medicine distribution;0;129;33;8;41;16;16;8;8;8;8;8;8;1.070188;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
Nurse;Medicine distribution;0;17;5;1;6;2;2;1;1;1;1;1;1;0.07685423;0;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
Patient;Undergoing triage;0.1604001;588;121;0;121;70;54;37;37;37;37;37;37;5.119131;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.02611194;0;0.05318242;0.02611194;0;0.05318242;0.02611194;0;0.05318242;0.02611194;0;0.05318242;0.02611194;0;0.05318242;0.02611194;0;0.05318242;0.02611194;0;0.05318242;0.02611194;0;0.05318242;0.02611194;0;0.05318242;0.02611194;0;0.05318242;0.02611194;0;0.05318242;0.02611194;0;0.05318242;0.02611194;0;0.05318242;0.02611194;0;0.05318242;0.02611194;0;0.05318242;0.02611194;0;0.05318242;0.02611194;0;0.05318242;0.08239264;0;0.1372326;0.08239264;0;0.1372326;0.08239264;0;0.1372326;0.08239264;0;0.1372326;0.08239264;0;0.1372326;0.08239264;0;0.1372326;0.08239264;0;0.1372326;0.08239264;0;0.1372326
Physician;monitoring patients;0.09066104;504;121;37;84;70;54;37;37;37;37;37;37;5.118908;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.02872208;0;0.01019936;0.02872208;0;0.01019936;0.02872208;0;0.01019936;0.02872208;0;0.01019936;0.02872208;0;0.01019936;0.02872208;0;0.01019936;0.02872208;0;0.01019936;0.02872208;0;0.01019936;0.02872208;0;0.01019936;0.02872208;0;0.01019936;0.02872208;0;0.01019936;0.02872208;0;0.01019936;0.02872208;0;0.01019936;0.02872208;0;0.01019936;0.02872208;0;0.01019936;0.02872208;0;0.01019936;0.02872208;0;0.01019936;0.07286682;0;0.05110278;0.07286682;0;0.05110278;0.07286682;0;0.05110278;0.07286682;0;0.05110278;0.07286682;0;0.05110278;0.07286682;0;0.05110278;0.07286682;0;0.05110278;0.07286682;0;0.05110278
Physician;monitoring patients;0.1120099;464;117;33;84;66;50;33;33;33;33;33;33;4.094535;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0518657;0;0.09927823;0.0518657;0;0.09927823;0.0518657;0;0.09927823;0.0518657;0;0.09927823;0.0518657;0;0.09927823;0.0518657;0;0.09927823;0.0518657;0;0.09927823;0.0518657;0;0.09927823;0.0518657;0;0.09927823;0.0518657;0;0.09927823;0.0518657;0;0.09927823;0.0518657;0;0.09927823;0.0518657;0;0.09927823;0.0518657;0;0.09927823;0.0518657;0;0.09927823;0.0518657;0;0.09927823;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
Physician;monitoring patients;0.1060153;368;101;25;76;50;42;25;25;25;25;25;25;3.103565;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.09691831;0;0.04296622;0.09691831;0;0.04296622;0.09691831;0;0.04296622;0.09691831;0;0.04296622;0.09691831;0;0.04296622;0.09691831;0;0.04296622;0.09691831;0;0.04296622;0.09691831;0;0.04296622;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
