AgentType;TaskName;Distance;Collisions;Collisions_Medicine distribution;Collisions_Undergoing triage;Collisions_monitoring patients;Collisions_Patient round;Collisions_Supporting family member;Collisions_Writing report;Collisions_Monitoring patients;Collisions_Wheeling patient on a stretcher;Collisions_Bringing wheelchair;Collisions_Cleaner;Collisions_Admitting patient in waiting area;Duration;pos0x;pos0y;pos0z;pos1x;pos1y;pos1z;pos2x;pos2y;pos2z;pos3x;pos3y;pos3z;pos4x;pos4y;pos4z;pos5x;pos5y;pos5z;pos6x;pos6y;pos6z;pos7x;pos7y;pos7z;pos8x;pos8y;pos8z;pos9x;pos9y;pos9z;pos10x;pos10y;pos10z;pos11x;pos11y;pos11z;pos12x;pos12y;pos12z;pos13x;pos13y;pos13z;pos14x;pos14y;pos14z;pos15x;pos15y;pos15z;pos16x;pos16y;pos16z;pos17x;pos17y;pos17z;pos18x;pos18y;pos18z;pos19x;pos19y;pos19z;pos20x;pos20y;pos20z;pos21x;pos21y;pos21z;pos22x;pos22y;pos22z;pos23x;pos23y;pos23z;pos24x;pos24y;pos24z;pos25x;pos25y;pos25z;pos26x;pos26y;pos26z;pos27x;pos27y;pos27z;pos28x;pos28y;pos28z;pos29x;pos29y;pos29z;pos30x;pos30y;pos30z;pos31x;pos31y;pos31z;pos32x;pos32y;pos32z;pos33x;pos33y;pos33z;pos34x;pos34y;pos34z;pos35x;pos35y;pos35z;pos36x;pos36y;pos36z;pos37x;pos37y;pos37z;pos38x;pos38y;pos38z;pos39x;pos39y;pos39z;pos40x;pos40y;pos40z;pos41x;pos41y;pos41z;pos42x;pos42y;pos42z;pos43x;pos43y;pos43z;pos44x;pos44y;pos44z;pos45x;pos45y;pos45z;pos46x;pos46y;pos46z;pos47x;pos47y;pos47z;pos48x;pos48y;pos48z;pos49x;pos49y;pos49z;pos50x;pos50y;pos50z;pos51x;pos51y;pos51z;pos52x;pos52y;pos52z;pos53x;pos53y;pos53z;pos54x;pos54y;pos54z;pos55x;pos55y;pos55z;pos56x;pos56y;pos56z;pos57x;pos57y;pos57z;pos58x;pos58y;pos58z;pos59x;pos59y;pos59z;pos60x;pos60y;pos60z;pos61x;pos61y;pos61z
Nurse;Medicine distribution;12.28066;0;0;0;0;0;0;0;0;0;0;0;0;6.445788;-27.76621;1.016656;-25.8553;-27.70453;1.016656;-26.04935;-27.61736;1.016656;-26.23254;-27.5156;1.016656;-26.40553;-27.41392;1.016656;-26.5781;-27.31137;1.016656;-26.75218;-27.20793;1.016656;-26.92776;-27.10304;1.016656;-27.10581;-26.99909;1.016656;-27.28348;-26.89658;1.016656;-27.45743;-26.79065;1.016656;-27.63719;-26.68201;1.016656;-27.82154;-26.57883;1.016656;-27.99662;-26.47506;1.016656;-28.17272;-26.37048;1.016656;-28.35019;-26.26722;1.016656;-28.5254;-26.16466;1.016656;-28.69943;-26.06301;1.016656;-28.87192;-25.87603;1.016656;-28.97025;-25.77995;1.016656;-29.14586;-25.6832;1.016656;-29.32268;-25.58713;1.016656;-29.49824;-25.48815;1.016656;-29.67914;-25.39044;1.016656;-29.85772;-25.2933;1.016656;-30.03526;-25.19595;1.016656;-30.21317;-25.09851;1.016656;-30.39125;-25.00115;1.016656;-30.56917;-24.90448;1.016656;-30.74585;-24.80762;1.016656;-30.92285;-24.71052;1.016656;-31.1003;-24.61353;1.016656;-31.27755;-24.51604;1.016656;-31.45573;-24.41155;1.016656;-31.64592;-24.31552;1.016656;-31.82091;-24.21836;1.016656;-31.99927;-24.15031;1.016656;-32.18182;-24.15484;1.016656;-32.38408;-24.09756;1.016656;-32.51634;-24.12255;1.016656;-32.71881;-24.14754;1.016656;-32.92131;-24.17225;1.016656;-33.12142;-24.19678;1.016656;-33.32019;-24.22134;1.016656;-33.51916;-24.24569;1.016656;-33.71921;-24.26972;1.016656;-33.91829;-24.29438;1.016656;-34.12138;-24.31885;1.016656;-34.32119;-24.34385;1.016656;-34.52418;-24.36904;1.016656;-34.72604;-24.39512;1.016656;-34.9291;-24.44825;1.016656;-35.1186;-24.5838;1.016656;-35.27529;-24.74752;1.016656;-35.39728;-24.90835;1.016656;-35.51678;-25.06985;1.016656;-35.6356;-25.25288;1.016656;-35.72099;-25.40731;1.016656;-35.73846;-25.5989;1.016656;-35.80879;-25.78772;1.016656;-35.87812;-25.97712;1.016656;-35.94764;-26.16599;1.016656;-36.01698
Nurse;Medicine distribution;10.4841;0;0;0;0;0;0;0;0;0;0;0;0;5.453826;-26.28717;1.016656;-25.38787;-26.36001;1.016656;-25.36624;-26.51748;1.016656;-25.31948;-26.72261;1.016656;-25.25858;-26.91743;1.016656;-25.20073;-27.11338;1.016656;-25.14255;-27.31085;1.016656;-25.08391;-27.5058;1.016656;-25.02604;-27.69946;1.016656;-24.96854;-27.89138;1.016656;-24.91156;-28.08908;1.016656;-24.85286;-28.28099;1.016656;-24.79588;-28.47421;1.016656;-24.73852;-28.66606;1.016656;-24.68155;-28.86373;1.016656;-24.62286;-29.05888;1.016656;-24.56492;-29.25289;1.016656;-24.50732;-29.44731;1.016656;-24.44959;-29.64191;1.016656;-24.39182;-29.83634;1.016656;-24.33409;-29.98969;1.016656;-24.2465;-30.18397;1.016656;-24.19203;-30.37874;1.016656;-24.13742;-30.57328;1.016656;-24.08288;-30.76885;1.016656;-24.02805;-30.97838;1.016656;-23.9693;-31.1709;1.016656;-23.91428;-31.36659;1.016656;-23.8581;-31.55926;1.016656;-23.80293;-31.75731;1.016656;-23.74696;-31.95436;1.016656;-23.69117;-32.15065;1.016656;-23.63636;-32.3471;1.016656;-23.58213;-32.54203;1.016656;-23.53126;-32.73837;1.016656;-23.5251;-32.91044;1.016656;-23.59254;-33.05269;1.016656;-23.72848;-33.18808;1.016656;-23.8776;-33.32619;1.016656;-24.02973;-33.39334;1.016656;-24.12338;-33.5323;1.016656;-24.27466;-33.67046;1.016656;-24.42507;-33.80931;1.016656;-24.57588;-33.94857;1.016656;-24.72608;-34.09721;1.016656;-24.88658;-34.23627;1.016656;-25.03695;-34.37272;1.016656;-25.18456;-34.50857;1.016656;-25.33184;-34.64616;1.016656;-25.48197;-34.7835;1.016656;-25.63374;-34.92013;1.016656;-25.78535;-35.02443;1.016656;-25.95074;-35.0741;1.016656;-26.14528;-35.11994;1.016656;-26.34119;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
Nurse;Medicine distribution;8.59976;0;0;0;0;0;0;0;0;0;0;0;0;4.452021;-26.26182;1.016656;-25.39561;-26.17072;1.016656;-25.42375;-26.00321;1.016656;-25.47548;-25.83189;1.016656;-25.55369;-25.71507;1.016656;-25.69131;-25.65503;1.016656;-25.87931;-25.6052;1.016656;-26.07546;-25.55527;1.016656;-26.27202;-25.50528;1.016656;-26.46877;-25.45535;1.016656;-26.66534;-25.38148;1.016656;-26.88231;-25.3321;1.016656;-27.07791;-25.28259;1.016656;-27.27405;-25.23315;1.016656;-27.46995;-25.18345;1.016656;-27.66688;-25.1302;1.016656;-27.87786;-25.08116;1.016656;-28.07214;-25.03129;1.016656;-28.26974;-24.9822;1.016656;-28.46425;-24.87556;1.016656;-28.58785;-24.82686;1.016656;-28.78701;-24.77841;1.016656;-28.98519;-24.72995;1.016656;-29.18337;-24.68205;1.016656;-29.37923;-24.63448;1.016656;-29.57377;-24.58686;1.016656;-29.76851;-24.53888;1.016656;-29.96475;-24.49104;1.016656;-30.1604;-24.44224;1.016656;-30.35999;-24.39425;1.016656;-30.55626;-24.34546;1.016656;-30.75578;-24.29696;1.016656;-30.95416;-24.24826;1.016656;-31.15332;-24.19958;1.016656;-31.35242;-24.14759;1.016656;-31.56507;-24.09891;1.016656;-31.76417;-24.05112;1.016656;-31.9596;-24.00349;1.016656;-32.1544;-23.95509;1.016656;-32.35237;-23.80972;1.016656;-32.5487;-23.7645;1.016656;-32.74772;-23.71995;1.016656;-32.94386;-23.67525;1.016656;-33.14061;-23.63067;1.016656;-33.33681;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
Nurse;Medicine distribution;6.578265;0;0;0;0;0;0;0;0;0;0;0;0;3.453469;-26.30478;1.016656;-25.38264;-26.40589;1.016656;-25.35262;-26.58162;1.016656;-25.30044;-26.77531;1.016656;-25.24293;-26.97001;1.016656;-25.18513;-27.17861;1.016656;-25.12319;-27.3707;1.016656;-25.06615;-27.56607;1.016656;-25.00814;-27.75838;1.016656;-24.95104;-27.95583;1.016656;-24.89241;-28.15238;1.016656;-24.83406;-28.34795;1.016656;-24.77599;-28.54354;1.016656;-24.71792;-28.73683;1.016656;-24.66053;-28.92883;1.016656;-24.60353;-29.12103;1.016656;-24.54647;-29.31469;1.016656;-24.48897;-29.50777;1.016656;-24.43164;-29.70474;1.016656;-24.37316;-29.85916;1.016656;-24.29755;-30.05666;1.016656;-24.2411;-30.25303;1.016656;-24.185;-30.45016;1.016656;-24.12866;-30.64724;1.016656;-24.07233;-30.85773;1.016656;-24.01218;-31.05469;1.016656;-23.9556;-31.24759;1.016656;-23.8991;-31.43994;1.016656;-23.843;-31.63545;1.016656;-23.78617;-31.83204;1.016656;-23.72959;-32.02792;1.016656;-23.67315;-32.22121;1.016656;-23.61831;-32.41536;1.016656;-23.56431;-32.61089;1.016656;-23.52052;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
Nurse;Medicine distribution;4.628139;0;0;0;0;0;0;0;0;0;0;0;0;2.451662;-26.28;1.016656;-25.39;-26.31894;1.016656;-25.37844;-26.43776;1.016656;-25.34315;-26.62464;1.016656;-25.28767;-26.81793;1.016656;-25.23029;-27.00992;1.016656;-25.17328;-27.20212;1.016656;-25.11622;-27.39578;1.016656;-25.05872;-27.58887;1.016656;-25.00139;-27.78584;1.016656;-24.94291;-27.97904;1.016656;-24.88556;-28.17211;1.016656;-24.82829;-28.36456;1.016656;-24.77119;-28.55821;1.016656;-24.71373;-28.75218;1.016656;-24.65616;-28.95971;1.016656;-24.59455;-29.15432;1.016656;-24.53679;-29.34557;1.016656;-24.48001;-29.53639;1.016656;-24.42335;-29.73049;1.016656;-24.36572;-29.90152;1.016656;-24.22042;-30.09793;1.016656;-24.16913;-30.29159;1.016656;-24.11857;-30.48595;1.016656;-24.06783;-30.67984;1.016656;-24.01721;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
Nurse;Medicine distribution;2.611117;0;0;0;0;0;0;0;0;0;0;0;0;1.451332;-26.2799;1.016656;-25.39033;-26.26475;1.016656;-25.43873;-26.22469;1.016656;-25.56667;-26.16488;1.016656;-25.75772;-26.10363;1.016656;-25.95332;-26.04032;1.016656;-26.16142;-25.98709;1.016656;-26.35271;-25.93598;1.016656;-26.53827;-25.8799;1.016656;-26.72598;-25.8184;1.016656;-26.92028;-25.75662;1.016656;-27.11547;-25.69504;1.016656;-27.31004;-25.63434;1.016656;-27.50181;-25.57345;1.016656;-27.69417;-25.51274;1.016656;-27.88599;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
Nurse;Medicine distribution;0.6325344;0;0;0;0;0;0;0;0;0;0;0;0;0.452683;-26.99186;1.016656;-25.86008;-27.11961;1.016656;-25.87991;-27.27594;1.016656;-25.85126;-27.44215;1.016656;-25.80704;-27.60746;1.016656;-25.75834;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
Patient;Undergoing triage;12.67803;0;0;0;0;0;0;0;0;0;0;0;0;6.445521;-41.93;1.016656;-85.652;-41.7485;1.016656;-85.55775;-41.56808;1.016656;-85.46406;-41.38997;1.016656;-85.37157;-41.21221;1.016656;-85.27924;-41.03289;1.016656;-85.18616;-40.85203;1.016656;-85.09227;-40.66864;1.016656;-84.99704;-40.4855;1.016656;-84.90196;-40.30632;1.016656;-84.80891;-40.12115;1.016656;-84.71276;-39.93124;1.016656;-84.61417;-39.75089;1.016656;-84.5205;-39.56947;1.016656;-84.42632;-39.38666;1.016656;-84.33141;-39.20616;1.016656;-84.23769;-39.02687;1.016656;-84.14461;-38.84919;1.016656;-84.05234;-38.56646;1.016656;-83.89941;-38.38877;1.016656;-83.80721;-38.20986;1.016656;-83.7144;-38.03222;1.016656;-83.62221;-37.84918;1.016656;-83.52724;-37.6685;1.016656;-83.43349;-37.48886;1.016656;-83.34029;-37.30883;1.016656;-83.24691;-37.12865;1.016656;-83.15342;-36.94861;1.016656;-83.06003;-36.76985;1.016656;-82.96729;-36.59075;1.016656;-82.87437;-36.41119;1.016656;-82.7812;-36.23185;1.016656;-82.68816;-36.05156;1.016656;-82.5946;-35.8584;1.016656;-82.49441;-35.68055;1.016656;-82.40212;-35.49965;1.016656;-82.30826;-35.32158;1.016656;-82.21588;-35.13875;1.016656;-82.12101;-34.93304;1.016656;-81.9717;-34.75168;1.016656;-81.87833;-34.5703;1.016656;-81.78489;-34.39106;1.016656;-81.69257;-34.21301;1.016656;-81.60086;-34.03478;1.016656;-81.50906;-33.85519;1.016656;-81.41656;-33.67612;1.016656;-81.32431;-33.49346;1.016656;-81.23022;-33.31383;1.016656;-81.13769;-33.13123;1.016656;-81.04363;-32.94968;1.016656;-80.95013;-32.7674;1.016656;-80.85625;-32.5852;1.016656;-80.76241;-32.39058;1.016656;-80.66216;-32.20837;1.016656;-80.5683;-32.02951;1.016656;-80.47617;-31.85122;1.016656;-80.38434;-31.67003;1.016656;-80.29102;-31.4052;1.016656;-80.17077;-31.22391;1.016656;-80.07703;-31.04524;1.016656;-79.98463;-30.86603;1.016656;-79.89194;-30.68731;1.016656;-79.79952
Physician;monitoring patients;12.28914;0;0;0;0;0;0;0;0;0;0;0;0;6.445295;-27.32;1.016656;-71.22;-27.3382;1.016656;-71.01627;-27.35629;1.016656;-70.81379;-27.37415;1.016656;-70.61389;-27.39197;1.016656;-70.41437;-27.40995;1.016656;-70.21313;-27.42809;1.016656;-70.01018;-27.44648;1.016656;-69.80435;-27.46484;1.016656;-69.59882;-27.48281;1.016656;-69.3977;-27.50138;1.016656;-69.18986;-27.52042;1.016656;-68.97672;-27.53938;1.016656;-68.77534;-27.55798;1.016656;-68.57266;-27.57668;1.016656;-68.36847;-27.595;1.016656;-68.1668;-27.61308;1.016656;-67.96645;-27.63091;1.016656;-67.76788;-27.5879;1.016656;-67.47438;-27.65111;1.016656;-67.29704;-27.71505;1.016656;-67.11259;-27.7659;1.016656;-66.9417;-27.84132;1.016656;-66.75845;-27.87641;1.016656;-66.57505;-27.83457;1.016656;-66.40683;-27.71673;1.016656;-66.28329;-27.64134;1.016656;-66.13889;-27.52485;1.016656;-65.99775;-27.36802;1.016656;-65.84669;-27.1999;1.016656;-65.70314;-27.03869;1.016656;-65.57314;-26.8787;1.016656;-65.46415;-26.71057;1.016656;-65.36993;-26.53078;1.016656;-65.25932;-26.36356;1.016656;-65.15838;-26.1938;1.016656;-65.06088;-26.02299;1.016656;-64.9676;-25.84774;1.016656;-64.87379;-25.62613;1.016656;-64.77033;-25.45239;1.016656;-64.67589;-25.28324;1.016656;-64.57787;-25.11712;1.016656;-64.48035;-24.95237;1.016656;-64.38342;-24.79539;1.016656;-64.2789;-24.63656;1.016656;-64.17416;-24.47746;1.016656;-64.07045;-24.3143;1.016656;-63.96548;-24.13221;1.016656;-63.83287;-23.96535;1.016656;-63.73128;-23.80122;1.016656;-63.62957;-23.63532;1.016656;-63.5287;-23.46968;1.016656;-63.42832;-23.29379;1.016656;-63.32037;-23.12487;1.016656;-63.21976;-22.95615;1.016656;-63.123;-22.78577;1.016656;-63.02929;-22.61206;1.016656;-62.93597;-22.35415;1.016656;-62.8106;-22.16275;1.016656;-62.7654;-21.96192;1.016656;-62.75417;-21.76059;1.016656;-62.74301;-21.56013;1.016656;-62.7331
Physician;monitoring patients;10.39884;0;0;0;0;0;0;0;0;0;0;0;0;5.453597;-27.31495;1.016656;-71.275;-27.32124;1.016656;-71.19926;-27.33558;1.016656;-71.03788;-27.35291;1.016656;-70.84428;-27.36956;1.016656;-70.65808;-27.38649;1.016656;-70.4688;-27.40633;1.016656;-70.27795;-27.43259;1.016656;-70.09637;-27.46705;1.016656;-69.92878;-27.51115;1.016656;-69.77534;-27.57063;1.016656;-69.52606;-27.58339;1.016656;-69.33001;-27.59332;1.016656;-69.12869;-27.60354;1.016656;-68.92904;-27.61432;1.016656;-68.72407;-27.62477;1.016656;-68.52163;-27.63509;1.016656;-68.32037;-27.64533;1.016656;-68.11866;-27.65547;1.016656;-67.91679;-27.66547;1.016656;-67.71504;-27.6133;1.016656;-67.42776;-27.66661;1.016656;-67.23356;-27.69324;1.016656;-67.03343;-27.69551;1.016656;-66.8407;-27.62781;1.016656;-66.68201;-27.48149;1.016656;-66.54893;-27.33697;1.016656;-66.4318;-27.1995;1.016656;-66.30857;-27.06089;1.016656;-66.18828;-26.91655;1.016656;-66.0683;-26.74389;1.016656;-65.97356;-26.56004;1.016656;-65.88515;-26.37617;1.016656;-65.79669;-26.19447;1.016656;-65.70929;-26.01399;1.016656;-65.62246;-25.83332;1.016656;-65.53555;-25.65127;1.016656;-65.44798;-25.46977;1.016656;-65.36067;-25.28461;1.016656;-65.27161;-25.03361;1.016656;-65.15488;-24.84856;1.016656;-65.06573;-24.66458;1.016656;-64.9771;-24.47988;1.016656;-64.88811;-24.29523;1.016656;-64.79916;-24.098;1.016656;-64.70413;-23.91336;1.016656;-64.61517;-23.73211;1.016656;-64.52784;-23.55144;1.016656;-64.4408;-23.36783;1.016656;-64.35233;-23.18441;1.016656;-64.26527;-23.02006;1.016656;-64.20959;-22.8618;1.016656;-64.15664;-22.70567;1.016656;-64.10268;-22.5526;1.016656;-64.0477;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
