AgentType;TaskName;Distance;Collisions;Collisions_Medicine distribution;Collisions_Undergoing triage;Collisions_monitoring patients;Collisions_Patient round;Collisions_Supporting family member;Collisions_Writing report;Collisions_Monitoring patients;Collisions_Wheeling patient on a stretcher;Collisions_Bringing wheelchair;Collisions_Cleaner;Collisions_Admitting patient in waiting area;Duration;pos0x;pos0y;pos0z;pos1x;pos1y;pos1z;pos2x;pos2y;pos2z;pos3x;pos3y;pos3z;pos4x;pos4y;pos4z;pos5x;pos5y;pos5z;pos6x;pos6y;pos6z;pos7x;pos7y;pos7z;pos8x;pos8y;pos8z;pos9x;pos9y;pos9z;pos10x;pos10y;pos10z;pos11x;pos11y;pos11z;pos12x;pos12y;pos12z;pos13x;pos13y;pos13z;pos14x;pos14y;pos14z;pos15x;pos15y;pos15z;pos16x;pos16y;pos16z;pos17x;pos17y;pos17z;pos18x;pos18y;pos18z;pos19x;pos19y;pos19z;pos20x;pos20y;pos20z
Nurse;Medicine distribution;4.13065;0;0;0;0;0;0;0;0;0;0;0;0;2.535175;-25.83668;1.016656;-23.89709;-26.11755;1.016656;-23.76629;-26.30077;1.016656;-23.70337;-26.48428;1.016656;-23.64637;-26.668;1.016656;-23.59575;-26.84847;1.016656;-23.55535;-27.05043;1.016656;-23.52656;-27.26291;1.016656;-23.50441;-27.47375;1.016656;-23.48244;-27.68135;1.016656;-23.46081;-27.89281;1.016656;-23.43876;-28.09574;1.016656;-23.41761;-28.29881;1.016656;-23.39645;-28.50723;1.016656;-23.37473;-28.70973;1.016656;-23.35363;-28.91711;1.016656;-23.33202;-29.03028;1.016656;-23.25085;-29.23541;1.016656;-23.23098;-29.44626;1.016656;-23.21055;-29.6561;1.016656;-23.19022;-29.86574;1.016656;-23.16991
Nurse;Medicine distribution;2.776045;0;0;0;0;0;0;0;0;0;0;0;0;1.5389;-26.27626;1.016656;-25.40195;-26.24841;1.016656;-25.4909;-26.19411;1.016656;-25.66433;-26.13174;1.016656;-25.86353;-26.06822;1.016656;-26.06641;-26.00725;1.016656;-26.26112;-25.94625;1.016656;-26.45596;-25.88364;1.016656;-26.65594;-25.82281;1.016656;-26.85024;-25.76051;1.016656;-27.04922;-25.69759;1.016656;-27.25017;-25.63602;1.016656;-27.44684;-25.57272;1.016656;-27.64899;-25.50973;1.016656;-27.85018;-25.4468;1.016656;-28.05118;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
Nurse;Medicine distribution;0.7926341;0;0;0;0;0;0;0;0;0;0;0;0;0.5389922;-26.28;1.016656;-25.39;-26.31917;1.016656;-25.37837;-26.4405;1.016656;-25.34235;-26.63584;1.016656;-25.28435;-26.83794;1.016656;-25.22434;-27.03985;1.016656;-25.16439;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
Patient;Undergoing triage;4.33851;0;0;0;0;0;0;0;0;0;0;0;0;2.534837;-41.93;1.016656;-85.652;-41.65814;1.016656;-85.51086;-41.47971;1.016656;-85.41821;-41.29909;1.016656;-85.32442;-41.11613;1.016656;-85.22942;-40.9379;1.016656;-85.13688;-40.75094;1.016656;-85.03981;-40.56134;1.016656;-84.94135;-40.37321;1.016656;-84.84366;-40.18796;1.016656;-84.74747;-39.99927;1.016656;-84.64951;-39.81819;1.016656;-84.55549;-39.63699;1.016656;-84.4614;-39.45102;1.016656;-84.36484;-39.27033;1.016656;-84.27103;-39.08529;1.016656;-84.17495;-38.81832;1.016656;-84.05219;-38.6355;1.016656;-83.95706;-38.44758;1.016656;-83.85931;-38.26056;1.016656;-83.76202;-38.07372;1.016656;-83.66479
Physician;monitoring patients;3.486309;1;0;0;0;0;0;0;1;0;0;0;0;2.534563;-27.32;1.016656;-71.22;-27.32;1.016656;-71.22;-27.32;1.016656;-71.22;-27.32138;1.016656;-71.20461;-27.32979;1.016656;-71.11043;-27.34515;1.016656;-70.93849;-27.3639;1.016656;-70.72867;-27.38291;1.016656;-70.51588;-27.40178;1.016656;-70.30475;-27.42035;1.016656;-70.09685;-27.43927;1.016656;-69.88509;-27.45742;1.016656;-69.68186;-27.47559;1.016656;-69.47852;-27.49424;1.016656;-69.26979;-27.51235;1.016656;-69.067;-27.53155;1.016656;-68.85979;-27.47279;1.016656;-68.58529;-27.50246;1.016656;-68.38216;-27.53292;1.016656;-68.17348;-27.56302;1.016656;-67.96565;-27.59296;1.016656;-67.75806
Physician;monitoring patients;2.675869;0;0;0;0;0;0;0;0;0;0;0;0;1.538672;-27.21284;1.016656;-72.41925;-27.22114;1.016656;-72.32642;-27.23674;1.016656;-72.15182;-27.25359;1.016656;-71.96326;-27.27098;1.016656;-71.76861;-27.28785;1.016656;-71.57967;-27.30491;1.016656;-71.38876;-27.32256;1.016656;-71.19116;-27.33984;1.016656;-70.99775;-27.35765;1.016656;-70.79843;-27.37627;1.016656;-70.59001;-27.39461;1.016656;-70.38475;-27.41346;1.016656;-70.17376;-27.43222;1.016656;-69.96378;-27.45097;1.016656;-69.754;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
Physician;monitoring patients;0.6709771;0;0;0;0;0;0;0;0;0;0;0;0;0.5387623;-27.21618;1.016656;-72.3826;-27.21981;1.016656;-72.3419;-27.23107;1.016656;-72.21583;-27.24771;1.016656;-72.02782;-27.25039;1.016656;-71.86958;-27.29073;1.016656;-71.71833;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
Resident physician;Patient round;3.659922;1;0;0;0;0;0;0;1;0;0;0;0;2.534333;-25.92282;1.016656;-70.5321;-26.01412;1.016656;-70.23641;-26.08825;1.016656;-70.05815;-26.17001;1.016656;-69.88238;-26.2578;1.016656;-69.7074;-26.33095;1.016656;-69.52779;-26.35308;1.016656;-69.32418;-26.37201;1.016656;-69.11745;-26.37545;1.016656;-68.92577;-26.37147;1.016656;-68.7436;-26.37885;1.016656;-68.54887;-26.39794;1.016656;-68.35616;-26.39644;1.016656;-68.18914;-26.40343;1.016656;-68.02221;-26.4215;1.016656;-67.86378;-26.4391;1.016656;-67.69088;-26.34694;1.016656;-67.44852;-26.36302;1.016656;-67.25908;-26.28098;1.016656;-67.18414;-26.17931;1.016656;-67.16328;-26.11337;1.016656;-67.14976
Resident physician;Patient round;2.473698;0;0;0;0;0;0;0;0;0;0;0;0;1.53846;-25.94058;1.016656;-71.45659;-25.9463;1.016656;-71.35959;-25.96614;1.016656;-71.17717;-25.98917;1.016656;-70.97568;-26.01293;1.016656;-70.77231;-26.0357;1.016656;-70.57455;-26.0529;1.016656;-70.38026;-26.0655;1.016656;-70.18609;-26.07768;1.016656;-69.99686;-26.08356;1.016656;-69.81127;-26.0877;1.016656;-69.62387;-26.08357;1.016656;-69.45116;-26.07715;1.016656;-69.28174;-26.05169;1.016656;-69.14145;-26.03816;1.016656;-68.99291;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
Visitor;Supporting family member;4.167792;0;0;0;0;0;0;0;0;0;0;0;0;2.534044;-8.066668;1.016656;-3.5;-8.292234;1.016656;-3.707246;-8.440283;1.016656;-3.843269;-8.590153;1.016656;-3.980966;-8.741955;1.016656;-4.12044;-8.889838;1.016656;-4.256312;-9.044963;1.016656;-4.398838;-9.202279;1.016656;-4.543378;-9.358376;1.016656;-4.686795;-9.512076;1.016656;-4.828012;-9.668633;1.016656;-4.971853;-9.818875;1.016656;-5.10989;-9.969218;1.016656;-5.248024;-10.12352;1.016656;-5.389799;-10.27345;1.016656;-5.527547;-10.42699;1.016656;-5.668615;-10.53703;1.016656;-5.723845;-10.68794;1.016656;-5.864188;-10.84306;1.016656;-6.008447;-10.99744;1.016656;-6.15202;-11.15167;1.016656;-6.295454
Shift nurse;Writing report;4.552511;0;0;0;0;0;0;0;0;0;0;0;0;2.533724;-26.28;1.016656;-25.39;-26.28;1.016656;-25.39;-26.25723;1.016656;-25.37484;-26.16681;1.016656;-25.31469;-26.00929;1.016656;-25.20986;-25.8421;1.016656;-25.09861;-24.85766;1.016656;-24.44355;-24.67981;1.016656;-24.3252;-24.50333;1.016656;-24.20777;-24.32957;1.016656;-24.09214;-24.15257;1.016656;-23.97436;-23.98271;1.016656;-23.86133;-23.81274;1.016656;-23.74822;-23.63829;1.016656;-23.63214;-23.46879;1.016656;-23.51935;-23.2952;1.016656;-23.40384;-23.06631;1.016656;-23.20547;-22.90934;1.016656;-23.10761;-22.76057;1.016656;-23.01487;-22.62519;1.016656;-22.93046;-22.50251;1.016656;-22.85398
Head of the ED;Monitoring patients;5.287745;2;0;0;1;1;0;0;0;0;0;0;0;2.533482;-26.70909;1.016656;-70.91924;-27.45338;1.016656;-69.53558;-27.54758;1.016656;-69.39386;-27.65081;1.016656;-69.25882;-27.75744;1.016656;-69.12582;-27.86205;1.016656;-68.9959;-27.97337;1.016656;-68.85657;-28.08792;1.016656;-68.7084;-28.20195;1.016656;-68.55196;-28.31252;1.016656;-68.38512;-28.42222;1.016656;-68.2037;-28.52724;1.016656;-68.02878;-28.63233;1.016656;-67.85375;-28.7402;1.016656;-67.67411;-28.845;1.016656;-67.49956;-28.95233;1.016656;-67.32079;-29.01962;1.016656;-67.13393;-29.12699;1.016656;-66.95803;-29.23736;1.016656;-66.77722;-29.34719;1.016656;-66.59725;-29.45692;1.016656;-66.41747
