AgentType;TaskName;Distance;Collisions;Collisions_Medicine distribution;Collisions_Undergoing triage;Collisions_monitoring patients;Collisions_Patient round;Collisions_Supporting family member;Collisions_Writing report;Collisions_Monitoring patients;Collisions_Wheeling patient on a stretcher;Collisions_Bringing wheelchair;Collisions_Cleaner;Collisions_Admitting patient in waiting area;Duration;pos0x;pos0y;pos0z;pos1x;pos1y;pos1z;pos2x;pos2y;pos2z;pos3x;pos3y;pos3z;pos4x;pos4y;pos4z;pos5x;pos5y;pos5z;pos6x;pos6y;pos6z;pos7x;pos7y;pos7z;pos8x;pos8y;pos8z;pos9x;pos9y;pos9z;pos10x;pos10y;pos10z;pos11x;pos11y;pos11z;pos12x;pos12y;pos12z;pos13x;pos13y;pos13z;pos14x;pos14y;pos14z;pos15x;pos15y;pos15z;pos16x;pos16y;pos16z;pos17x;pos17y;pos17z;pos18x;pos18y;pos18z;pos19x;pos19y;pos19z;pos20x;pos20y;pos20z;pos21x;pos21y;pos21z;pos22x;pos22y;pos22z;pos23x;pos23y;pos23z;pos24x;pos24y;pos24z;pos25x;pos25y;pos25z;pos26x;pos26y;pos26z;pos27x;pos27y;pos27z;pos28x;pos28y;pos28z;pos29x;pos29y;pos29z;pos30x;pos30y;pos30z;pos31x;pos31y;pos31z;pos32x;pos32y;pos32z;pos33x;pos33y;pos33z;pos34x;pos34y;pos34z;pos35x;pos35y;pos35z;pos36x;pos36y;pos36z;pos37x;pos37y;pos37z;pos38x;pos38y;pos38z;pos39x;pos39y;pos39z;pos40x;pos40y;pos40z;pos41x;pos41y;pos41z;pos42x;pos42y;pos42z;pos43x;pos43y;pos43z;pos44x;pos44y;pos44z;pos45x;pos45y;pos45z;pos46x;pos46y;pos46z;pos47x;pos47y;pos47z;pos48x;pos48y;pos48z;pos49x;pos49y;pos49z;pos50x;pos50y;pos50z;pos51x;pos51y;pos51z;pos52x;pos52y;pos52z;pos53x;pos53y;pos53z;pos54x;pos54y;pos54z;pos55x;pos55y;pos55z;pos56x;pos56y;pos56z;pos57x;pos57y;pos57z;pos58x;pos58y;pos58z;pos59x;pos59y;pos59z;pos60x;pos60y;pos60z
Nurse;Medicine distribution;12.83429;1;0;0;0;0;0;1;0;0;0;0;0;6.650115;-26.28;1.016656;-25.39;-26.10455;1.016656;-25.48227;-26.00233;1.016656;-25.62986;-25.94477;1.016656;-25.82118;-25.89004;1.016656;-26.01603;-25.83553;1.016656;-26.21012;-25.78082;1.016656;-26.4049;-25.56446;1.016656;-26.93822;-25.51125;1.016656;-27.1369;-25.45876;1.016656;-27.33293;-25.4067;1.016656;-27.52733;-25.35411;1.016656;-27.72373;-25.30202;1.016656;-27.9182;-25.23077;1.016656;-28.18429;-25.17467;1.016656;-28.39379;-25.12032;1.016656;-28.59672;-25.0313;1.016656;-28.73263;-24.98023;1.016656;-28.93541;-24.92947;1.016656;-29.13696;-24.87968;1.016656;-29.33462;-24.82738;1.016656;-29.5423;-24.77403;1.016656;-29.75413;-24.72196;1.016656;-29.96089;-24.66899;1.016656;-30.17123;-24.61746;1.016656;-30.37187;-24.5683;1.016656;-30.56548;-24.5168;1.016656;-30.76842;-24.46361;1.016656;-30.97821;-24.41248;1.016656;-31.18076;-24.36041;1.016656;-31.38702;-24.3104;1.016656;-31.58619;-24.26032;1.016656;-31.7869;-24.21057;1.016656;-31.98877;-24.18653;1.016656;-32.1889;-24.20305;1.016656;-32.40397;-24.13704;1.016656;-32.60806;-24.16027;1.016656;-32.81651;-24.18308;1.016656;-33.02108;-24.20593;1.016656;-33.22601;-24.22831;1.016656;-33.42673;-24.25258;1.016656;-33.64445;-24.27432;1.016656;-33.84525;-24.29654;1.016656;-34.04769;-24.31964;1.016656;-34.25827;-24.34193;1.016656;-34.45974;-24.36581;1.016656;-34.67293;-24.3898;1.016656;-34.8806;-24.42821;1.016656;-35.09052;-24.5289;1.016656;-35.24849;-24.69384;1.016656;-35.37291;-24.86665;1.016656;-35.49424;-25.03634;1.016656;-35.61236;-25.22809;1.016656;-35.71266;-25.41844;1.016656;-35.78092;-25.61596;1.016656;-35.85175;-25.80323;1.016656;-35.83967;-25.99869;1.016656;-35.91351;-26.20368;1.016656;-35.99095;-26.4087;1.016656;-36.06841;-26.61013;1.016656;-36.14451;-26.81148;1.016656;-36.22058
Nurse;Medicine distribution;10.64437;0;0;0;0;0;0;0;0;0;0;0;0;5.655671;-26.27623;1.016656;-25.40207;-26.24999;1.016656;-25.48586;-26.19941;1.016656;-25.64741;-26.13927;1.016656;-25.83948;-26.07852;1.016656;-26.0335;-26.01836;1.016656;-26.22563;-25.93605;1.016656;-26.48851;-25.87125;1.016656;-26.69548;-25.80848;1.016656;-26.89596;-25.74503;1.016656;-27.09861;-25.69271;1.016656;-27.27464;-25.64046;1.016656;-27.44948;-25.58784;1.016656;-27.62358;-25.53125;1.016656;-27.80904;-25.47236;1.016656;-28.00051;-25.41389;1.016656;-28.18942;-25.35357;1.016656;-28.38333;-25.29497;1.016656;-28.57095;-25.238;1.016656;-28.75273;-25.16439;1.016656;-28.87809;-25.10097;1.016656;-29.08564;-25.03983;1.016656;-29.28569;-24.97756;1.016656;-29.4895;-24.91748;1.016656;-29.68608;-24.85699;1.016656;-29.88401;-24.79621;1.016656;-30.08288;-24.73695;1.016656;-30.27671;-24.67445;1.016656;-30.48092;-24.61164;1.016656;-30.68566;-24.55013;1.016656;-30.88549;-24.48983;1.016656;-31.08153;-24.42948;1.016656;-31.27787;-24.37059;1.016656;-31.47043;-24.30687;1.016656;-31.67928;-24.24806;1.016656;-31.87259;-24.19061;1.016656;-32.06799;-24.18437;1.016656;-32.27795;-24.20065;1.016656;-32.48088;-24.1513;1.016656;-32.6714;-24.17388;1.016656;-32.87974;-24.19734;1.016656;-33.09631;-24.21895;1.016656;-33.29586;-24.24037;1.016656;-33.49816;-24.26004;1.016656;-33.69709;-24.27753;1.016656;-33.88861;-24.2949;1.016656;-34.08954;-24.3101;1.016656;-34.27516;-24.32723;1.016656;-34.4693;-24.34449;1.016656;-34.6555;-24.37354;1.016656;-34.85209;-24.43435;1.016656;-35.05594;-24.57095;1.016656;-35.21724;-24.7351;1.016656;-35.35557;-24.89917;1.016656;-35.49358;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
Nurse;Medicine distribution;8.943414;0;0;0;0;0;0;0;0;0;0;0;0;4.650536;-26.28;1.016656;-25.39;-26.32597;1.016656;-25.37216;-26.45424;1.016656;-25.33065;-26.64486;1.016656;-25.27405;-26.85024;1.016656;-25.21333;-27.05972;1.016656;-25.15141;-27.26419;1.016656;-25.09097;-27.47219;1.016656;-25.02948;-27.67189;1.016656;-24.97045;-27.86415;1.016656;-24.91361;-28.06571;1.016656;-24.85402;-28.27416;1.016656;-24.7924;-28.47523;1.016656;-24.73297;-28.68019;1.016656;-24.67237;-28.878;1.016656;-24.6139;-29.07724;1.016656;-24.555;-29.27747;1.016656;-24.49581;-29.47276;1.016656;-24.43807;-29.67962;1.016656;-24.37692;-29.7893;1.016656;-24.24124;-29.9924;1.016656;-24.18884;-30.1917;1.016656;-24.13743;-30.39137;1.016656;-24.08591;-30.58694;1.016656;-24.03546;-30.79905;1.016656;-23.98074;-30.99555;1.016656;-23.93005;-31.19324;1.016656;-23.87854;-31.39861;1.016656;-23.82384;-31.59525;1.016656;-23.77194;-31.80339;1.016656;-23.71723;-32.0059;1.016656;-23.66438;-32.21669;1.016656;-23.61042;-32.41169;1.016656;-23.56173;-32.61599;1.016656;-23.51649;-32.82389;1.016656;-23.47469;-33.02708;1.016656;-23.43383;-33.24102;1.016656;-23.39081;-33.43927;1.016656;-23.35095;-33.64499;1.016656;-23.30958;-33.79873;1.016656;-23.22448;-34.00402;1.016656;-23.18557;-34.21931;1.016656;-23.14476;-34.43465;1.016656;-23.10394;-34.64621;1.016656;-23.06384;-34.85767;1.016656;-23.02375;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
Nurse;Medicine distribution;7.022814;0;0;0;0;0;0;0;0;0;0;0;0;3.653551;-26.27576;1.016656;-25.40353;-26.24602;1.016656;-25.49853;-26.19121;1.016656;-25.67357;-26.12735;1.016656;-25.87755;-26.06572;1.016656;-26.07439;-26.00365;1.016656;-26.27266;-25.94126;1.016656;-26.47193;-25.88041;1.016656;-26.66627;-25.81596;1.016656;-26.87212;-25.75096;1.016656;-27.07972;-25.68829;1.016656;-27.27988;-25.62679;1.016656;-27.47631;-25.56518;1.016656;-27.6731;-25.50483;1.016656;-27.86584;-25.43937;1.016656;-28.07489;-25.37874;1.016656;-28.26856;-25.31768;1.016656;-28.46359;-25.2541;1.016656;-28.66664;-25.19327;1.016656;-28.86093;-25.03222;1.016656;-29.03981;-24.97609;1.016656;-29.2417;-24.91774;1.016656;-29.45158;-24.86385;1.016656;-29.64544;-24.80776;1.016656;-29.84721;-24.75096;1.016656;-30.05152;-24.6947;1.016656;-30.25034;-24.63608;1.016656;-30.4598;-24.58183;1.016656;-30.65398;-24.52562;1.016656;-30.85554;-24.47155;1.016656;-31.04895;-24.41565;1.016656;-31.24934;-24.35719;1.016656;-31.45955;-24.29904;1.016656;-31.67006;-24.24218;1.016656;-31.87677;-24.18888;1.016656;-32.08434;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
Nurse;Medicine distribution;4.931791;0;0;0;0;0;0;0;0;0;0;0;0;2.64952;-26.28;1.016656;-25.39;-26.32707;1.016656;-25.37141;-26.45522;1.016656;-25.3298;-26.64812;1.016656;-25.27253;-26.84181;1.016656;-25.21529;-27.05189;1.016656;-25.1532;-27.24651;1.016656;-25.09569;-27.44249;1.016656;-25.03778;-27.64654;1.016656;-24.97748;-27.84178;1.016656;-24.91978;-28.0484;1.016656;-24.85872;-28.24936;1.016656;-24.79933;-28.45827;1.016656;-24.7376;-28.65124;1.016656;-24.68057;-28.85207;1.016656;-24.62122;-29.05543;1.016656;-24.56112;-29.25418;1.016656;-24.50239;-29.46346;1.016656;-24.44054;-29.6574;1.016656;-24.38323;-29.85863;1.016656;-24.32376;-29.96246;1.016656;-24.26427;-30.16343;1.016656;-24.20713;-30.37421;1.016656;-24.1472;-30.58502;1.016656;-24.08727;-30.79214;1.016656;-24.02838;-30.99917;1.016656;-23.96952;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
Nurse;Medicine distribution;3.000406;0;0;0;0;0;0;0;0;0;0;0;0;1.648447;-26.27642;1.016656;-25.39804;-26.24681;1.016656;-25.47442;-26.19159;1.016656;-25.64445;-26.13171;1.016656;-25.83655;-26.06938;1.016656;-26.03648;-26.00628;1.016656;-26.23892;-25.9446;1.016656;-26.43678;-25.87965;1.016656;-26.64512;-25.81947;1.016656;-26.83818;-25.75702;1.016656;-27.03851;-25.697;1.016656;-27.23106;-25.63482;1.016656;-27.43054;-25.5696;1.016656;-27.63975;-25.50438;1.016656;-27.84898;-25.4403;1.016656;-28.05455;-25.37624;1.016656;-28.26003;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
Nurse;Medicine distribution;1.020276;0;0;0;0;0;0;0;0;0;0;0;0;0.6514783;-26.28;1.016656;-25.39;-26.31536;1.016656;-25.3795;-26.43447;1.016656;-25.34414;-26.63522;1.016656;-25.28454;-26.84533;1.016656;-25.22215;-27.05175;1.016656;-25.16087;-27.25808;1.016656;-25.09961;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
Patient;Undergoing triage;12.74941;0;0;0;0;0;0;0;0;0;0;0;0;6.649775;-41.93;1.016656;-85.652;-41.79248;1.016656;-85.48786;-41.6635;1.016656;-85.33385;-41.53398;1.016656;-85.17926;-41.40399;1.016656;-85.02412;-41.27454;1.016656;-84.86954;-41.14459;1.016656;-84.71449;-41.01591;1.016656;-84.56089;-40.88383;1.016656;-84.40325;-40.75353;1.016656;-84.24771;-40.62428;1.016656;-84.09342;-40.49371;1.016656;-83.93756;-40.36442;1.016656;-83.78324;-40.18752;1.016656;-83.57211;-40.04824;1.016656;-83.40585;-39.91335;1.016656;-83.24481;-39.70915;1.016656;-83.02689;-39.57516;1.016656;-82.86636;-39.44198;1.016656;-82.70679;-39.31136;1.016656;-82.55031;-39.17413;1.016656;-82.38589;-39.03416;1.016656;-82.21818;-38.89753;1.016656;-82.05447;-38.75854;1.016656;-81.88793;-38.62511;1.016656;-81.72807;-38.49665;1.016656;-81.57416;-38.36197;1.016656;-81.41281;-38.22269;1.016656;-81.24594;-38.08834;1.016656;-81.08496;-37.95139;1.016656;-80.92088;-37.81923;1.016656;-80.76252;-37.68611;1.016656;-80.603;-37.55231;1.016656;-80.44269;-37.42183;1.016656;-80.28634;-37.2836;1.016656;-80.12073;-37.12296;1.016656;-79.89548;-36.98788;1.016656;-79.73501;-36.85532;1.016656;-79.57754;-36.72253;1.016656;-79.41978;-36.59246;1.016656;-79.26527;-36.4514;1.016656;-79.09768;-36.32071;1.016656;-78.94243;-36.18911;1.016656;-78.78609;-36.05208;1.016656;-78.62331;-35.92098;1.016656;-78.46756;-35.78222;1.016656;-78.30273;-35.64728;1.016656;-78.14243;-35.507;1.016656;-77.97576;-35.37741;1.016656;-77.82182;-35.24255;1.016656;-77.66161;-35.10585;1.016656;-77.50043;-34.97184;1.016656;-77.34251;-34.83102;1.016656;-77.17592;-34.7006;1.016656;-77.0215;-34.5651;1.016656;-76.86148;-34.42432;1.016656;-76.69643;-34.28975;1.016656;-76.53686;-34.14907;1.016656;-76.36914;-34.00922;1.016656;-76.20061;-33.8748;1.016656;-76.03316;-33.79943;1.016656;-75.84599
Physician;monitoring patients;9.448889;0;0;0;0;0;0;0;0;0;0;0;0;6.649531;-25.76945;1.016656;-71.08163;-25.74409;1.016656;-70.87796;-25.75836;1.016656;-70.70155;-25.77345;1.016656;-70.52377;-25.79068;1.016656;-70.35187;-25.80822;1.016656;-70.18259;-25.8247;1.016656;-70.00917;-25.85145;1.016656;-69.84722;-25.89886;1.016656;-69.7019;-25.94987;1.016656;-69.56654;-26.00349;1.016656;-69.43852;-26.06108;1.016656;-69.31581;-26.12238;1.016656;-69.20299;-26.20825;1.016656;-69.04778;-26.28385;1.016656;-68.9183;-26.36159;1.016656;-68.79155;-26.35089;1.016656;-68.6371;-26.43212;1.016656;-68.56243;-26.44452;1.016656;-68.49592;-26.43979;1.016656;-68.42471;-26.44556;1.016656;-68.35802;-26.46018;1.016656;-68.29832;-26.49485;1.016656;-68.2644;-26.54663;1.016656;-68.24269;-26.60658;1.016656;-68.2265;-26.66526;1.016656;-68.21164;-26.71814;1.016656;-68.19971;-26.75751;1.016656;-68.21088;-26.79685;1.016656;-68.18441;-26.84368;1.016656;-68.12714;-26.89589;1.016656;-68.05225;-26.98193;1.016656;-67.94476;-27.07538;1.016656;-67.83955;-27.2143;1.016656;-67.71525;-27.37709;1.016656;-67.57494;-27.51745;1.016656;-67.4;-27.67299;1.016656;-67.30708;-27.75921;1.016656;-67.14696;-27.76381;1.016656;-66.9707;-27.69113;1.016656;-66.82352;-27.53113;1.016656;-66.70368;-27.36508;1.016656;-66.59986;-27.20855;1.016656;-66.493;-27.05377;1.016656;-66.38364;-26.91016;1.016656;-66.28296;-26.74609;1.016656;-66.18186;-26.55948;1.016656;-66.08652;-26.36549;1.016656;-65.98743;-26.1863;1.016656;-65.89589;-25.99981;1.016656;-65.80063;-25.81097;1.016656;-65.70415;-25.62641;1.016656;-65.60986;-25.43207;1.016656;-65.51058;-25.25199;1.016656;-65.41859;-25.06512;1.016656;-65.32313;-24.88079;1.016656;-65.15846;-24.69368;1.016656;-65.06546;-24.49745;1.016656;-64.96792;-24.30119;1.016656;-64.87037;-24.10836;1.016656;-64.77454;-23.91562;1.016656;-64.67873
Physician;monitoring patients;9.96177;0;0;0;0;0;0;0;0;0;0;0;0;5.655432;-27.17765;1.016656;-72.80181;-27.18315;1.016656;-72.7259;-27.19451;1.016656;-72.58356;-27.20477;1.016656;-72.42836;-27.21425;1.016656;-72.26676;-27.22325;1.016656;-72.10215;-27.23558;1.016656;-71.87115;-27.24607;1.016656;-71.68264;-27.25652;1.016656;-71.49683;-26.59442;1.016656;-72.64577;-26.53868;1.016656;-72.61614;-26.49682;1.016656;-72.55917;-26.48814;1.016656;-72.44594;-26.50712;1.016656;-72.28372;-26.52861;1.016656;-72.11633;-26.54875;1.016656;-71.96365;-26.55948;1.016656;-71.82198;-26.5563;1.016656;-71.69328;-26.53511;1.016656;-71.57881;-26.49424;1.016656;-71.42394;-26.54154;1.016656;-71.22633;-26.59841;1.016656;-71.02452;-26.65637;1.016656;-70.8188;-26.71231;1.016656;-70.62027;-26.76866;1.016656;-70.4203;-26.82529;1.016656;-70.21932;-26.88053;1.016656;-70.02332;-26.93903;1.016656;-69.81568;-26.99803;1.016656;-69.60629;-27.05492;1.016656;-69.4044;-27.11074;1.016656;-69.20629;-27.16677;1.016656;-69.00808;-27.22183;1.016656;-68.81458;-27.28149;1.016656;-68.60471;-27.33662;1.016656;-68.41007;-27.39214;1.016656;-68.2143;-27.44981;1.016656;-68.01046;-27.50478;1.016656;-67.81517;-27.47109;1.016656;-67.61868;-27.45989;1.016656;-67.46567;-27.29525;1.016656;-67.39219;-27.12755;1.016656;-67.35779;-26.95824;1.016656;-67.32306;-26.79929;1.016656;-67.29045;-26.657;1.016656;-67.2721;-26.52002;1.016656;-67.27756;-26.40527;1.016656;-67.30429;-26.30391;1.016656;-67.35007;-26.2129;1.016656;-67.41244;-26.14164;1.016656;-67.49718;-26.08386;1.016656;-67.61983;-26.07384;1.016656;-67.75351;-26.13126;1.016656;-67.86724;-26.24523;1.016656;-67.9351;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
