AgentType;TaskName;Distance;Collisions;Collisions_Medicine distribution;Collisions_Undergoing triage;Collisions_monitoring patients;Collisions_Patient round;Collisions_Supporting family member;Collisions_Writing report;Collisions_Monitoring patients;Collisions_Wheeling patient on a stretcher;Collisions_Bringing wheelchair;Collisions_Cleaner;Collisions_Admitting patient in waiting area;Duration;pos0x;pos0y;pos0z;pos1x;pos1y;pos1z;pos2x;pos2y;pos2z;pos3x;pos3y;pos3z;pos4x;pos4y;pos4z;pos5x;pos5y;pos5z;pos6x;pos6y;pos6z;pos7x;pos7y;pos7z;pos8x;pos8y;pos8z;pos9x;pos9y;pos9z;pos10x;pos10y;pos10z;pos11x;pos11y;pos11z;pos12x;pos12y;pos12z;pos13x;pos13y;pos13z;pos14x;pos14y;pos14z;pos15x;pos15y;pos15z;pos16x;pos16y;pos16z;pos17x;pos17y;pos17z;pos18x;pos18y;pos18z;pos19x;pos19y;pos19z;pos20x;pos20y;pos20z;pos21x;pos21y;pos21z;pos22x;pos22y;pos22z;pos23x;pos23y;pos23z;pos24x;pos24y;pos24z;pos25x;pos25y;pos25z;pos26x;pos26y;pos26z;pos27x;pos27y;pos27z;pos28x;pos28y;pos28z;pos29x;pos29y;pos29z;pos30x;pos30y;pos30z;pos31x;pos31y;pos31z;pos32x;pos32y;pos32z;pos33x;pos33y;pos33z;pos34x;pos34y;pos34z;pos35x;pos35y;pos35z;pos36x;pos36y;pos36z;pos37x;pos37y;pos37z;pos38x;pos38y;pos38z;pos39x;pos39y;pos39z;pos40x;pos40y;pos40z;pos41x;pos41y;pos41z;pos42x;pos42y;pos42z;pos43x;pos43y;pos43z;pos44x;pos44y;pos44z;pos45x;pos45y;pos45z;pos46x;pos46y;pos46z;pos47x;pos47y;pos47z;pos48x;pos48y;pos48z;pos49x;pos49y;pos49z;pos50x;pos50y;pos50z;pos51x;pos51y;pos51z;pos52x;pos52y;pos52z;pos53x;pos53y;pos53z;pos54x;pos54y;pos54z;pos55x;pos55y;pos55z;pos56x;pos56y;pos56z;pos57x;pos57y;pos57z;pos58x;pos58y;pos58z;pos59x;pos59y;pos59z;pos60x;pos60y;pos60z;pos61x;pos61y;pos61z;pos62x;pos62y;pos62z;pos63x;pos63y;pos63z;pos64x;pos64y;pos64z;pos65x;pos65y;pos65z;pos66x;pos66y;pos66z;pos67x;pos67y;pos67z;pos68x;pos68y;pos68z;pos69x;pos69y;pos69z;pos70x;pos70y;pos70z;pos71x;pos71y;pos71z;pos72x;pos72y;pos72z;pos73x;pos73y;pos73z;pos74x;pos74y;pos74z;pos75x;pos75y;pos75z;pos76x;pos76y;pos76z
Nurse;Medicine distribution;15.31776;0;0;0;0;0;0;0;0;0;0;0;0;8.035859;-24.7938;1.016656;-24.9247;-24.52093;1.016656;-25.07043;-24.34178;1.016656;-25.25465;-24.22081;1.016656;-25.44892;-24.15798;1.016656;-25.62772;-24.12674;1.016656;-25.80036;-24.10422;1.016656;-25.97372;-24.09169;1.016656;-26.15515;-24.09226;1.016656;-26.35379;-24.09596;1.016656;-26.55465;-24.09968;1.016656;-26.75663;-24.10344;1.016656;-26.96001;-24.1072;1.016656;-27.16423;-24.11095;1.016656;-27.36752;-24.1147;1.016656;-27.57106;-24.11846;1.016656;-27.77539;-24.12224;1.016656;-27.98043;-24.0711;1.016656;-28.17326;-24.07751;1.016656;-28.37361;-24.08411;1.016656;-28.57952;-24.09056;1.016656;-28.78094;-24.09701;1.016656;-28.98272;-24.10345;1.016656;-29.18379;-24.10991;1.016656;-29.38556;-24.11669;1.016656;-29.59747;-24.12317;1.016656;-29.79975;-24.12994;1.016656;-30.0113;-24.13688;1.016656;-30.2283;-24.14294;1.016656;-30.43238;-24.14912;1.016656;-30.63763;-24.15531;1.016656;-30.84269;-24.16151;1.016656;-31.04811;-24.16771;1.016656;-31.25059;-24.17414;1.016656;-31.45405;-24.18076;1.016656;-31.65774;-24.18742;1.016656;-31.8599;-24.19459;1.016656;-32.05957;-24.20107;1.016656;-32.21566;-24.2157;1.016656;-32.41799;-24.23059;1.016656;-32.62403;-24.24502;1.016656;-32.82354;-24.25989;1.016656;-33.02925;-24.27475;1.016656;-33.23481;-24.28949;1.016656;-33.4385;-24.30398;1.016656;-33.6403;-24.31811;1.016656;-33.84217;-24.33243;1.016656;-34.04469;-24.34659;1.016656;-34.24427;-24.361;1.016656;-34.44601;-24.37544;1.016656;-34.64526;-24.39055;1.016656;-34.84576;-24.41255;1.016656;-35.04231;-24.49755;1.016656;-35.21501;-24.64823;1.016656;-35.34138;-24.81205;1.016656;-35.45625;-24.97671;1.016656;-35.57114;-25.14968;1.016656;-35.6793;-25.21797;1.016656;-35.69041;-25.40862;1.016656;-35.75953;-25.60115;1.016656;-35.82934;-25.79166;1.016656;-35.89841;-25.98162;1.016656;-35.9673;-26.17837;1.016656;-36.03863;-26.36918;1.016656;-36.10783;-26.56057;1.016656;-36.17722;-26.75258;1.016656;-36.24682;-26.94518;1.016656;-36.31665;-27.13638;1.016656;-36.38597;-27.32715;1.016656;-36.45513;-27.51799;1.016656;-36.52431;-27.70943;1.016656;-36.59372;-27.90093;1.016656;-36.66314;-28.09185;1.016656;-36.73236;-28.28251;1.016656;-36.80148;-28.47334;1.016656;-36.87065;-28.66402;1.016656;-36.93979;-28.83198;1.016656;-36.93908
Nurse;Medicine distribution;13.60506;0;0;0;0;0;0;0;0;0;0;0;0;7.039498;-26.43011;1.016656;-25.48989;-26.46967;1.016656;-25.48316;-26.58686;1.016656;-25.45483;-26.76973;1.016656;-25.39709;-26.96329;1.016656;-25.33451;-27.15763;1.016656;-25.27166;-27.35108;1.016656;-25.2091;-27.54478;1.016656;-25.14647;-27.73923;1.016656;-25.0836;-27.93436;1.016656;-25.0205;-28.12496;1.016656;-24.95886;-28.31569;1.016656;-24.89719;-28.51172;1.016656;-24.83381;-28.70345;1.016656;-24.77181;-28.89554;1.016656;-24.70969;-29.08695;1.016656;-24.6478;-29.27904;1.016656;-24.58569;-29.48078;1.016656;-24.52045;-29.67334;1.016656;-24.45818;-29.87474;1.016656;-24.39306;-30.04349;1.016656;-24.29372;-30.23938;1.016656;-24.2339;-30.43638;1.016656;-24.17373;-30.63328;1.016656;-24.1136;-30.83064;1.016656;-24.05332;-31.02518;1.016656;-23.99392;-31.22037;1.016656;-23.93371;-31.41544;1.016656;-23.87292;-31.60924;1.016656;-23.81258;-31.80039;1.016656;-23.75329;-31.99637;1.016656;-23.69361;-32.19021;1.016656;-23.63449;-32.3878;1.016656;-23.57499;-32.58051;1.016656;-23.52319;-32.77987;1.016656;-23.53104;-32.94884;1.016656;-23.61727;-33.08833;1.016656;-23.76361;-33.22427;1.016656;-23.91366;-33.36063;1.016656;-24.06417;-33.4974;1.016656;-24.21512;-33.54487;1.016656;-24.34067;-33.68484;1.016656;-24.48779;-33.82345;1.016656;-24.63275;-33.96302;1.016656;-24.77805;-34.10147;1.016656;-24.9224;-34.24554;1.016656;-25.07251;-34.38556;1.016656;-25.21908;-34.5241;1.016656;-25.36429;-34.66258;1.016656;-25.50903;-34.80235;1.016656;-25.65895;-34.9411;1.016656;-25.80865;-35.03773;1.016656;-25.97941;-35.08559;1.016656;-26.17814;-35.13162;1.016656;-26.37548;-35.17751;1.016656;-26.57226;-35.22504;1.016656;-26.77607;-35.27115;1.016656;-26.97373;-35.31739;1.016656;-27.172;-35.36377;1.016656;-27.3709;-35.39355;1.016656;-27.49509;-35.4397;1.016656;-27.69316;-35.48574;1.016656;-27.89079;-35.53179;1.016656;-28.08849;-35.57799;1.016656;-28.28682;-35.62421;1.016656;-28.4852;-35.67028;1.016656;-28.68298;-35.7163;1.016656;-28.8805;-35.76234;1.016656;-29.07818;-35.80744;1.016656;-29.27529;-35.85244;1.016656;-29.47044;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
Nurse;Medicine distribution;11.63977;0;0;0;0;0;0;0;0;0;0;0;0;6.040166;-26.27966;1.016656;-25.39111;-26.264;1.016656;-25.44111;-26.22248;1.016656;-25.57375;-26.16335;1.016656;-25.7626;-26.10303;1.016656;-25.95526;-26.04293;1.016656;-26.14724;-25.9826;1.016656;-26.33989;-25.91926;1.016656;-26.54223;-25.85879;1.016656;-26.73536;-25.79555;1.016656;-26.93736;-25.73068;1.016656;-27.14455;-25.66948;1.016656;-27.34001;-25.60793;1.016656;-27.53659;-25.54641;1.016656;-27.73307;-25.48475;1.016656;-27.93;-25.42397;1.016656;-28.12413;-25.36291;1.016656;-28.31913;-25.30181;1.016656;-28.51429;-25.2411;1.016656;-28.70819;-25.18124;1.016656;-28.89938;-25.07679;1.016656;-29.02582;-25.02001;1.016656;-29.22056;-24.9622;1.016656;-29.41888;-24.90621;1.016656;-29.61093;-24.84849;1.016656;-29.80892;-24.7908;1.016656;-30.00678;-24.73365;1.016656;-30.20284;-24.67672;1.016656;-30.39644;-24.61965;1.016656;-30.59055;-24.56247;1.016656;-30.78521;-24.5062;1.016656;-30.9772;-24.44934;1.016656;-31.17122;-24.39334;1.016656;-31.36307;-24.33719;1.016656;-31.55582;-24.28177;1.016656;-31.74752;-24.22438;1.016656;-31.94674;-24.18363;1.016656;-32.14348;-24.19613;1.016656;-32.34349;-24.21174;1.016656;-32.54443;-24.22763;1.016656;-32.74881;-24.16622;1.016656;-32.85868;-24.18857;1.016656;-33.06025;-24.21114;1.016656;-33.26379;-24.23348;1.016656;-33.46519;-24.25559;1.016656;-33.66584;-24.27809;1.016656;-33.87312;-24.29995;1.016656;-34.07408;-24.322;1.016656;-34.27563;-24.34433;1.016656;-34.47783;-24.36693;1.016656;-34.68058;-24.39012;1.016656;-34.8822;-24.42715;1.016656;-35.07706;-24.53076;1.016656;-35.23548;-24.68995;1.016656;-35.35864;-24.85358;1.016656;-35.47852;-25.01752;1.016656;-35.59774;-25.19173;1.016656;-35.69786;-25.38277;1.016656;-35.76643;-25.57367;1.016656;-35.83497;-25.75952;1.016656;-35.82722;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
Nurse;Medicine distribution;9.587191;0;0;0;0;0;0;0;0;0;0;0;0;5.040741;-26.27792;1.016656;-25.39666;-26.25481;1.016656;-25.47047;-26.20629;1.016656;-25.62545;-26.14477;1.016656;-25.82192;-26.08311;1.016656;-26.01886;-26.02233;1.016656;-26.21298;-25.96127;1.016656;-26.40798;-25.90017;1.016656;-26.60315;-25.83946;1.016656;-26.79704;-25.7796;1.016656;-26.98823;-25.7198;1.016656;-27.1797;-25.66114;1.016656;-27.36766;-25.60112;1.016656;-27.55979;-25.54278;1.016656;-27.74645;-25.48243;1.016656;-27.93946;-25.42194;1.016656;-28.13281;-25.36185;1.016656;-28.32484;-25.30216;1.016656;-28.51552;-25.2422;1.016656;-28.70703;-25.18199;1.016656;-28.89929;-25.05944;1.016656;-28.99569;-25.00415;1.016656;-29.19109;-24.94954;1.016656;-29.38414;-24.89465;1.016656;-29.57813;-24.84016;1.016656;-29.77072;-24.78346;1.016656;-29.97109;-24.72772;1.016656;-30.16572;-24.67278;1.016656;-30.3581;-24.61777;1.016656;-30.55127;-24.56185;1.016656;-30.74765;-24.50624;1.016656;-30.94328;-24.4511;1.016656;-31.13762;-24.39562;1.016656;-31.33411;-24.34076;1.016656;-31.52833;-24.28629;1.016656;-31.72213;-24.23024;1.016656;-31.92286;-24.18552;1.016656;-32.11946;-24.19518;1.016656;-32.32195;-24.21094;1.016656;-32.52557;-24.1732;1.016656;-32.72577;-24.1932;1.016656;-32.92339;-24.2132;1.016656;-33.12105;-24.23289;1.016656;-33.31712;-24.25139;1.016656;-33.50907;-24.26803;1.016656;-33.69674;-24.28308;1.016656;-33.88197;-24.29736;1.016656;-34.06687;-24.31087;1.016656;-34.25169;-24.32559;1.016656;-34.4379;-24.34325;1.016656;-34.6246;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
Nurse;Medicine distribution;7.66223;0;0;0;0;0;0;0;0;0;0;0;0;4.039431;-26.27487;1.016656;-25.4064;-26.24663;1.016656;-25.4966;-26.19303;1.016656;-25.66779;-26.13326;1.016656;-25.85869;-26.07163;1.016656;-26.05551;-26.01005;1.016656;-26.25218;-25.94903;1.016656;-26.44708;-25.88853;1.016656;-26.6403;-25.82785;1.016656;-26.83411;-25.76699;1.016656;-27.02849;-25.70699;1.016656;-27.22013;-25.64631;1.016656;-27.41392;-25.58637;1.016656;-27.60538;-25.52613;1.016656;-27.79778;-25.46633;1.016656;-27.98878;-25.40411;1.016656;-28.18751;-25.3435;1.016656;-28.38111;-25.28347;1.016656;-28.5728;-25.22325;1.016656;-28.76514;-25.16199;1.016656;-28.96077;-25.06289;1.016656;-29.08784;-25.00826;1.016656;-29.27451;-24.95279;1.016656;-29.46396;-24.89765;1.016656;-29.65224;-24.84246;1.016656;-29.84068;-24.7851;1.016656;-30.03651;-24.72929;1.016656;-30.22696;-24.67328;1.016656;-30.41778;-24.61712;1.016656;-30.60845;-24.56046;1.016656;-30.80023;-24.50315;1.016656;-30.99462;-24.44601;1.016656;-31.18848;-24.38897;1.016656;-31.38239;-24.33196;1.016656;-31.57709;-24.27519;1.016656;-31.77197;-24.21899;1.016656;-31.96631;-24.1834;1.016656;-32.16357;-24.19774;1.016656;-32.36582;-24.21346;1.016656;-32.56805;-24.19078;1.016656;-32.73743;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
Nurse;Medicine distribution;5.772888;0;0;0;0;0;0;0;0;0;0;0;0;3.040448;-26.30783;1.016656;-25.38174;-26.41313;1.016656;-25.35047;-26.5901;1.016656;-25.29793;-26.78337;1.016656;-25.24054;-26.97523;1.016656;-25.18358;-27.17486;1.016656;-25.1243;-27.36933;1.016656;-25.06656;-27.5619;1.016656;-25.00938;-27.7551;1.016656;-24.95202;-27.95162;1.016656;-24.89367;-28.14734;1.016656;-24.83556;-28.34175;1.016656;-24.77784;-28.53807;1.016656;-24.71955;-28.73233;1.016656;-24.66188;-28.92603;1.016656;-24.60437;-29.12666;1.016656;-24.54481;-29.32122;1.016656;-24.48704;-29.51639;1.016656;-24.42909;-29.71218;1.016656;-24.37096;-29.85529;1.016656;-24.24144;-30.05192;1.016656;-24.18946;-30.2481;1.016656;-24.13758;-30.44434;1.016656;-24.08569;-30.64121;1.016656;-24.03363;-30.83814;1.016656;-23.98157;-31.03438;1.016656;-23.92944;-31.23005;1.016656;-23.87667;-31.42583;1.016656;-23.82379;-31.62149;1.016656;-23.77109;-31.81556;1.016656;-23.71926;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
Nurse;Medicine distribution;3.802812;0;0;0;0;0;0;0;0;0;0;0;0;2.041497;-26.28;1.016656;-25.39;-26.27367;1.016656;-25.4294;-26.34277;1.016656;-25.61362;-26.37171;1.016656;-25.84018;-26.37562;1.016656;-26.04716;-26.36082;1.016656;-26.23134;-26.32623;1.016656;-26.40504;-26.28802;1.016656;-26.57143;-26.24433;1.016656;-26.73831;-26.19389;1.016656;-26.908;-26.12809;1.016656;-27.09068;-26.05418;1.016656;-27.28014;-25.98043;1.016656;-27.4692;-25.90665;1.016656;-27.65831;-25.83265;1.016656;-27.84804;-25.75863;1.016656;-28.0378;-25.68482;1.016656;-28.22699;-25.61112;1.016656;-28.41593;-25.53736;1.016656;-28.60503;-25.46365;1.016656;-28.79399;-25.29441;1.016656;-28.94395;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
Nurse;Medicine distribution;1.790465;0;0;0;0;0;0;0;0;0;0;0;0;1.040726;-27.3999;1.016656;-26.02642;-27.49175;1.016656;-26.02941;-27.62583;1.016656;-25.98907;-27.79324;1.016656;-25.93299;-27.9631;1.016656;-25.86786;-28.13696;1.016656;-25.79136;-28.31618;1.016656;-25.7015;-28.49654;1.016656;-25.60877;-28.67706;1.016656;-25.51597;-28.85744;1.016656;-25.42323;-29.03624;1.016656;-25.3313;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
Nurse;Medicine distribution;0;0;0;0;0;0;0;0;0;0;0;0;0;0.04190922;-26.2784;1.016656;-25.39512;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
Patient;Undergoing triage;15.67971;0;0;0;0;0;0;0;0;0;0;0;0;8.035608;-41.93;1.016656;-85.652;-41.74634;1.016656;-85.55664;-41.56664;1.016656;-85.46334;-41.38687;1.016656;-85.37;-41.20879;1.016656;-85.27755;-41.03083;1.016656;-85.18515;-40.85216;1.016656;-85.09238;-40.6713;1.016656;-84.99848;-40.49042;1.016656;-84.90457;-40.31213;1.016656;-84.81201;-40.13284;1.016656;-84.71892;-39.95231;1.016656;-84.62518;-39.77103;1.016656;-84.53107;-39.59058;1.016656;-84.43736;-39.4099;1.016656;-84.34355;-39.22853;1.016656;-84.24936;-39.04652;1.016656;-84.15484;-38.85093;1.016656;-84.05911;-38.67306;1.016656;-83.96667;-38.49027;1.016656;-83.87169;-38.31145;1.016656;-83.77876;-38.1323;1.016656;-83.68568;-37.95379;1.016656;-83.59293;-37.77466;1.016656;-83.49984;-37.58652;1.016656;-83.40208;-37.40693;1.016656;-83.30878;-37.21912;1.016656;-83.21118;-37.02647;1.016656;-83.11108;-36.84472;1.016656;-83.01665;-36.66194;1.016656;-82.92167;-36.47926;1.016656;-82.82674;-36.29614;1.016656;-82.7316;-36.11563;1.016656;-82.63781;-35.93431;1.016656;-82.54362;-35.75285;1.016656;-82.44931;-35.57256;1.016656;-82.35561;-35.39477;1.016656;-82.26324;-35.19207;1.016656;-82.11324;-35.01178;1.016656;-82.02024;-34.82818;1.016656;-81.92555;-34.65039;1.016656;-81.83389;-34.4671;1.016656;-81.73934;-34.28395;1.016656;-81.64489;-34.10246;1.016656;-81.55128;-33.92252;1.016656;-81.45846;-33.74202;1.016656;-81.36535;-33.56098;1.016656;-81.27196;-33.3825;1.016656;-81.17991;-33.20203;1.016656;-81.08681;-33.02372;1.016656;-80.99484;-32.84454;1.016656;-80.90243;-32.66667;1.016656;-80.81068;-32.48159;1.016656;-80.71522;-32.3013;1.016656;-80.62224;-32.12278;1.016656;-80.53014;-31.94365;1.016656;-80.43777;-31.76146;1.016656;-80.34381;-31.53443;1.016656;-80.17776;-31.35374;1.016656;-80.08569;-31.17129;1.016656;-79.99271;-30.99074;1.016656;-79.90068;-30.81072;1.016656;-79.80892;-30.62425;1.016656;-79.71387;-30.44341;1.016656;-79.62169;-30.26203;1.016656;-79.52923;-30.08006;1.016656;-79.43649;-29.89753;1.016656;-79.34346;-29.71632;1.016656;-79.25113;-29.53552;1.016656;-79.15898;-29.35467;1.016656;-79.06682;-29.17323;1.016656;-78.97437;-28.99175;1.016656;-78.88188;-28.81081;1.016656;-78.78965;-28.63012;1.016656;-78.69756;-28.44928;1.016656;-78.60536;-28.26857;1.016656;-78.51326;-28.02921;1.016656;-78.41429
