RawDataFileName;Duration;Distance;AverageSpeed;ShortestPathDistance;SurplusShortestPath;RatioShortestPath;Successful;Default;TransparentFX;Ignore Raycast;;Water;UI;Wall;Floor;PatientBed;Window;;;;;;;;;;;;;;;;;;;;;;
Anna;62.568;69.065;1.104;2.238;66.828;30.866;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.852;0.056;0.000;0.093;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
Anna_0;14.161;18.107;1.279;2.238;15.869;8.092;0.000;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
Anna_1;58.214;89.804;1.543;2.238;87.566;40.134;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.960;0.030;0.000;0.010;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
Anna_2;95.173;138.948;1.460;2.238;136.711;62.097;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.897;0.094;0.000;0.009;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
Anna_FindNurse;13.092;10.400;0.794;2.238;8.163;4.648;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.800;0.100;0.000;0.100;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
Anna_FindNurseStation;67.983;109.083;1.605;2.238;106.845;48.750;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.917;0.074;0.004;0.005;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
Anna_FindNurseStation_0;4.838;0.000;0.000;2.238;-2.238;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;1.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
Anna_FindNurseStation_1;34.732;121.333;3.493;2.238;119.095;54.224;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.957;0.035;0.003;0.005;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
Anna_FindNurse_0;127.416;220.499;1.731;2.238;218.262;98.543;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.962;0.028;0.000;0.010;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
Anna_LiveDemo;80.848;129.130;1.597;2.238;126.892;57.709;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.944;0.050;0.003;0.003;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
